Entity,Year,"Agriculture GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Manufacturing & Industry GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Building & Construction GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Transport & Comunications GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Private services GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Public services GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Services of dwellings GDP (SEK, constant prices, 1910/12 price level) (Schön and Krantz (2007, 2012, 2015))","Labor Productivity (GDP/worker) (Schön and Krantz (2007, 2012, 2015))"
Sweden,1800,202721973.8,25092136.78,23337106.3,10664070.23,75135961.92,39774653.83,91300763.69,
Sweden,1801,186620877.7,32262504.41,24197983.65,12349725.23,79321200.36,42222953.9,94297221.07,
Sweden,1802,197157031.1,34092662.66,19433556.17,16558150.84,83289577.67,44192149.73,95076377.1,
Sweden,1803,197076774.9,32185441.85,17531000.63,15226039.45,80527534.87,46038850.56,98853827.18,
Sweden,1804,192054354.3,20367331.32,19861898.51,15505177.59,78257761.11,42406876.65,91625528.67,
Sweden,1805,207308149.7,26866966.04,17597625.76,14597059.78,81818888.98,44253749.02,96571328.41,
Sweden,1806,214529856.1,31252578.9,18337296.03,14891519.8,84751312.24,39932136.07,97279010.53,
Sweden,1807,199437428.4,28880605.3,20572921.35,13031839.09,82778312.9,39206900.99,96078107.12,
Sweden,1808,187834761.3,24881692.84,22994208.63,7243572.501,79921550.57,34948312.32,95958903.29,
Sweden,1809,175631151.6,19341260.22,20810897.81,11114552.04,79640730.66,30824499.5,92946249.47,
Sweden,1810,199486385.2,17186589.77,21781221.08,12905387.25,83272692.58,31575584.06,95724730.87,
Sweden,1811,217997572.9,31966258.67,25257981.41,14079198.33,83698398.54,29494349.38,97010272.9,
Sweden,1812,202402948.1,18225219.21,28510843.72,11638700.19,83902182.91,29604034.03,95946490.05,
Sweden,1813,189315263.7,31175318.92,27488947.32,18443311.87,87863525.8,31522243.18,97530127.1,
Sweden,1814,205417243.8,25867305,20367030.47,18299056.6,88981198.68,31803858.27,96052002.63,
Sweden,1815,222502987.6,27395825.07,22181321.34,15481227.79,89208513.33,32543905.7,94953722.71,
Sweden,1816,228111297.8,28224941.52,26474733.44,15150923.25,88725643.07,35347064.59,98802163.95,
Sweden,1817,220938616.2,24850413.82,24064275.98,17265793.33,88588420.92,34213326,100836068.5,
Sweden,1818,210830959.7,38075171.75,28937561.32,16735886.28,89838112.56,36364505.96,103636619.1,
Sweden,1819,208386624.1,35988979.35,31548185.67,15301348.21,91920718.61,37523568.1,101230270.3,
Sweden,1820,221242947.9,29718257.15,25472661.52,16519844,93711000.5,40240395.65,102223129.4,
Sweden,1821,236989816.3,30947655.66,22797195.96,16869858.62,95448968.47,45967192.6,100952060.2,
Sweden,1822,250345351,26656730.67,25848251.34,16783409.24,93022064.14,44048600.98,102402731.3,
Sweden,1823,255708246,25160608.5,19775608.85,16693176.45,94374125.61,45456733.76,103573074.4,
Sweden,1824,262886597.8,27997147.63,24376566.1,17006568.32,97026954.75,51653394.74,103698746.2,
Sweden,1825,273116466.4,36584118.85,20979042.91,18020179.56,100425601.4,51951790.41,108211391.5,
Sweden,1826,273877115.3,36564621.37,26279183.27,17482515.85,98116155.15,56802221.82,111539928.8,
Sweden,1827,244735183.4,39098253.17,25762168.51,17820339,105187969.2,53398372.33,112751566.2,
Sweden,1828,268526989.4,34133919.92,22572001.24,17075225.38,103505410.1,55246653.18,110964927.7,
Sweden,1829,281309948.7,34659030.01,23604434.99,16847918.94,107313636,49064745.44,111733882.6,
Sweden,1830,271737415.6,32413513.77,24377091.02,17040432.34,108123791.6,46623444.3,113471208.1,
Sweden,1831,266245493,38128779.85,29744178.08,18234332.3,110695877.6,51453447.18,115923604.3,
Sweden,1832,258263328.7,35881406.91,24499799.59,18583247.97,114678311.9,48778796.14,116655279.9,
Sweden,1833,281245366.2,36531756.37,21981774.31,18649836.86,117002238.8,51706456.86,115743216.6,
Sweden,1834,291589888,35390117.25,25313350.68,17917238.04,117446585.5,50745618.95,119475873.9,
Sweden,1835,293414203.4,35256757.4,27434923.1,18523282.1,119668818.1,48660635.23,119709277.1,
Sweden,1836,300925445.5,43852648.51,31014507.5,17896414.76,125452277.5,50486038.76,123121617.2,
Sweden,1837,298557125.8,42253756.69,31361223.22,18825528.72,129397658.2,50096140.79,123237487.5,
Sweden,1838,282991403.7,49090844.92,30482364.01,20646617.95,128303345.2,49639218.42,127183782.4,
Sweden,1839,289140541.6,46272087.01,32914400.11,22666182.71,127331171.8,52982483.29,125292550,
Sweden,1840,305713344.1,45869977.71,30470212.42,23452078.07,128414296.2,52298239.26,125153765.9,
Sweden,1841,303242328.7,46865219.34,29418598.17,23211876.29,124931264.7,55637107.33,128448736.1,
Sweden,1842,284216905.3,39492080.97,32454383.92,22987564.97,124381668.9,54544189.01,126476570.8,
Sweden,1843,294803033,41992543.05,34921880.86,19840636.44,129116292.3,57318051.31,128384648,
Sweden,1844,318759336.5,47466768.96,34436621.36,21459078.98,132258977,60890022.56,129916738.8,
Sweden,1845,338745499.7,51722245.84,36780027.53,23168527.7,131787353.3,55785939.29,133822099.2,
