Entity,Year,Land use per kilocalorie,Land use per unit protein,Land use per unit mass
Barley (non-organic),2018,0.27,9.70,0.96
"Beef (non-organic, grain-fed)",2018,8.27,95.57,17.77
"Beef (non-organic, grass-fed)",2018,3.01,34.83,6.48
"Beef (organic, grass-fed)",2018,13.55,156.70,29.15
Eggs (non-organic),2018,0.34,3.88,0.49
Eggs (organic),2018,0.52,5.96,0.75
Maize (non-organic),2018,0.04,1.44,0.14
Milk (non-organic),2018,0.23,4.49,0.14
Milk (organic),2018,0.45,4.38,0.27
Mutton & Goat Meat (non-organic),2018,20.98,120.40,24.87
Mutton & Goat Meat (organic),2018,4.64,26.60,5.49
Pork (non-organic),2018,1.17,13.30,2.52
Pork (organic),2018,1.06,12.14,2.30
Potatoes (non-organic),2018,0.04,1.36,0.03
Potatoes (organic),2018,0.08,2.87,0.06
Poultry (non-organic),2018,0.41,4.78,0.89
Poultry (organic),2018,1.12,12.95,2.42
Rice (non-organic),2018,0.05,2.28,0.18
Rice (organic),2018,0.05,2.44,0.19
Soybean (non-organic),2018,0.08,1.04,0.38
Tomatoes (greenhouse),2018,0.03,0.48,0.01
Tomatoes (non-greenhouse),2018,0.07,0.94,0.01
Wheat (non-organic),2018,0.17,3.67,0.57
Wheat (organic),2018,0.07,1.53,0.24
