Entity,Year,Hidden Hunger Index in pre-school children (Muthayya et al. (2013))
Afghanistan,2009,47.7
Albania,2009,16
Algeria,2009,17.3
Angola,2009,36
Antigua and Barbuda,2009,15
Argentina,2009,10.3
Armenia,2009,12.3
Azerbaijan,2009,23.3
Bangladesh,2009,29.3
Belarus,2009,12.7
Belize,2009,17.3
Benin,2009,51.3
Bhutan,2009,33.3
Bolivia,2009,26.7
Bosnia and Herzegovina,2009,13.7
Botswana,2009,24.7
Brazil,2009,16
Bulgaria,2009,15.3
Burkina Faso,2009,48.3
Burundi,2009,39.7
Cambodia,2009,31
Cameroon,2009,36.3
Cape Verde,2009,14.7
Central African Republic,2009,51
Chad,2009,43.3
Chile,2009,8.3
China,2009,11.3
Colombia,2009,11.7
Comoros,2009,33.7
Congo,2009,29.3
Cook Islands,2009,14.3
Costa Rica,2009,8.3
Cote d'Ivoire,2009,44
Croatia,2009,8
Cuba,2009,7.7
Democratic Republic of Congo,2009,47.7
Djibouti,2009,33.7
Dominica,2009,11.7
Dominican Republic,2009,13.7
Ecuador,2009,21
Egypt,2009,22
El Salvador,2009,14.3
Equatorial Guinea,2009,23
Eritrea,2009,33.3
Estonia,2009,12.7
Ethiopia,2009,41.3
Fiji,2009,15.3
Gabon,2009,21.7
Gambia,2009,43.7
Georgia,2009,22
Ghana,2009,47.7
Grenada,2009,15.7
Guatemala,2009,29.7
Guinea,2009,41.3
Guinea-Bissau,2009,40
Guyana,2009,15.3
Haiti,2009,30.7
Honduras,2009,20.3
Hungary,2009,7.3
India,2009,48.3
Indonesia,2009,27.3
Iran,2009,25
Iraq,2009,28.3
Jamaica,2009,20.7
Jordan,2009,14.7
Kazakhstan,2009,22
Kenya,2009,51.7
Kiribati,2009,25
Kyrgyzstan,2009,23
Laos,2009,38.7
Latvia,2009,14.7
Lebanon,2009,18.3
Lesotho,2009,34.7
Liberia,2009,45.3
Libya,2009,16.3
Lithuania,2009,13.7
Macedonia,2009,19
Madagascar,2009,43
Malawi,2009,49.7
Malaysia,2009,11.7
Maldives,2009,30
Mali,2009,46
Marshall Islands,2009,32.3
Mauritania,2009,35.3
Mauritius,2009,9.7
Mexico,2009,18
Micronesia (country),2009,28
Moldova,2009,18.3
Mongolia,2009,20
Morocco,2009,27.3
Mozambique,2009,51
Myanmar,2009,36.3
Namibia,2009,22.3
Nepal,2009,35.3
Nicaragua,2009,11.3
Niger,2009,52
Nigeria,2009,36
Niue,2009,15.7
North Korea,2009,28.7
Oman,2009,14.3
Pakistan,2009,26.7
Palau,2009,13.3
Panama,2009,16.3
Papua New Guinea,2009,28.3
Paraguay,2009,15.7
Peru,2009,21.7
Philippines,2009,30.7
Poland,2009,12.7
Romania,2009,17.7
Russia,2009,14.3
Rwanda,2009,28.7
Saint Kitts and Nevis,2009,11.7
Saint Lucia,2009,13.7
Saint Vincent and the Grenadines,2009,15
Samoa,2009,14
Sao Tome and Principe,2009,47.7
Saudi Arabia,2009,9.7
Senegal,2009,32.7
Seychelles,2009,9
Sierra Leone,2009,50
Slovakia,2009,12.7
Solomon Islands,2009,23.3
South Africa,2009,18.3
Sri Lanka,2009,22.3
Sudan,2009,36
Suriname,2009,14
Swaziland,2009,33
Syria,2009,21.7
Tajikistan,2009,28.3
Tanzania,2009,35
Thailand,2009,14.7
Timor,2009,39
Togo,2009,29.3
Tonga,2009,11.7
Trinidad and Tobago,2009,10.3
Tunisia,2009,12.3
Turkey,2009,14.7
Turkmenistan,2009,22.7
Tuvalu,2009,17.3
Uganda,2009,34.3
Ukraine,2009,20
Uruguay,2009,12.3
Uzbekistan,2009,30.7
Vanuatu,2009,21.7
Venezuela,2009,13
Vietnam,2009,24
Yemen,2009,39.7
Zambia,2009,42
Zimbabwe,2009,33.7
