Entity,Year,Actual rents as share of GDP,Imputed rents as share of GDP,Actual and imputed rents as share of GDP
Australia,1959,0.013262599469496,0.0321919459850494,0.0454545454545455
Australia,1960,0.0142466377934807,0.0351037155231365,0.0493503533166173
Australia,1961,0.0155387906767256,0.038790676725594,0.0543294674023196
Australia,1962,0.0157779629243908,0.0398354509477192,0.05561341387211
Australia,1963,0.0155992271077808,0.0398699278948113,0.055469155002592
Australia,1964,0.0155015328813852,0.0396821969860529,0.0551837298674381
Australia,1965,0.0161409561360276,0.0410711352061771,0.0572120913422047
Australia,1966,0.0163215680495174,0.0408223417581608,0.0571439098076781
Australia,1967,0.0172455171940892,0.0418623787156718,0.059107895909761
Australia,1968,0.017550296581667,0.0411851036507063,0.0587354002323733
Australia,1969,0.0181270521831158,0.041138639385634,0.0592656915687498
Australia,1970,0.0195961700649898,0.0432604058143573,0.0628565758793471
Australia,1971,0.0203443934897941,0.0449599856128046,0.0653043791025987
Australia,1972,0.0204635455404346,0.0463746557581362,0.0668382012985708
Australia,1973,0.0193788160339793,0.0450789753119193,0.0644577913458986
Australia,1974,0.0198150594451783,0.0474999297338318,0.0673149891790101
Australia,1975,0.0205685176730663,0.0505682773866449,0.0711367950597112
Australia,1976,0.0212960842683765,0.0536877823344505,0.074983866602827
Australia,1977,0.0223982310163078,0.0583688369122847,0.0807670679285925
Australia,1978,0.0221440798738479,0.0607908118090516,0.0829348916828995
Australia,1979,0.0221762644785491,0.0618048994591699,0.083981163937719
Australia,1980,0.0221240683046102,0.0637430821206504,0.0858671504252606
Australia,1981,0.0217921122461763,0.0642146981447948,0.0860068103909711
Australia,1982,0.0228381714660309,0.0681973175721755,0.0910354890382064
Australia,1983,0.022040697728913,0.0662908078621039,0.0883315055910169
Australia,1984,0.0218834584546244,0.0665398430451288,0.0884233014997532
Australia,1985,0.0220450353519828,0.0677528435290501,0.0897978788810329
Australia,1986,0.0229045038990858,0.0688115138533048,0.0917160177523906
Australia,1987,0.0236808793108771,0.0686220630460959,0.092302942356973
Australia,1988,0.0245775186310815,0.0688322889769842,0.0934098076080657
Australia,1989,0.0262123782050488,0.0692377214594347,0.0954500996644835
Australia,1990,0.0284116406660908,0.0725418478182195,0.10095348848431
Australia,1991,0.0297296657513493,0.0742353943755326,0.103965060126882
Australia,1992,0.0288730011953359,0.073646225670403,0.102519226865739
Australia,1993,0.0280038732643846,0.0732484965336001,0.101252369797985
Australia,1994,0.0269973532403092,0.0722874757110766,0.0992848289513858
Australia,1995,0.0262889050206691,0.0716927060134686,0.0979816110341377
Australia,1996,0.0261808673290221,0.0718956367021976,0.0980765040312197
Australia,1997,0.026237168358281,0.0722329819740621,0.0984701503323431
Australia,1998,0.0263262709609589,0.0725818805723215,0.0989081515332803
Australia,1999,0.0262584340529283,0.0724636585148202,0.0987220925677485
Australia,2000,0.0262188220677213,0.0723336538707015,0.0985524759384228
Australia,2001,0.02588521358218,0.0721641146936108,0.0980493282757908
Australia,2002,0.0252621853775469,0.0736229025169796,0.0988850878945266
Australia,2003,0.0244425629965658,0.0742765426420871,0.0987191056386528
Australia,2004,0.0237117168688088,0.0754848103420424,0.0991965272108512
Australia,2005,0.0228174583262246,0.076330499884588,0.0991479582108126
Australia,2006,0.022516250334762,0.0761932020544951,0.0987094523892571
Australia,2007,0.0226193034477662,0.0767986083564863,0.0994179118042526
Australia,2008,0.0233441389681346,0.0791797769304326,0.102523915898567
Australia,2009,0.0242835328013673,0.0821012118710955,0.106384744672463
Australia,2010,0.0238235746727073,0.0802542950765977,0.104077869749305
Australia,2011,0.0242000776280496,0.0807558464458491,0.104955924073899
Australia,2012,0.0252625289086101,0.0829964323536897,0.1082589612623
Australia,2013,0.0258931643447417,0.0827823062438615,0.108675470588603
Australia,2014,0.0267561081151618,0.0848737628500783,0.11162987096524
Australia,2015,0.0271961337111628,0.0855830684874096,0.112779202198572
Australia,2016,0.0264415321380315,0.0837291558816008,0.110170688019632
Australia,2017,0.025743832032348,0.0834437909486021,0.10918762298095
Australia,2018,0.0249706508576728,0.0826983339547237,0.107668984812397
Austria,1995,0.0164969742439149,0.0477514845668745,0.0642484588107894
Austria,1996,0.0166207700981829,0.0490895518855831,0.065710321983766
Austria,1997,0.0163258192821084,0.0483755198603504,0.0647013391424588
Austria,1998,0.0160106660359453,0.0483822460698456,0.0643929121057909
Austria,1999,0.0158127094855457,0.0490437652912246,0.0648564747767703
Austria,2000,0.0151333423967288,0.0486637858551857,0.0637971282519144
Austria,2001,0.0148863340169744,0.0487670155249462,0.0636533495419206
Austria,2002,0.0152222932105563,0.049871563844382,0.0650938570549384
Austria,2003,0.015111803782294,0.050353429356352,0.0654652331386461
Austria,2004,0.0152806956402328,0.0512350284668848,0.0665157241071176
Austria,2005,0.0159126223462416,0.0534820363890147,0.0693946587352563
Austria,2006,0.0159232288164878,0.0523928640570344,0.0683160928735222
Austria,2007,0.0155683907452399,0.0514558928638021,0.0670242836090419
Austria,2008,0.0158530763910134,0.0511506069660291,0.0670036833570424
Austria,2009,0.0173536322677346,0.054097217501686,0.0714508497694206
Austria,2010,0.0178080089047311,0.0541946674352233,0.0720026763399544
Austria,2011,0.0177414431803884,0.0539704714810943,0.0717119146614828
Austria,2012,0.0180425079264896,0.0545841646450321,0.0726266725715217
Austria,2013,0.0187540867808423,0.0562482132393484,0.0750023000201908
Austria,2014,0.0188553027205154,0.0573007810057612,0.0761560837262766
Austria,2015,0.0191130935518112,0.0572166150312068,0.076329708583018
Austria,2016,0.0195894925299548,0.0567744093607017,0.0763639018906564
Austria,2017,0.020252648308675,0.0574736243948992,0.0777262727035742
Austria,2018,0.0203540497087023,0.0571607142884921,0.0775147639971944
Belgium,1995,0.0266260818256147,0.0559672686139092,0.0825933504395239
Belgium,1996,0.0264467623109371,0.0575918942390839,0.084038656550021
Belgium,1997,0.0253969741389504,0.0572544137366327,0.0826513878755832
Belgium,1998,0.0244536457576568,0.0569155004775952,0.0813691462352519
Belgium,1999,0.0234755327525839,0.0565033866044647,0.0799789193570487
Belgium,2000,0.022160386057375,0.0551688844995093,0.0773292705568843
Belgium,2001,0.0216846129663544,0.0555666315722971,0.0772512445386515
Belgium,2002,0.0219186484171065,0.0552924932270447,0.0772111416441511
Belgium,2003,0.0221589458328977,0.0549530192368284,0.0771119650697261
Belgium,2004,0.0218132421803539,0.0531477526592743,0.0749609948396282
Belgium,2005,0.0222769754378179,0.0541444005501268,0.0764213759879447
Belgium,2006,0.0226312964879448,0.0540197415666236,0.0766510380545684
Belgium,2007,0.0226538761401075,0.0524848895098611,0.0751387656499686
Belgium,2008,0.0230867357454915,0.0520391160480476,0.0751258517935391
Belgium,2009,0.0245231371697865,0.0547465775091147,0.0792697146789012
Belgium,2010,0.024300538552476,0.0550275224355559,0.0793280609880319
Belgium,2011,0.024598117179184,0.0569844013237304,0.0815825185029143
Belgium,2012,0.0251813492701619,0.0590551374805237,0.0842364867506856
Belgium,2013,0.0261232437385461,0.0602904194665038,0.0864136632050499
Belgium,2014,0.0264943239918879,0.0597389649166645,0.0862332889085524
Belgium,2015,0.0266017824754128,0.0585131223461212,0.0851149048215341
Belgium,2016,0.0267958313566825,0.0578898178211663,0.0846856491778488
Belgium,2017,0.0271705811731455,0.0578601146389581,0.0850306958121037
Belgium,2018,0.0277732804446963,0.0583716114408672,0.0861448918855635
Canada,1981,0.0245060511784731,0.0618800188946623,0.0863860700731354
Canada,1982,0.0265082525935066,0.0665102104430665,0.0930184630365732
Canada,1983,0.027269318041565,0.068352495514056,0.095621813555621
Canada,1984,0.0267692094565636,0.0675280203296204,0.094297229786184
Canada,1985,0.0262885804166575,0.0673303641603353,0.0936189445769929
Canada,1986,0.0268006000417751,0.0696618118982967,0.0964624119400718
Canada,1987,0.0265436956763985,0.06958122074883,0.0961249164252284
Canada,1988,0.02645104276002,0.0700245974598576,0.0964756402198777
Canada,1989,0.0273638693288504,0.0724531291180933,0.0998169984469437
Canada,1990,0.0287404331553801,0.0757856566705152,0.104526089825895
Canada,1991,0.0304542921998994,0.0805231891224085,0.110977481322308
Canada,1992,0.0313625709179384,0.0834451502987044,0.114807721216643
Canada,1993,0.0313237496937903,0.0840092257813201,0.11533297547511
Canada,1994,0.0307536125014521,0.0839714030294,0.114725015530852
Canada,1995,0.0302637860275294,0.0835091946932557,0.113772980720785
Canada,1996,0.030158146805081,0.0834591328093562,0.113617279614437
Canada,1997,0.0294588533132802,0.0816836213759447,0.111142474689225
Canada,1998,0.0292786758357893,0.0816013643110187,0.110880040146808
Canada,1999,0.0282728808733172,0.0787209788010441,0.106993859674361
Canada,2000,0.0265733393245099,0.0746660928638397,0.10123943218835
Canada,2001,0.0265809148280143,0.0751513923024299,0.101732307130444
Canada,2002,0.0267254421987545,0.0756584183216134,0.102383860520368
Canada,2003,0.0265431995454064,0.0752813116907233,0.10182451123613
Canada,2004,0.0259453437855377,0.0742005688271067,0.100145912612644
Canada,2005,0.0252569306199396,0.0730048748232613,0.0982618054432009
Canada,2006,0.0251616326028796,0.0733821371585269,0.0985437697614065
Canada,2007,0.0252557425200978,0.0743290225213148,0.0995847650414126
Canada,2008,0.025357248251552,0.075177982922571,0.100535231174123
Canada,2009,0.0279889571536032,0.0831713690405732,0.111160326194176
Canada,2010,0.0275640317685925,0.0819850328441918,0.109549064612784
Canada,2011,0.0269500012119074,0.0804537381141481,0.107403739326056
Canada,2012,0.0272816181689918,0.0817813694278845,0.109062987596876
Canada,2013,0.0274365000969906,0.0824687855993465,0.109905285696337
Canada,2014,0.0273748331994919,0.0823560903865762,0.109730923586068
Canada,2015,0.0286971580669811,0.0861562839591829,0.114853442026164
Canada,2016,0.0293650813241934,0.087831116223615,0.117196197547808
Canada,2017,0.0288813216714531,0.0861661747871545,0.115047496458608
Canada,2018,0.0290081731910699,0.0864224122425193,0.115430585433589
Canada,2019,0.0295193582299063,0.0876526448015042,0.117172003031411
Costa Rica,1991,0.0138093292698218,0.0477901571063017,0.0615994863761235
Costa Rica,1992,0.0133667315362968,0.0462204001484392,0.059587131684736
Costa Rica,1993,0.0138084592123434,0.0478067082021202,0.0616151674144636
Costa Rica,1994,0.014315612319166,0.0496473413444016,0.0639629536635676
Costa Rica,1995,0.0146908168815666,0.0510072644509299,0.0656980813324965
Costa Rica,1996,0.0165517951029306,0.0576138101665983,0.0741656052695289
Costa Rica,1997,0.01787548176764,0.0623907261414205,0.0802662079090604
Costa Rica,1998,0.0187086250719146,0.0654635070962974,0.084172132168212
Costa Rica,1999,0.0200128880965711,0.0701492801604124,0.0901621682569835
Costa Rica,2000,0.0195818105490779,0.0686486535769127,0.0882304641259906
Costa Rica,2001,0.0193819292437038,0.0679438962780692,0.087325825521773
Costa Rica,2002,0.0190455197301394,0.0667397692434066,0.085785288973546
Costa Rica,2003,0.0186497527914164,0.0653523231365234,0.0840020759279398
Costa Rica,2004,0.0185295020959636,0.0649873697096239,0.0835168718055875
Costa Rica,2005,0.0187388065897044,0.0658119713663838,0.0845507779560882
Costa Rica,2006,0.0184111761294054,0.0647352009670596,0.083146377096465
Costa Rica,2007,0.0176379835217267,0.0620578039757378,0.0796957874974645
Costa Rica,2008,0.0172086483727145,0.0605513101518832,0.0777599585245977
Costa Rica,2009,0.0174214795551926,0.0613788603915994,0.0788003399467919
Costa Rica,2010,0.017630947921972,0.0621445375371948,0.0797754854591667
Costa Rica,2011,0.0180149758420365,0.0635264564105849,0.0815414322526214
Costa Rica,2012,0.0185081729103769,0.0653731012147218,0.0838812741250987
Costa Rica,2013,0.0184707526881081,0.0652396805428869,0.083710433230995
Costa Rica,2014,0.0177436673222948,0.0625477242626875,0.0802913915849822
Costa Rica,2015,0.0173209612010961,0.0610635734236696,0.0783845346247657
Costa Rica,2016,0.017007153806722,0.0597817483845978,0.0767889021913198
Costa Rica,2017,0.0169122665330619,0.0594482106595029,0.0763604771925648
Croatia,2005,0.00321972289139117,0.0714100645100811,0.0746297874014723
Croatia,2006,0.00279434767573322,0.0675821323612737,0.0703764800370069
Croatia,2007,0.00294185682261668,0.0654245646937552,0.0683664215163719
