Entity,Year,Oil production (Etemad & Luciana)
Albania,1933,0.02326
Albania,1934,0.02326
Albania,1935,0.069780001
Albania,1936,0.476830005
Albania,1937,1.093220011
Albania,1938,1.325820013
Albania,1939,1.639830016
Albania,1940,2.628380026
Albania,1941,2.349260023
Albania,1942,2.814460028
Albania,1943,1.756130017
Albania,1944,0.581500006
Albania,1945,0.465200005
Albania,1946,1.756130017
Albania,1947,3.512260035
Albania,1948,2.640010026
Albania,1949,3.849530038
Albania,1950,1.535160015
Albania,1951,1.418860014
Albania,1952,1.732870017
Albania,1953,1.744500017
Albania,1954,2.03525002
Albania,1955,2.419040024
Albania,1956,3.09358003
Albania,1957,5.698700056
Albania,1958,4.686890046
Albania,1959,5.570770055
Albania,1960,8.466640083
Albania,1961,8.966730088
Albania,1962,9.12955009
Albania,1963,8.734130086
Albania,1964,8.885320087
Albania,1965,9.559860094
Albania,1966,10.3041801
Albania,1967,11.44392011
Albania,1968,13.18842013
Albania,1969,15.20041015
Albania,1970,17.29381017
Albania,1971,19.27091019
Albania,1972,25.00450025
Albania,1973,24.50441024
Albania,1974,20.5851002
Albania,1975,21.16660021
Albania,1976,22.09700022
Albania,1977,22.67850022
Albania,1978,24.42300024
Albania,1979,24.42300024
Albania,1980,25.94136137
Albania,1981,25.94136137
Albania,1982,37.73288926
Albania,1983,44.2182296
Albania,1984,32.42670171
Albania,1985,32.42670171
Albania,1986,32.19880685
Albania,1987,31.61324547
Albania,1988,25.69131023
Albania,1989,27.55433036
Albania,1990,17.51850201
Albania,1991,10.98068937
Albania,1992,6.094834417
Albania,1993,6.555494037
Albania,1994,6.721259336
Albania,1995,5.83524393
Albania,1996,5.687325108
Albania,1997,5.509815447
Albania,1998,3.782450943
Albania,1999,3.283138695
Albania,2000,3.337061352
Albania,2001,3.533944493
Albania,2002,3.727502423
Albania,2003,3.963215066
Albania,2004,3.949477936
Albania,2005,4.118138055
Albania,2006,4.606991218
Albania,2007,3.832983536
Albania,2008,3.5588482
Albania,2009,3.178459406
Albania,2010,6.41050541
Albania,2011,9.164558248
Albania,2012,9.943382769
Albania,2013,10.04488424
Albania,2014,12.1075939
Algeria,1916,0.01163
Algeria,1917,0.01163
Algeria,1918,0.01163
Algeria,1919,0.01163
Algeria,1920,0.01163
Algeria,1922,0.01163
Algeria,1923,0.01163
Algeria,1924,0.02326
Algeria,1925,0.02326
