Entity,Year,"Chernobyl (WHO (2005), Fairlie & Sumner (2006), Cardis et al. (2006))"
Cardis et al. (2006),1986,16000
Fairlie & Sumner (a),1986,30000
Fairlie & Sumner (b),1986,60000
WHO (2005a),1986,4000
WHO (2005b),1986,9000
