Entity,Year,Living Planet Index
Africa,1970,1
Africa,1971,0.958698761
Africa,1972,0.964254805
Africa,1973,0.99264313
Africa,1974,0.963226937
Africa,1975,0.946154241
Africa,1976,0.93402785
Africa,1977,0.908598398
Africa,1978,0.876679795
Africa,1979,0.847087532
Africa,1980,0.831180966
Africa,1981,0.820530615
Africa,1982,0.79096343
Africa,1983,0.745668797
Africa,1984,0.708517577
Africa,1985,0.659233443
Africa,1986,0.617437965
Africa,1987,0.605015708
Africa,1988,0.580083655
Africa,1989,0.566012388
Africa,1990,0.560511546
Africa,1991,0.532291193
Africa,1992,0.538671009
Africa,1993,0.577187099
Africa,1994,0.565167755
Africa,1995,0.576289138
Africa,1996,0.556567417
Africa,1997,0.556039613
Africa,1998,0.546202576
Africa,1999,0.529135337
Africa,2000,0.542841769
Africa,2001,0.52048167
Africa,2002,0.466266216
Africa,2003,0.455198225
Africa,2004,0.450537723
Africa,2005,0.445354244
Africa,2006,0.42365697
Africa,2007,0.4267682
Africa,2008,0.445336661
Africa,2009,0.441587996
Africa,2010,0.466973192
Africa,2011,0.446630301
Africa,2012,0.414486232
Africa,2013,0.388415042
Africa,2014,0.356855191
Africa,2015,0.353893108
Africa,2016,0.354662678
Asia-Pacific,1970,1
Asia-Pacific,1971,1.063453512
Asia-Pacific,1972,1.048495461
Asia-Pacific,1973,1.033948242
Asia-Pacific,1974,1.041746598
Asia-Pacific,1975,1.072557806
Asia-Pacific,1976,1.063148691
Asia-Pacific,1977,1.043026199
Asia-Pacific,1978,1.017915145
Asia-Pacific,1979,1.015971275
Asia-Pacific,1980,1.010277345
Asia-Pacific,1981,0.995542165
Asia-Pacific,1982,0.984938418
Asia-Pacific,1983,0.954894038
Asia-Pacific,1984,0.91785716
Asia-Pacific,1985,0.930860349
Asia-Pacific,1986,0.882199051
Asia-Pacific,1987,0.852583673
Asia-Pacific,1988,0.831839405
Asia-Pacific,1989,0.849074441
Asia-Pacific,1990,0.843823186
Asia-Pacific,1991,0.781940723
Asia-Pacific,1992,0.762021423
Asia-Pacific,1993,0.741090839
Asia-Pacific,1994,0.668835225
Asia-Pacific,1995,0.688288641
Asia-Pacific,1996,0.677916491
Asia-Pacific,1997,0.653546293
Asia-Pacific,1998,0.643116426
Asia-Pacific,1999,0.613899145
Asia-Pacific,2000,0.590461188
Asia-Pacific,2001,0.563367309
Asia-Pacific,2002,0.56323805
Asia-Pacific,2003,0.568709333
Asia-Pacific,2004,0.567281675
Asia-Pacific,2005,0.551066182
Asia-Pacific,2006,0.5325023
Asia-Pacific,2007,0.523391912
Asia-Pacific,2008,0.503085563
Asia-Pacific,2009,0.479243755
Asia-Pacific,2010,0.463348663
