Entity,Year,memory,disk_drives,ssd,flash
World,1956,,9200.0,,
World,1957,411041792.0,,,
World,1959,67947725.0,7600.0,,
World,1960,5242880.0,3600.0,,
World,1964,,3518.62,,
World,1965,2642412.0,,,
World,1966,,1047.26,,
World,1970,734003.0,259.7,,
World,1973,399360.0,,,
World,1974,314573.0,185.0,,
World,1975,49920.0,,,
World,1976,23040.0,,,
World,1978,15200.0,,,
World,1979,6704.0,,,
World,1980,6480.0,,,
World,1981,4479.0,,,
World,1982,1980.0,,,
World,1984,1331.0,,,
World,1985,300.0,31.39,,
World,1986,190.0,24.45,,
World,1987,133.0,14.97,,
World,1988,,9.97,,
World,1989,113.0,7.48,,
World,1990,46.0,3.27,,
World,1991,40.0,2.79,,
World,1992,26.3,1.4,,
World,1993,,0.718,,
World,1994,,0.433,,
World,1995,,0.214,,
World,1996,5.25,0.128,,
World,1997,2.16,0.0484,,
World,1998,0.84,0.0248,,
World,1999,0.78,0.0088,,
World,2000,0.7,0.00407,,
World,2001,0.15,0.00259,,
World,2002,0.13,0.00122,,
World,2003,0.076,0.00106,,0.191
World,2004,,0.000609,,
World,2005,,0.000406,,0.0762
World,2006,0.073,0.000219,,0.0146
World,2007,0.024,0.0002,,0.00732
World,2008,0.01,0.0001,,0.00183
World,2009,,7e-05,,0.00162
World,2010,,4.5e-05,,0.00119
World,2011,0.0051,3.67e-05,,0.001007
World,2012,0.0037,,,0.00058
World,2013,,,0.000625,0.000458
World,2014,,3.5e-05,0.000375,0.000335
World,2015,,2.83e-05,0.00025,0.000145
World,2016,0.0027,2.77e-05,0.000203,
World,2017,,2.5e-05,,
World,2018,,2.34e-05,0.000104,
World,2019,,1.87e-05,7.92e-05,
World,2020,,1.62e-05,7.5e-05,
