Entity,Year,Coal (Mtoe),Oil (Mtoe),Natural Gas (Mtoe),Nuclear (Mtoe),Renewables (Mtoe),Imports (Mtoe),Bioenergy (Mtoe),Coal (%),Oil (%),Natural Gas (%),Nuclear (%),"Hydro, wind & solar (%)",Imports (%),Bioenergy (%),Fossil fuel (%),Low-carbon (%),Renewables (%)
United Kingdom,1970,99,92.4,11.3,7,0.4,,,47.12041885,43.97905759,5.378391242,3.331746787,0.190385531,0,0,96.47786768,3.522132318,0.190385531
United Kingdom,1971,87.7,93.5,18.2,7.4,0.3,,,42.34669242,45.14727185,8.788025109,3.573153066,0.144857557,0,0,96.28198938,3.718010623,0.144857557
United Kingdom,1972,76.8,100.2,25.9,7.9,0.3,,,36.38086215,47.46565609,12.26906679,3.742302226,0.142112743,0,0,96.11558503,3.884414969,0.142112743
United Kingdom,1973,83.2,101.5,28,7.5,0.3,,,37.7324263,46.03174603,12.6984127,3.401360544,0.136054422,0,0,96.46258503,3.537414966,0.136054422
United Kingdom,1974,73.3,94.3,33.5,9,0.4,,,34.82185273,44.79809976,15.91448931,4.275534442,0.190023753,0,0,95.53444181,4.465558195,0.190023753
United Kingdom,1975,73.7,85,35.1,8.1,0.3,,,36.44906034,42.03758655,17.35905045,4.005934718,0.148367953,0,0,95.84569733,4.154302671,0.148367953
United Kingdom,1976,75,83.5,37.2,9.6,0.4,,,36.46086534,40.59309674,18.08458921,4.666990763,0.194457948,0,0,95.13855129,4.861448712,0.194457948
United Kingdom,1977,75.3,85.1,39.5,10.6,0.3,,,35.72106262,40.37001898,18.73814042,5.028462998,0.142314991,0,0,94.82922201,5.170777989,0.142314991
United Kingdom,1978,73.3,87.2,41,10,0.3,,,34.60812087,41.17091596,19.3578848,4.721435316,0.141643059,0,0,95.13692162,4.863078376,0.141643059
United Kingdom,1979,78.8,87.7,44.8,10.2,0.4,,,35.51149166,39.52230735,20.18927445,4.596665164,0.180261379,0,0,95.22307346,4.776926543,0.180261379
United Kingdom,1980,73.3,76.2,44.8,9.9,0.3,,,35.84352078,37.26161369,21.90709046,4.841075795,0.146699267,0,0,95.01222494,4.987775061,0.146699267
United Kingdom,1981,72.9,69.5,45.4,10.2,0.4,,,36.74395161,35.03024194,22.88306452,5.141129032,0.201612903,0,0,94.65725806,5.342741935,0.201612903
United Kingdom,1982,68,70.7,45.2,11.9,0.4,,,34.65851172,36.03465851,23.03771662,6.065239551,0.203873598,0,0,93.73088685,6.26911315,0.203873598
United Kingdom,1983,68.6,67.2,47.1,13.5,0.4,,,34.85772358,34.14634146,23.93292683,6.859756098,0.203252033,0,0,92.93699187,7.06300813,0.203252033
United Kingdom,1984,48.7,84.7,48.2,14.5,0.3,,,24.79633401,43.12627291,24.54175153,7.382892057,0.152749491,0,0,92.46435845,7.535641548,0.152749491
United Kingdom,1985,64.8,72.2,51.8,16.5,0.4,,,31.50218765,35.0996597,25.18230433,8.021390374,0.194457948,0,0,91.78415168,8.215848323,0.194457948
United Kingdom,1986,70,71.1,52.7,15.4,0.4,0.4,,33.33333333,33.85714286,25.0952381,7.333333333,0.19047619,0.19047619,0,92.28571429,7.523809524,0.19047619
United Kingdom,1987,71.7,69.4,54.1,14.4,0.4,1,,33.98104265,32.89099526,25.63981043,6.82464455,0.18957346,0.473933649,0,92.51184834,7.014218009,0.18957346
United Kingdom,1988,70,74,51.4,16.6,0.4,1.1,,32.78688525,34.66042155,24.07494145,7.775175644,0.18735363,0.515222482,0,91.52224824,7.962529274,0.18735363
United Kingdom,1989,67,75.4,49.1,17.7,0.4,1.1,0.3,31.7535545,35.73459716,23.27014218,8.388625592,0.18957346,0.521327014,0.142180095,90.75829384,8.720379147,0.331753555
United Kingdom,1990,66.9,77.2,51.2,16.3,0.4,1,0.7,31.30556855,36.12540945,23.95882078,7.627515208,0.187178287,0.467945718,0.327562003,91.38979878,8.142255498,0.51474029
United Kingdom,1991,67.1,77.1,55.4,17.4,0.4,1.4,0.7,30.56947608,35.12528474,25.23917995,7.927107062,0.182232346,0.637813212,0.318906606,90.93394077,8.428246014,0.501138952
United Kingdom,1992,63,77.5,55.1,18.5,0.5,1.4,0.8,29.05904059,35.74723247,25.41512915,8.533210332,0.230627306,0.645756458,0.36900369,90.22140221,9.132841328,0.599630996
United Kingdom,1993,55,78.1,62.9,21.6,0.5,1.4,1.2,24.92070684,35.38740372,28.50022655,9.787041232,0.22655188,0.634345265,0.543724513,88.80833711,10.55731763,0.770276393
