Entity,Year,Wind,Solar PV,Solar Thermal,Solar PV-Thermal Hybrid,Total solar technologies,Bioenergy,Geothermal,Hydropower,Marine,Other,Total patents,Cumulative patents
China,2000,,,,,,,,,,,883,883
China,2001,,,,,,,,,,,1070,1953
China,2002,,,,,,,,,,,1536,3489
China,2003,,,,,,,,,,,1716,5205
China,2004,,,,,,,,,,,2339,7544
China,2005,,,,,,,,,,,2859,10403
China,2006,,,,,,,,,,,4919,15322
China,2007,,,,,,,,,,,6603,21925
China,2008,,,,,,,,,,,9249,31174
China,2009,,,,,,,,,,,13186,44360
China,2010,,,,,,,,,,,16792,61152
China,2011,,,,,,,,,,,19529,80681
China,2012,,,,,,,,,,,21190,101871
China,2013,,,,,,,,,,,20215,122086
China,2014,,,,,,,,,,,19430,141516
China,2015,,,,,,,,,,,19647,161163
China,2016,,,,,,,,,,,6965,168128
Germany,2000,,,,,,,,,,,1493,1493
Germany,2001,,,,,,,,,,,1368,2861
Germany,2002,,,,,,,,,,,1381,4242
Germany,2003,,,,,,,,,,,1305,5547
Germany,2004,,,,,,,,,,,1183,6730
Germany,2005,,,,,,,,,,,1436,8166
Germany,2006,,,,,,,,,,,1769,9935
Germany,2007,,,,,,,,,,,2280,12215
Germany,2008,,,,,,,,,,,2749,14964
Germany,2009,,,,,,,,,,,3135,18099
Germany,2010,,,,,,,,,,,3317,21416
Germany,2011,,,,,,,,,,,3249,24665
Germany,2012,,,,,,,,,,,2617,27282
Germany,2013,,,,,,,,,,,1770,29052
Germany,2014,,,,,,,,,,,1359,30411
Germany,2015,,,,,,,,,,,448,30859
Germany,2016,,,,,,,,,,,110,30969
Japan,2000,,,,,,,,,,,3681,3681
Japan,2001,,,,,,,,,,,3569,7250
Japan,2002,,,,,,,,,,,3430,10680
Japan,2003,,,,,,,,,,,3553,14233
Japan,2004,,,,,,,,,,,3610,17843
Japan,2005,,,,,,,,,,,3461,21304
Japan,2006,,,,,,,,,,,3537,24841
Japan,2007,,,,,,,,,,,3968,28809
Japan,2008,,,,,,,,,,,5111,33920
Japan,2009,,,,,,,,,,,7093,41013
Japan,2010,,,,,,,,,,,8313,49326
Japan,2011,,,,,,,,,,,9011,58337
Japan,2012,,,,,,,,,,,9763,68100
Japan,2013,,,,,,,,,,,7306,75406
Japan,2014,,,,,,,,,,,5124,80530
Japan,2015,,,,,,,,,,,1918,82448
Japan,2016,,,,,,,,,,,534,82982
Other,2000,,,,,,,,,,,3777,3777
Other,2001,,,,,,,,,,,4008,7785
Other,2002,,,,,,,,,,,4721,12506
Other,2003,,,,,,,,,,,5211,17717
Other,2004,,,,,,,,,,,5454,23171
Other,2005,,,,,,,,,,,6355,29526
Other,2006,,,,,,,,,,,8203,37729
Other,2007,,,,,,,,,,,12410,50139
Other,2008,,,,,,,,,,,16445,66584
Other,2009,,,,,,,,,,,21080,87664
Other,2010,,,,,,,,,,,22955,110619
Other,2011,,,,,,,,,,,23683,134302
Other,2012,,,,,,,,,,,21518,155820
Other,2013,,,,,,,,,,,16052,171872
Other,2014,,,,,,,,,,,12048,183920
Other,2015,,,,,,,,,,,5615,189535
Other,2016,,,,,,,,,,,1029,190564
United States,2000,,,,,,,,,,,1066,1066
United States,2001,,,,,,,,,,,1495,2561
United States,2002,,,,,,,,,,,1635,4196
United States,2003,,,,,,,,,,,1923,6119
United States,2004,,,,,,,,,,,2599,8718
United States,2005,,,,,,,,,,,3136,11854
United States,2006,,,,,,,,,,,3944,15798
United States,2007,,,,,,,,,,,5511,21309
United States,2008,,,,,,,,,,,7821,29130
United States,2009,,,,,,,,,,,10464,39594
United States,2010,,,,,,,,,,,12593,52187
United States,2011,,,,,,,,,,,12667,64854
United States,2012,,,,,,,,,,,11794,76648
United States,2013,,,,,,,,,,,10454,87102
United States,2014,,,,,,,,,,,8841,95943
United States,2015,,,,,,,,,,,4915,100858
United States,2016,,,,,,,,,,,1822,102680
World,2000,1885,3060,2100,660,5820,1879,128,918,235,35,10900,10900
World,2001,2274,3222,2221,691,6134,1820,188,819,263,12,11510,22410
World,2002,2936,3113,2549,614,6276,2007,234,984,237,29,12703,35113
World,2003,3185,3616,2416,818,6850,2090,242,1072,251,18,13708,48821
World,2004,3248,4024,2808,749,7581,2323,254,1234,514,31,15185,64006
World,2005,3685,4749,3028,872,8649,2844,253,1252,553,11,17247,81253
World,2006,4254,5816,4396,1182,11394,4081,352,1594,668,29,22372,103625
World,2007,6192,8085,5635,1435,15155,5898,503,2039,924,61,30772,134397
World,2008,8411,11600,8025,1943,21568,7128,578,2573,1064,53,41375,175772
World,2009,11180,17152,10530,2419,30101,7984,897,3249,1485,62,54958,230730
World,2010,12741,21844,12312,2911,37067,8433,726,3396,1533,74,63970,294700
World,2011,13549,24771,11769,2871,39411,9021,830,3848,1376,104,68139,362839
World,2012,12748,24653,11482,2944,39079,8841,832,3853,1402,127,66882,429721
World,2013,9820,19967,9932,2792,32691,7754,749,3255,1360,168,55797,485518
World,2014,8812,14655,7849,2952,25456,7167,661,3192,1308,206,46802,532320
World,2015,5908,9554,5971,2605,18130,4681,371,2324,821,308,32543,564863
World,2016,1812,3036,1880,946,5862,1509,165,729,270,113,10460,575323
