Entity,Year,Fossil fuels (%),Renewables (%),Nuclear (%),Low-carbon (%),Fossil fuels (TWh),Renewables (TWh),Nuclear (TWh),Low-carbon (TWh)
World,1965,97.67689909,2.260928696,0.06217221,2.323100906,40513.02029,937.7555078,25.78689584,963.5424037
World,1966,97.61787839,2.302975453,0.079146154,2.382121607,42645.94073,1006.091879,34.57627093,1040.66815
World,1967,97.6369843,2.269504332,0.093511367,2.363015699,44278.84241,1029.23114,42.4078552,1071.638995
World,1968,97.64331721,2.247500785,0.109182006,2.356682791,46972.30189,1081.182905,52.52310447,1133.70601
World,1969,97.64785045,2.228741553,0.123408,2.352149554,50196.57391,1145.70049,63.43876256,1209.139253
World,1970,97.65848141,2.197938191,0.143580402,2.341518593,53329.49709,1200.253544,78.40661173,1278.660155
World,1971,97.60876549,2.197748754,0.19348576,2.391234514,55494.65727,1249.511899,110.0047304,1359.516629
World,1972,97.56578255,2.182206431,0.252011022,2.434217453,58419.63137,1306.643497,150.8970728,1457.54057
World,1973,97.58879189,2.09130833,0.319899783,2.411208113,61822.18923,1324.837174,202.6554947,1527.492669
World,1974,97.29088957,2.293385907,0.415724526,2.709110433,61639.95364,1453.005534,263.3878734,1716.393408
World,1975,97.10354954,2.322669583,0.573780878,2.896450461,61662.44279,1474.935582,364.3608367,1839.296418
World,1976,97.15408977,2.199164543,0.646745684,2.845910227,65104.24249,1473.689291,433.3928498,1907.082141
World,1977,97.04272418,2.184341535,0.772934289,2.957275824,67222.75848,1513.12182,535.421645,2048.543465
World,1978,96.84531576,2.286736646,0.867947596,3.154684242,69102.74884,1631.67198,619.3130172,2250.984997
World,1979,96.81061034,2.322537628,0.866852028,3.189389655,71434.61044,1713.754,639.6327497,2353.386749
World,1980,96.63382017,2.392529726,0.973650106,3.366179832,70601.17748,1747.994807,711.3538908,2459.348698
World,1981,96.38845069,2.456746979,1.154802332,3.611549311,69773.56516,1778.387288,835.9370357,2614.324324
World,1982,96.13578702,2.587729389,1.276483596,3.864212985,69035.30383,1858.253728,916.6454617,2774.89919
World,1983,95.90576458,2.678365154,1.415870269,4.094235423,69727.62461,1947.286911,1029.398713,2976.685624
World,1984,95.70405207,2.656911412,1.639036522,4.295947935,72656.40038,2017.068402,1244.32029,3261.388692
World,1985,95.42429713,2.654461273,1.921241597,4.575702869,73962.30506,2057.443233,1489.132866,3546.576099
World,1986,95.33897196,2.644938162,2.01608988,4.661028043,75423.63675,2092.437658,1594.949344,3687.387002
World,1987,95.28117623,2.598579926,2.120243848,4.718823774,77966.39594,2126.35821,1734.946796,3861.305006
World,1988,95.18222662,2.587104622,2.230668756,4.817773378,80709.39649,2193.725237,1891.48684,4085.212078
World,1989,95.21766088,2.534452352,2.247886772,4.782339124,82398.04501,2193.22673,1945.242865,4138.469595
World,1990,95.09820105,2.611456969,2.290341976,4.901798945,83069.47756,2281.140586,2000.642591,4281.783177
World,1991,94.94502153,2.665821495,2.389156978,5.054978473,83309.15455,2339.115115,2096.356868,4435.471982
World,1992,94.95765572,2.653905235,2.388439045,5.04234428,83978.2629,2347.049849,2112.277946,4459.327795
World,1993,94.73512398,2.801655221,2.463220801,5.264876023,84035.43899,2485.227406,2185.016841,4670.244247
World,1994,94.73439101,2.789194323,2.476414665,5.265608988,85156.80683,2507.208624,2226.050783,4733.259407
World,1995,94.57325746,2.888699346,2.538043195,5.426742541,86545.07203,2643.481886,2322.592422,4966.074308
World,1996,94.59823367,2.847374207,2.554392128,5.401766335,89139.87563,2683.079513,2407.002623,5090.082136
World,1997,94.61355069,2.878346383,2.508102924,5.386449307,90176.44517,2743.360152,2390.480054,5133.840206
World,1998,94.56509964,2.897085768,2.537814588,5.434900356,90606.21619,2775.801859,2431.571247,5207.373105
World,1999,94.52785425,2.881342839,2.590802914,5.472145753,92110.43893,2807.656597,2524.546817,5332.203414
World,2000,94.54162884,2.87523132,2.583139839,5.458371159,94462.4579,2872.823547,2580.976669,5453.800216
World,2001,94.58873608,2.786592565,2.624671355,5.411263919,95639.27259,2817.541464,2653.821898,5471.363362
World,2002,94.59553675,2.797702898,2.606760349,5.404463247,97841.32138,2893.698347,2696.204132,5589.902479
World,2003,94.83884385,2.706171284,2.454984864,5.161156147,102047.969,2911.87948,2641.599256,5553.478736
World,2004,94.78025498,2.775493363,2.444251655,5.219745018,106912.4464,3130.765847,2757.124087,5887.889933
World,2005,94.82129992,2.808379146,2.370320936,5.178700082,110771.7637,3280.793572,2769.046942,6049.840514
World,2006,94.80951869,2.860046518,2.330434794,5.190481311,114059.5951,3440.748907,2803.605088,6244.353995
World,2007,94.94025761,2.853646282,2.206096105,5.059742387,118195.8943,3552.647558,2746.479825,6299.127382
World,2008,94.79542578,3.028796611,2.175777612,5.204574222,119284.5634,3811.245935,2737.860822,6549.106757
World,2009,94.66883077,3.146902426,2.184266801,5.331169227,116988.6348,3888.838761,2699.245242,6588.084003
World,2010,94.63199814,3.232553395,2.135448463,5.368001858,122641.5898,4189.33865,2767.507814,6956.846465
World,2011,94.69066501,3.313558355,1.995776639,5.309334995,125814.6893,4402.697087,2651.771616,7054.468703
World,2012,94.65424898,3.509749844,1.836001172,5.345751017,127466.0238,4726.400158,2472.44864,7198.848798
World,2013,94.493684,3.68628747,1.820028535,5.506316005,129366.3462,5046.702816,2491.705601,7538.408417
World,2014,94.3104655,3.846301435,1.843233067,5.689534503,130013.6568,5302.398964,2541.027341,7843.426305
World,2015,94.16126059,3.981455873,1.857283537,5.83873941,130581.9994,5521.447622,2575.664304,8097.111925
World,2016,93.94781494,4.19037711,1.86180795,6.05218506,131844.928,5880.711209,2612.83283,8493.544039
World,2017,93.80031986,4.352760184,1.846919956,6.19968014,133853.3777,6211.403693,2635.561104,8846.964796
