Entity,Year,bioweapons_status_current,bioweapons_status_current_num,bioweapons_status_hist,bioweapons_status_hist_num,bioweapons_convention,bioweapons_convention_num,chemweapons_status_current,chemweapons_status_current_num,chemweapons_status_hist,chemweapons_status_hist_num,chemweapons_convention,chemweapons_convention_num,num_bioweapons_curr_neither,num_bioweapons_curr_allepur,num_bioweapons_hist_neither,num_bioweapons_hist_allepur,num_bioweapons_hist_pur,num_bioweapons_hist_alleposs,num_bioweapons_hist_poss,num_bioweapons_hist_use,num_chemweapons_curr_neither,num_chemweapons_curr_allepur,num_chemweapons_curr_poss,num_chemweapons_curr_alleuse,num_chemweapons_curr_use,num_chemweapons_hist_neither,num_chemweapons_hist_pur,num_chemweapons_hist_alleposs,num_chemweapons_hist_poss,num_chemweapons_hist_alleuse,num_chemweapons_hist_use
Afghanistan,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,,,,,,,,,,,,,,,,,,,
Albania,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,neither pursues nor possesses,0,possessed,3,ratified,2,,,,,,,,,,,,,,,,,,,
Algeria,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,,,,,,,,,,,,,,,,,,,
Andorra,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,,,,,,,,,,,,,,,,,,,
Angola,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,,,,,,,,,,,,,,,,,,,
Argentina,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,,,,,,,,,,,,,,,,,,,
Armenia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,,,,,,,,,,,,,,,,,,,
Australia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,neither pursues nor possesses,0,possessed,3,ratified,2,,,,,,,,,,,,,,,,,,,
Austria,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,,,,,,,,,,,,,,,,,,,
Azerbaijan,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,neither pursues nor possesses,0,neither pursued nor possessed,0,ratified,2,,,,,,,,,,,,,,,,,,,
