Entity,Year,Population (US Census Bureau (2017))
Africa,1950,229058740
Africa,1951,233794735
Africa,1952,238736790
Africa,1953,243815548
Africa,1954,249120432
Africa,1955,254742506
Africa,1956,260546084
Africa,1957,266521168
Africa,1958,272706373
Africa,1959,279113690
Africa,1960,285771255
Africa,1961,292464059
Africa,1962,299294572
Africa,1963,306817386
Africa,1964,314562199
Africa,1965,322637698
Africa,1966,331018871
Africa,1967,339704327
Africa,1968,348616957
Africa,1969,357757332
Africa,1970,366638097
Africa,1971,376140465
Africa,1972,385776439
Africa,1973,395857982
Africa,1974,406349543
Africa,1975,416958705
Africa,1976,428424049
Africa,1977,440522344
Africa,1978,452987597
Africa,1979,466065065
Africa,1980,479470372
Africa,1981,494319514
Africa,1982,509526106
Africa,1983,524489763
Africa,1984,537892862
Africa,1985,553022019
Africa,1986,568536620
Africa,1987,583907082
Africa,1988,599597968
Africa,1989,615540446
Africa,1990,632000465
Africa,1991,648998636
Africa,1992,665701558
Africa,1993,682531650
Africa,1994,697866989
Africa,1995,714891029
Africa,1996,732565536
Africa,1997,750201094
Africa,1998,768174473
Africa,1999,786806174
Africa,2000,805888233
Africa,2001,825658369
Africa,2002,846262001
Africa,2003,867532238
Africa,2004,889355899
Africa,2005,911549868
Africa,2006,934316318
Africa,2007,957784729
Africa,2008,981888999
Africa,2009,1006584791
Africa,2010,1031685311
Africa,2011,1057027899
Africa,2012,1083130063
Africa,2013,1110187553
Africa,2014,1137686631
Africa,2015,1165515037
Africa,2016,1193674518
Africa,2017,1222204378
Asia,1950,1437565483
Asia,1951,1457376247
Asia,1952,1481215627
Asia,1953,1507805851
Asia,1954,1536467620
Asia,1955,1567876467
Asia,1956,1600339306
Asia,1957,1635074417
Asia,1958,1670227927
Asia,1959,1700627198
Asia,1960,1720463730
Asia,1961,1738599710
Asia,1962,1771769091
Asia,1963,1818152586
Asia,1964,1866071369
Asia,1965,1912138600
Asia,1966,1959565769
Asia,1967,2006708665
Asia,1968,2055854091
Asia,1969,2107386450
Asia,1970,2159190894
Asia,1971,2211921705
Asia,1972,2263799927
Asia,1973,2315119867
Asia,1974,2365649000
Asia,1975,2412701231
Asia,1976,2457860549
Asia,1977,2502922824
Asia,1978,2547627885
Asia,1979,2594258583
Asia,1980,2637685486
Asia,1981,2690257481
Asia,1982,2741828384
Asia,1983,2794723159
Asia,1984,2846896679
Asia,1985,2900366152
Asia,1986,2955307222
Asia,1987,3012810194
Asia,1988,3070640924
Asia,1989,3127541981
Asia,1990,3184538462
Asia,1991,3236378209
