Entity,Year,Malaria (IHME (2017)),Diarrheal diseases (IHME (2017)),Lower respiratory infections (IHME (2017)),Measles (IHME (2017)),HIV/AIDS (IHME (2017))
World,1990,701371.0158,1387614.431,2125305.036,729199.3081,35602.92251
World,1995,768916.0648,1096304.09,1762620.683,597008.8403,101901.5291
World,2000,827497.01,868372.1644,1427783.28,447344.5097,167040.7018
World,2005,829233.319,759635.8058,1114921.372,251593.9394,184965.5269
World,2010,665162.0883,643613.9641,886478.8162,112173.4738,137376.6139
World,2015,474146.0983,498888.7531,703917.8602,62588.44518,88882.25072
