Entity,Year,Male (number of deaths),Female (number of deaths),Both sexes (number of deaths)
1-4 years,1915,29044,26526,55570
1-4 years,1925,14612,13201,27813
1-4 years,1935,6084,5422,11506
1-4 years,1945,3520,2901,6420
1-4 years,1955,1391,1239,2629
1-4 years,1965,1454,1210,2664
1-4 years,1975,980,718,1698
1-4 years,1985,636,495,1131
1-4 years,1995,400,338,738
1-4 years,2005,296,220,516
1-4 years,2015,255,205,459
10-14 years,1915,4224,4217,8442
10-14 years,1925,2974,2910,5884
10-14 years,1935,2322,2183,4505
10-14 years,1945,1457,1090,2547
10-14 years,1955,699,475,1174
10-14 years,1965,706,456,1161
10-14 years,1975,691,354,1044
10-14 years,1985,503,308,811
10-14 years,1995,331,227,558
10-14 years,2005,275,189,464
10-14 years,2015,167,130,296
15-19 years,1915,5985,5207,11193
15-19 years,1925,4728,4579,9307
15-19 years,1935,3319,3058,6377
15-19 years,1945,2050,1992,4042
15-19 years,1955,1214,556,1769
15-19 years,1965,1901,720,2621
15-19 years,1975,1582,633,2215
15-19 years,1985,1372,545,1917
15-19 years,1995,885,388,1273
15-19 years,2005,856,378,1234
15-19 years,2015,533,297,830
20-24 years,1915,7229,5643,12871
20-24 years,1925,5524,5290,10814
20-24 years,1935,4895,4505,9399
20-24 years,1945,2273,3131,5404
20-24 years,1955,1607,772,2379
20-24 years,1965,1656,714,2371
20-24 years,1975,1710,714,2424
20-24 years,1985,1727,632,2359
20-24 years,1995,1565,522,2088
20-24 years,2005,1211,479,1690
20-24 years,2015,967,381,1348
25-29 years,1915,7319,6217,13536
25-29 years,1925,5030,5520,10550
25-29 years,1935,5120,4915,10035
25-29 years,1945,2327,3100,5427
25-29 years,1955,1696,1211,2906
25-29 years,1965,1505,857,2362
25-29 years,1975,1598,922,2520
25-29 years,1985,1411,648,2059
25-29 years,1995,1895,757,2651
25-29 years,2005,1275,585,1859
25-29 years,2015,1168,551,1719
30-34 years,1915,8369,6941,15310
30-34 years,1925,5340,5555,10895
30-34 years,1935,5274,5137,10411
30-34 years,1945,3258,3731,6989
30-34 years,1955,2241,1791,4032
30-34 years,1965,1742,1110,2852
30-34 years,1975,1627,1000,2627
30-34 years,1985,1537,933,2470
30-34 years,1995,2215,1086,3301
30-34 years,2005,1871,889,2760
30-34 years,2015,1555,817,2372
35-39 years,1915,10182,8379,18560
35-39 years,1925,6621,6338,12959
35-39 years,1935,5936,5632,11567
35-39 years,1945,4423,4467,8890
35-39 years,1955,2783,2234,5017
35-39 years,1965,2811,1970,4781
35-39 years,1975,2176,1555,3731
35-39 years,1985,2425,1628,4053
35-39 years,1995,2426,1429,3854
35-39 years,2005,2654,1462,4116
35-39 years,2015,2067,1270,3336
40-44 years,1915,11439,9330,20770
40-44 years,1925,9138,7453,16591
40-44 years,1935,7187,6669,13856
40-44 years,1945,6469,5468,11938
40-44 years,1955,5049,3904,8953
