Entity,Year,Cumulative capacity,Unit cost
World,1976,0.32,66.10483509
World,1977,0.77,46.44053919
World,1978,1.77,33.28268777
World,1979,3.27,29.69249275
World,1980,6.57,23.75536076
World,1981,11.87,17.91879972
World,1982,19.57,18.03281778
World,1983,34.07,16.84394443
World,1984,51.57,13.71777349
World,1985,70.97,12.49436648
World,1986,91.97,11.688438
World,1987,116.87,9.801145644
World,1988,148.37,9.732873463
World,1989,186.27,9.78995465
World,1990,228.97,10.00979872
World,1991,277.17,9.294041424
World,1992,331.27,8.779085653
World,1993,386.97,7.822745141
World,1994,447.97,7.645051978
World,1995,519.47,7.070296464
World,1996,602.07,5.880830563
World,1997,716.17,5.823568563
World,1998,850.97,4.892791833
World,1999,1026.47,4.479716716
World,2000,1278.47,3.650031142
World,2001,1631.37,3.438769955
World,2002,2136.27,3.514611115
World,2003,2811.57,3.320772752
World,2004,3861.37,3.536793321
World,2005,5269.07,3.580157424
World,2006,7251.47,3.885921402
World,2007,10324.47,3.908058849
World,2008,15816.27,3.558856423
World,2009,23729.27,2.3692676
World,2010,41131.57,1.589153601
World,2011,64710.87,1.441280262
World,2012,90772.67,0.774728408
World,2013,124572.67,0.823302284
World,2014,164472.67,0.71
World,2015,219868,0.66
World,2016,291064,0.62
