Entity,Year,Under 15 (IIASA (2016)),No Education (IIASA (2016)),Incomplete Primary (IIASA (2016)),Primary (IIASA (2016)),Lower Secondary (IIASA (2016)),Upper Secondary (IIASA (2016)),Post Secondary (IIASA (2016))
World,1970,1378077120,852015980,213280670,533866870,294393410,307645270,101463580
World,1975,1491606470,862538720,228487940,586138040,364304800,390703720,135628950
World,1980,1566251150,873344840,245332730,640271120,448134810,483938060,176871540
World,1985,1638973460,864490330,255128620,687326790,548682060,577295870,224795020
World,1990,1731434510,879361350,275026930,758138630,666263600,691635730,283065550
World,1995,1814459130,869366360,286206620,797401340,777572130,809166470,349531600
World,2000,1844169670,850174500,299523480,842728860,893735000,946740810,422580680
World,2005,1830582280,822837920,308032070,875914110,1027531630,1106682320,510662140
World,2010,1842570290,791487880,317158190,901162550,1134045170,1269257460,615180850
World,2015,1861324360,767773610,316235420,932093060,1213698370,1431279740,725515860
World,2020,1877883560,735182870,311966080,959392850,1286056000,1599479250,841773220
World,2025,1869447820,699301030,304035770,977636500,1352650500,1781898440,964758420
World,2030,1851474260,658831430,293437280,988411050,1398926380,1967258220,1097776660
World,2035,1825883240,614799900,279390720,991923800,1429380710,2151416190,1238213320
World,2040,1800754230,567742670,262153540,987071070,1439555670,2330335990,1384584580
World,2045,1775514920,518400690,242455830,974382440,1430480610,2500439400,1534818550
World,2050,1742014720,467789970,221028780,954848230,1405137960,2662071370,1687504650
World,2055,1697956420,416617210,198584800,928681710,1363876040,2813669770,1842202100
World,2060,1646217430,365850250,175710120,896070530,1307475100,2951568840,1997952550
World,2065,1593543010,317076220,153222450,858360520,1238889100,3070878840,2152448970
World,2070,1544352660,271305630,131637550,815871650,1161186400,3169710610,2303099730
World,2075,1497102810,229290390,111536110,769687340,1078237660,3246239220,2448118720
World,2080,1447838720,191423350,93415230,720590500,993850220,3301586190,2585896770
World,2085,1394355270,157889630,77491230,669495260,910458820,3337871210,2716254720
World,2090,1339248550,128703230,63684200,617123750,829613350,3354746270,2840013610
World,2095,1285690470,103661910,51825950,564414940,752398340,3351886890,2956467880
World,2100,1236630000,82633990,41796360,512570980,679798360,3330483540,3064321300
