Entity,Year,Share of people who trust other people in their neighbourhood,Share of people who trust their national government,Share of people who trust scientists in their country,Share of people who trust journalists in their country,Share of people who trust doctors and nurses in their country,Share of people who trust people who work at non-governmental or non-profit orgnaizations,Share of people who trust traditional healers in their countries
Afghanistan,2018,94.54343931,45.19529051,55.92993506,67.1199388,73.44479,57.78258524,16.97373672
Albania,2018,65.61099169,46.44411407,43.34616866,54.54250377,67.53741293,48.59860829,42.3385213
Algeria,2018,65.33522754,38.0593098,60.33310074,41.07652313,64.20654271,51.63564942,52.79386352
Argentina,2018,73.92378662,31.92407072,75.55329459,48.16721365,89.40487393,56.63795546,20.49590882
Armenia,2018,80.72639982,79.74244434,71.2760466,65.91840529,74.02420439,53.16542245,43.53837775
Australia,2018,89.70741214,46.97923889,87.44842233,54.21311574,95.97211475,76.97994978,53.20079987
Australia/New Zealand,2018,,,,,96,,
Austria,2018,88.59688402,59.51411089,84.39838564,70.44173493,93.88728003,58.16672221,53.03958483
Azerbaijan,2018,87.88571454,88.28027359,77.29804143,57.24819587,82.42274925,41.62151037,52.53655619
Bangladesh,2018,88.36253255,85.59957425,81.57141699,78.00373944,89.73409995,71.00195011,34.88376057
Belarus,2018,62.79188666,47.39126444,79.81243898,43.10047775,77.72965338,63.27607204,34.4459131
Belgium,2018,88.56356782,53.4546556,91.56832932,63.16836236,96.73120297,65.85580588,63.37975811
Benin,2018,45.77912344,42.41171592,39.33424706,43.00768986,49.76686575,36.81918252,37.99714233
Bolivia,2018,58.71143451,49.87210383,49.62647852,55.34328934,64.40238814,44.04717746,36.90610103
Bosnia and Herzegovina,2018,76.14432644,21.09446821,59.34399492,34.94888468,75.46247621,56.96390774,27.01883404
Botswana,2018,38.09837506,55.09423348,42.6329868,55.41606083,64.74549043,39.11187108,18.43676878
Brazil,2018,51.35586798,14.50147619,59.34034854,53.98234699,72.62909074,55.23406209,20.2415911
Bulgaria,2018,76.36268275,31.87849326,67.34524287,45.41376759,80.79629579,37.38586479,33.51741539
Burkina Faso,2018,63.73694603,54.6611032,47.41771231,57.77898145,74.75634286,45.89959066,55.53569815
Burundi,2018,46.85796282,60.46061558,40.48613212,52.82138593,66.13060089,45.89172061,9.471254356
Cambodia,2018,71.27654819,,58.18699967,62.28835579,82.48974655,61.6891655,71.77421587
Cameroon,2018,44.25744796,51.24509231,48.83349697,48.58357686,63.27670194,40.87930815,33.16693626
Canada,2018,82.71881464,65.08738358,85.8127098,70.76704196,94.25868259,76.99920287,49.90555941
Central Africa,2018,,,,,57,,
Central America and Mexico,2018,,,,,81,,
Central Asia,2018,,,,,87,,
Chad,2018,58.47013528,45.42210117,42.57449372,45.32157151,51.87274218,40.44938527,39.87183817
Chile,2018,65.75635485,43.26279147,65.05692227,46.03100468,75.70090359,58.4873872,17.259761
