Entity,Year,Labour productivity per hour (2013=100)
United Kingdom,1760,3.876608992
United Kingdom,1761,3.955296872
United Kingdom,1762,3.846188926
United Kingdom,1763,3.834283904
United Kingdom,1764,3.801639474
United Kingdom,1765,3.726853298
United Kingdom,1766,3.71185805
United Kingdom,1767,3.692087275
United Kingdom,1768,3.681439107
United Kingdom,1769,3.792823272
United Kingdom,1770,3.659810318
United Kingdom,1771,3.674117186
United Kingdom,1772,3.566062982
United Kingdom,1773,3.586348513
United Kingdom,1774,3.48265799
United Kingdom,1775,3.530397292
United Kingdom,1776,3.581436043
United Kingdom,1777,3.62903412
United Kingdom,1778,3.59081265
United Kingdom,1779,3.562399665
United Kingdom,1780,3.666953138
United Kingdom,1781,3.712153706
United Kingdom,1782,3.656436876
United Kingdom,1783,3.581783309
United Kingdom,1784,3.573058442
United Kingdom,1785,3.507053867
United Kingdom,1786,3.504261622
United Kingdom,1787,3.409558752
United Kingdom,1788,3.370709243
United Kingdom,1789,3.387077345
United Kingdom,1790,3.533401682
United Kingdom,1791,3.500407155
United Kingdom,1792,3.566657489
United Kingdom,1793,3.513889343
United Kingdom,1794,3.431552101
United Kingdom,1795,3.64181185
United Kingdom,1796,3.645577653
United Kingdom,1797,3.592797497
United Kingdom,1798,3.556501745
United Kingdom,1799,3.599701574
United Kingdom,1800,3.672418417
United Kingdom,1801,3.689201843
United Kingdom,1802,3.719961175
United Kingdom,1803,3.682865923
United Kingdom,1804,3.668788866
United Kingdom,1805,3.768216897
United Kingdom,1806,3.715820582
United Kingdom,1807,3.835825423
United Kingdom,1808,3.671246145
United Kingdom,1809,3.741869216
United Kingdom,1810,3.879780926
United Kingdom,1811,3.839507155
United Kingdom,1812,3.723871441
United Kingdom,1813,3.872697008
United Kingdom,1814,3.818492371
United Kingdom,1815,3.983791551
United Kingdom,1816,3.831753124
United Kingdom,1817,3.867131138
United Kingdom,1818,3.83943638
United Kingdom,1819,3.792757574
United Kingdom,1820,3.91488901
United Kingdom,1821,3.914450196
United Kingdom,1822,3.916845396
United Kingdom,1823,3.94197651
United Kingdom,1824,4.056885915
United Kingdom,1825,4.084742432
United Kingdom,1826,3.967948179
United Kingdom,1827,4.139965798
United Kingdom,1828,4.163803818
United Kingdom,1829,4.162023824
United Kingdom,1830,4.225797881
United Kingdom,1831,4.275784051
United Kingdom,1832,4.337164229
United Kingdom,1833,4.321390268
United Kingdom,1834,4.380544539
United Kingdom,1835,4.542182873
United Kingdom,1836,4.588622052
United Kingdom,1837,4.575719922
United Kingdom,1838,4.715314958
United Kingdom,1839,4.712774531
United Kingdom,1840,4.888968495
