Entity,Year,Carbon intensity (kgCO2/$) (CDIAC (2017))
China,1820,0
China,1870,0
China,1900,0
China,1913,0.064205123
China,1940,0.459912644
China,1950,0.375983857
China,1951,0.435228865
China,1952,0.522667916
China,1953,0.529294664
China,1954,0.601358466
China,1955,0.652406918
China,1956,0.698384438
China,1957,0.74385057
China,1958,1.503959195
China,1959,2.136583203
China,1960,2.796089357
China,1961,1.96976184
China,1962,1.42954514
China,1963,1.268002015
China,1964,1.138559372
China,1965,1.133940487
China,1966,1.281512116
China,1967,1.083680776
China,1968,1.080341342
China,1969,1.184983598
China,1970,1.508899643
China,1971,1.665584015
China,1972,1.64734676
China,1973,1.684222176
China,1974,1.618179547
China,1975,1.887583804
China,1976,1.85514787
China,1977,1.832224573
China,1978,1.898188337
China,1979,1.87734925
China,1980,1.738670525
China,1981,1.59972597
China,1982,1.605436962
China,1983,1.506088875
China,1984,1.486238011
China,1985,1.509297409
China,1986,1.436653396
China,1987,1.433157256
China,1988,1.509989072
China,1989,1.482805797
China,1990,1.410717179
China,1991,1.355841896
China,1992,1.244856624
China,1993,1.169738773
China,1994,1.099224185
China,1995,1.075636727
China,1996,1.020573085
China,1997,0.93605981
China,1998,0.831708625
China,1999,0.771017557
China,2000,0.729331407
China,2001,0.689475543
China,2002,0.697494471
China,2003,0.747501691
China,2004,0.782492686
China,2005,0.791487634
China,2006,0.777469226
China,2007,0.732885789
China,2008,0.718008513
China,2009,0.695239192
China,2010,0.689272714
China,2011,0.697918278
China,2012,0.6666957
China,2013,0.632853837
China,2014,0.59176168
France,1820,0.024241209
France,1870,0.260721604
France,1900,0.538883826
France,1913,0.62185969
France,1940,0.376241783
France,1950,0.520557046
France,1951,0.573406049
France,1952,0.553078742
France,1953,0.498597232
France,1954,0.497465194
France,1955,0.499926335
France,1956,0.529771686
France,1957,0.534133611
France,1958,0.49805417
France,1959,0.457820526
France,1960,0.448709535
France,1961,0.436239488
France,1962,0.440496254
France,1963,0.461786167
France,1964,0.45525531
France,1965,0.441475584
France,1966,0.416435675
France,1967,0.427271557
France,1968,0.413136337
France,1969,0.419826452
France,1970,0.425403516
France,1971,0.429023567
France,1972,0.422980154
France,1973,0.441598455
France,1974,0.429608774
France,1975,0.368774536
France,1976,0.402186778
France,1977,0.37217297
France,1978,0.379352382
France,1979,0.391326123
France,1980,0.369934356
France,1981,0.324684294
France,1982,0.308362512
France,1983,0.293957175
France,1984,0.278051618
France,1985,0.268614409
France,1986,0.252017709
France,1987,0.236324191
France,1988,0.223931319
France,1989,0.229026263
France,1990,0.217621558
France,1991,0.22398185
France,1992,0.20646345
France,1993,0.204342586
France,1994,0.187568324
France,1995,0.189737213
France,1996,0.201153024
France,1997,0.184123465
France,1998,0.190890016
France,1999,0.180430707
France,2000,0.170548614
France,2001,0.174349389
France,2002,0.171297198
France,2003,0.17244793
France,2004,0.169125718
France,2005,0.167147916
France,2006,0.15920143
France,2007,0.152787536
France,2008,0.151326359
France,2009,0.149772419
France,2010,0.147358124
France,2011,0.135676299
France,2012,0.136009605
France,2013,0.135583041
France,2014,0.122296649
Germany,1820,0.025158116
Germany,1870,0.253392233
Germany,1900,0.7389624
Germany,1913,0.761208784
Germany,1940,1.323571869
Germany,1991,0.356305659
Germany,1992,0.335297022
Germany,1993,0.333095021
Germany,1994,0.320628784
Germany,1995,0.314625174
Germany,1996,0.321283483
Germany,1997,0.30575652
Germany,1998,0.297417738
Germany,1999,0.280404711
Germany,2000,0.274827127
Germany,2001,0.277957209
Germany,2002,0.270162811
Germany,2003,0.269827654
Germany,2004,0.264759102
Germany,2005,0.256585444
Germany,2006,0.253418045
Germany,2007,0.234617606
Germany,2008,0.232110945
Germany,2009,0.227560519
Germany,2010,0.229718515
Germany,2011,0.213909237
Germany,2012,0.215001737
Germany,2013,0.219000832
Germany,2014,0.204908058
India,1820,0
India,1870,0
India,1900,0.046120507
India,1913,0.093634512
India,1940,0.187394131
India,1950,0.21143332
India,1951,0.214916977
India,1952,0.21305809
India,1953,0.208450162
India,1954,0.214029155
India,1955,0.219473867
India,1956,0.229716613
India,1957,0.239435136
India,1958,0.245052956
India,1959,0.242277917
India,1960,0.258235994
India,1961,0.273214197
India,1962,0.286252866
India,1963,0.2854624
India,1964,0.290630525
India,1965,0.317314276
India,1966,0.303347117
India,1967,0.296516014
India,1968,0.30232389
India,1969,0.292905228
India,1970,0.296687685
India,1971,0.31403577
India,1972,0.317491692
India,1973,0.323482495
India,1974,0.307160172
India,1975,0.329847948
India,1976,0.320346806
India,1977,0.321629421
India,1978,0.343406864
India,1979,0.336011911
India,1980,0.335054526
India,1981,0.350231131
India,1982,0.33443699
India,1983,0.348745889
India,1984,0.343709269
India,1985,0.36243296
India,1986,0.37237839
India,1987,0.359897075
India,1988,0.364456354
India,1989,0.380256982
India,1990,0.401417091
India,1991,0.422262229
India,1992,0.425189818
India,1993,0.420194802
India,1994,0.416298881
India,1995,0.410685236
India,1996,0.415151908
India,1997,0.414983837
India,1998,0.39870847
India,1999,0.389603407
India,2000,0.388789412
India,2001,0.374240133
India,2002,0.365064058
India,2003,0.353015414
India,2004,0.34337798
India,2005,0.33278024
India,2006,0.324782636
India,2007,0.322870358
India,2008,0.346274171
India,2009,0.353859781
India,2010,0.317433446
India,2011,0.318805425
India,2012,0.331231562
India,2013,0.313400555
India,2014,0.321669599
United Kingdom,1820,0.258520622
United Kingdom,1870,0.752714472
United Kingdom,1900,1.137982254
United Kingdom,1913,0.917819185
United Kingdom,1940,0.831825573
United Kingdom,1950,0.850715739
United Kingdom,1951,0.927868216
United Kingdom,1952,0.865871933
United Kingdom,1953,0.850334455
United Kingdom,1954,0.839682632
United Kingdom,1955,0.865302833
United Kingdom,1956,0.847791688
United Kingdom,1957,0.844226966
United Kingdom,1958,0.790807699
United Kingdom,1959,0.735044788
United Kingdom,1960,0.760182096
United Kingdom,1961,0.758497501
United Kingdom,1962,0.735890151
United Kingdom,1963,0.711233711
United Kingdom,1964,0.698438895
United Kingdom,1965,0.701361461
United Kingdom,1966,0.681508939
United Kingdom,1967,0.627259206
United Kingdom,1968,0.631103859
United Kingdom,1969,0.638789152
United Kingdom,1970,0.649616434
United Kingdom,1971,0.634906907
United Kingdom,1972,0.583762458
United Kingdom,1973,0.602343124
United Kingdom,1974,0.56427684
United Kingdom,1975,0.539410812
United Kingdom,1976,0.523824624
United Kingdom,1977,0.510719955
United Kingdom,1978,0.497291241
United Kingdom,1979,0.53884838
United Kingdom,1980,0.490425058
