Entity,Year,Total assessed species,Total threatened species,Total described species,Estimated threatened species (%)
All species,2000,16507,11046,,
All species,2002,16697,11167,,
All species,2003,22424,12259,,
All species,2004,38046,15503,,
All species,2006,40174,16116,,
All species,2007,41415,16306,,
All species,2008,44838,16928,,
All species,2009,47677,17291,,
All species,2010,55926,18351,,
All species,2011,61914,19570,,
All species,2012,65518,20219,,
All species,2013,71576,21286,,
All species,2014,76199,22413,,
All species,2015,79837,23250,,
All species,2016,85604,24307,,
All species,2017,91523,25821,,
All species,2018,96951,26840,,
All species,2019,105732,28338,1733321,
Amphibians,2000,231,146,,
Amphibians,2002,263,157,,
Amphibians,2003,401,157,,
Amphibians,2004,5743,1770,,
Amphibians,2006,5918,1811,,
Amphibians,2007,5915,1808,,
Amphibians,2008,6260,1905,,
Amphibians,2009,6285,1895,,
Amphibians,2010,6296,1898,,
Amphibians,2011,6338,1917,,
Amphibians,2012,6374,1933,,
Amphibians,2013,6409,1950,,
Amphibians,2014,6414,1957,,
Amphibians,2015,6460,1994,,
Amphibians,2016,6534,2068,,
Amphibians,2017,6609,2100,,
Amphibians,2018,6722,2092,,
Amphibians,2019,6771,2157,8043,40
Arachnids,2000,18,10,,
Arachnids,2002,18,10,,
Arachnids,2003,18,10,,
Arachnids,2004,18,10,,
Arachnids,2006,18,10,,
Arachnids,2007,18,10,,
Arachnids,2008,32,18,,
Arachnids,2009,32,18,,
Arachnids,2010,33,19,,
Arachnids,2011,33,19,,
Arachnids,2012,34,20,,
Arachnids,2013,35,21,,
Arachnids,2014,209,163,,
Arachnids,2015,210,164,,
Arachnids,2016,212,166,,
Arachnids,2017,249,170,,
Arachnids,2018,324,182,,
Arachnids,2019,325,183,102248,
Birds,2000,2123,1183,,
Birds,2002,2138,1192,,
Birds,2003,2139,1194,,
Birds,2004,9917,1213,,
Birds,2006,9934,1206,,
Birds,2007,9956,1217,,
Birds,2008,9990,1222,,
Birds,2009,9998,1223,,
Birds,2010,10027,1240,,
Birds,2011,10052,1253,,
Birds,2012,10064,1313,,
Birds,2013,10065,1308,,
Birds,2014,10425,1373,,
Birds,2015,10424,1375,,
Birds,2016,11121,1460,,
Birds,2017,11122,1469,,
Birds,2018,11126,1492,,
Birds,2019,11126,1492,11126,14
Brown algae,2000,0,0,,
Brown algae,2002,0,0,,
Brown algae,2003,0,0,,
Brown algae,2004,0,0,,
Brown algae,2006,0,0,,
Brown algae,2007,15,6,,
Brown algae,2008,15,6,,
Brown algae,2009,15,6,,
Brown algae,2010,15,6,,
Brown algae,2011,15,6,,
Brown algae,2012,15,6,,
Brown algae,2013,15,6,,
Brown algae,2014,15,6,,
Brown algae,2015,15,6,,
Brown algae,2016,15,6,,
Brown algae,2017,15,6,,
Brown algae,2018,15,6,,
Brown algae,2019,15,6,3784,
Corals,2000,2,1,,
Corals,2002,2,1,,
Corals,2003,2,1,,
Corals,2004,2,1,,
Corals,2006,2,1,,
Corals,2007,13,5,,
Corals,2008,856,235,,
Corals,2009,856,235,,
Corals,2010,856,235,,
Corals,2011,856,235,,
Corals,2012,858,236,,
Corals,2013,856,235,,
Corals,2014,856,235,,
Corals,2015,862,237,,
Corals,2016,862,237,,
Corals,2017,864,237,,
Corals,2018,864,237,,
Corals,2019,864,237,2175,
Crustaceans,2000,459,408,,
Crustaceans,2002,459,409,,
Crustaceans,2003,461,409,,
Crustaceans,2004,498,429,,
Crustaceans,2006,537,459,,
Crustaceans,2007,553,460,,
Crustaceans,2008,1735,606,,
Crustaceans,2009,1735,606,,
Crustaceans,2010,2152,596,,
Crustaceans,2011,2399,596,,
Crustaceans,2012,2399,596,,
Crustaceans,2013,3163,723,,
Crustaceans,2014,3164,725,,
Crustaceans,2015,3168,728,,
Crustaceans,2016,3177,732,,
Crustaceans,2017,3177,732,,
Crustaceans,2018,3180,733,,
Crustaceans,2019,3181,733,47000,
Ferns & allies,2000,0,0,,
Ferns & allies,2002,0,0,,
