Entity,Year,Percentage of women 20-24 who were first married before 18 (UNICEF Global Databases (2016))
Afghanistan,2013,33
Albania,2009,10
Algeria,2013,3
Armenia,2010,7
Azerbaijan,2011,11
Bangladesh,2013,52
Barbados,2012,11
Belarus,2012,3
Belize,2011,26
Benin,2012,32
Bhutan,2010,26
Bolivia,2008,22
Bosnia and Herzegovina,2012,4
Brazil,2006,36
Burkina Faso,2010,52
Burundi,2010,20
Cambodia,2014,19
Cameroon,2011,38
Cape Verde,2005,18
Central African Republic,2010,68
Chad,2010,68
Colombia,2010,23
Comoros,2012,32
Congo,2012,33
Costa Rica,2011,21
Cote d'Ivoire,2012,33
Cuba,2014,26
Democratic Republic of Congo,2014,37
Djibouti,2006,5
Dominican Republic,2013,37
Ecuador,2004,22
Egypt,2014,17
El Salvador,2008,25
Equatorial Guinea,2011,30
Eritrea,2010,41
Ethiopia,2011,41
Gabon,2012,22
Gambia,2013,30
Georgia,2010,14
Ghana,2014,21
Guatemala,2009,30
Guinea,2012,52
Guinea-Bissau,2010,22
Guyana,2009,23
Haiti,2012,18
Honduras,2012,34
India,2006,47
Indonesia,2013,14
Iran,2010,17
Iraq,2011,24
Jamaica,2011,8
Jordan,2012,8
Kazakhstan,2011,6
Kenya,2014,23
Kiribati,2009,20
Kyrgyzstan,2014,12
Laos,2012,35
Lebanon,2009,6
Lesotho,2009,19
Liberia,2013,36
Macedonia,2011,7
Madagascar,2013,41
Malawi,2014,46
Maldives,2009,4
Mali,2010,55
Marshall Islands,2007,26
Mauritania,2011,34
Mexico,2009,23
Moldova,2012,12
Mongolia,2010,5
Montenegro,2013,5
Morocco,2004,16
Mozambique,2011,48
Namibia,2013,7
Nauru,2007,27
Nepal,2014,37
Nicaragua,2006,41
Niger,2012,76
Nigeria,2013,43
Pakistan,2013,21
Palestine,2014,15
Panama,2013,26
Papua New Guinea,2006,21
Paraguay,2004,18
Peru,2014,19
Philippines,2013,15
Qatar,2012,4
Rwanda,2010,8
Saint Lucia,2012,8
Samoa,2014,11
Sao Tome and Principe,2009,34
Senegal,2014,32
Serbia,2014,3
Sierra Leone,2013,39
Solomon Islands,2007,22
Somalia,2006,45
South Africa,2003,6
South Sudan,2010,52
Sri Lanka,2007,12
Sudan,2010,33
Suriname,2010,19
Swaziland,2010,7
Syria,2006,13
Tajikistan,2012,12
Tanzania,2010,37
Thailand,2012,22
Timor,2009,19
Togo,2014,22
Tonga,2012,6
Trinidad and Tobago,2006,8
Tunisia,2012,2
Turkey,2013,15
Turkmenistan,2006,7
Tuvalu,2007,10
Uganda,2011,40
Ukraine,2012,9
Uruguay,2013,25
Uzbekistan,2006,7
Vanuatu,2013,21
Vietnam,2014,11
Yemen,2013,32
Zambia,2014,31
Zimbabwe,2014,34
