Entity,Year,Small microplastic mass (0.33-1mm),Large microplastic mass (1.01-4.75mm),Mesoplastic mass (4.76-200mm),Macroplastic mass (>200mm),All sizes (total mass)
Global ocean (total),2013,7030,28460,30660,202800,268950
Indian Ocean,2013,1460,6010,6460,45200,59130
Mediterranean Sea,2013,1410,5380,5760,10600,23150
North Atlantic,2013,1040,4210,4520,46700,56470
North Pacific,2013,2100,10000,10900,73400,96400
South Atlantic,2013,370,1170,1240,10000,12780
South Pacific,2013,650,1690,1780,16900,21020
