Entity,Year,En route accidents,En route casualties,Take off accidents,Take off casualties,Initial climb accidents,Initial climb casualties,Approach accidents,Approach fatalities,Landing accidents,Landing fatalities
World,1942,15,196,4,46,4,51,3,24,1,3
World,1943,18,189,1,1,6,34,10,73,2,5
World,1944,20,194,3,23,3,27,5,46,3,10
World,1945,19,184,3,32,1,2,5,66,3,7
World,1946,19,280,1,1,13,143,27,351,5,10
World,1947,36,706,5,84,4,20,16,183,9,39
World,1948,51,877,7,28,6,89,19,191,6,73
World,1949,32,420,8,70,7,98,20,389,3,14
World,1950,36,685,4,5,6,98,14,272,5,31
World,1951,27,528,2,14,10,84,21,243,2,27
World,1952,28,409,3,21,10,159,10,162,4,9
World,1953,34,648,4,30,7,76,19,180,2,10
World,1954,21,324,7,53,3,46,16,199,3,64
World,1955,35,388,5,21,4,37,12,157,3,13
World,1956,29,613,1,2,6,99,15,103,3,19
World,1957,31,491,2,6,7,80,23,309,3,19
World,1958,39,832,4,33,4,35,17,304,2,2
World,1959,32,522,2,3,4,94,25,404,1,2
World,1960,31,606,5,33,9,166,21,604,2,38
World,1961,27,642,2,6,7,246,20,416,2,20
World,1962,28,758,8,185,10,262,17,502,1,15
World,1963,32,864,3,14,2,12,14,318,0,0
World,1964,21,552,3,57,5,70,13,306,4,23
World,1965,29,512,1,10,8,70,15,532,1,17
World,1966,29,737,5,33,5,102,17,561,1,1
World,1967,23,538,5,18,11,234,18,486,4,9
World,1968,19,639,2,4,9,181,22,498,5,26
World,1969,25,778,4,10,6,104,27,640,6,132
World,1970,24,649,7,73,16,289,20,311,5,135
World,1971,21,621,1,17,6,80,19,637,1,78
World,1972,26,738,4,57,11,508,27,1065,0,0
World,1973,20,741,7,55,6,126,28,889,4,183
World,1974,25,889,6,136,7,44,26,896,0,0
World,1975,16,403,5,16,8,75,21,658,3,29
World,1976,26,753,3,37,8,134,17,628,4,47
World,1977,11,203,4,291,13,170,22,439,4,199
World,1978,21,474,8,15,14,181,17,543,2,43
World,1979,25,963,5,309,11,70,23,311,6,97
World,1980,16,613,2,8,5,16,15,601,3,17
World,1981,22,622,1,3,6,39,13,189,2,32
World,1982,12,284,3,67,4,313,9,412,6,80
World,1983,5,91,4,63,5,65,13,538,3,30
World,1984,18,293,1,4,5,25,8,153,4,180
World,1985,14,1090,1,55,12,498,11,359,0,0
World,1986,8,264,5,9,2,4,24,453,3,75
World,1987,11,470,6,203,1,5,18,402,6,21
World,1988,11,233,7,58,6,100,30,726,3,19
World,1989,16,336,7,71,8,193,22,787,5,132
World,1990,10,130,4,10,9,72,17,418,1,2
World,1991,22,441,4,37,2,17,16,552,7,97
World,1992,18,358,6,176,9,77,22,863,3,58
World,1993,14,408,4,196,6,114,17,337,6,65
World,1994,17,599,7,32,5,15,19,682,5,102
World,1995,14,303,5,58,4,58,29,578,4,62
World,1996,18,1060,2,8,5,123,22,554,8,92
World,1997,14,308,2,5,4,45,18,756,5,39
World,1998,14,541,4,88,4,20,19,533,3,4
World,1999,20,227,4,77,2,6,11,127,7,41
World,2000,17,585,4,89,5,26,12,434,3,10
World,2001,13,480,3,131,3,31,14,234,1,1
World,2002,16,489,2,17,0,0,20,483,2,6
World,2003,9,45,5,169,3,106,13,367,0,0
World,2004,13,215,2,13,2,56,12,109,4,65
World,2005,15,687,2,8,6,143,9,115,4,114
World,2006,18,407,1,49,4,152,4,136,5,160
World,2007,15,302,2,2,4,45,4,107,7,318
World,2008,14,153,4,162,2,4,10,208,4,64
World,2009,9,464,4,10,6,37,8,231,4,20
World,2010,11,176,0,0,6,132,10,423,5,212
World,2011,16,133,1,1,3,68,12,205,3,115
World,2012,3,51,1,4,6,57,11,357,2,6
World,2013,7,25,3,33,1,1,13,155,4,18
World,2014,12,568,0,0,3,46,3,75,2,3
World,2015,9,91,0,0,4,91,1,4,0,0
World,2016,11,171,3,17,1,5,2,65,0,0
World,2017,5,25,0,0,2,13,4,16,2,3
World,2018,11,373,1,112,1,112,2,2,2,52
