Entity,Year,GDP per capita PPP 2011 – WDI (2016)
Afghanistan,2002,1088.031929
Afghanistan,2003,1126.420358
Afghanistan,2004,1090.23547
Afghanistan,2005,1167.359685
Afghanistan,2006,1193.852799
Afghanistan,2007,1321.477595
Afghanistan,2008,1335.591449
Afghanistan,2009,1576.02987
Afghanistan,2010,1662.803526
Afghanistan,2011,1712.58872
Afghanistan,2012,1899.299559
Afghanistan,2013,1876.190879
Afghanistan,2014,1844.021503
Albania,1990,4303.373891
Albania,1991,3048.36928
Albania,1992,2846.094167
Albania,1993,3138.410411
Albania,1994,3419.827825
Albania,1995,3898.672945
Albania,1996,4279.970195
Albania,1997,3840.055112
Albania,1998,4212.427022
Albania,1999,4811.531743
Albania,2000,5165.113824
Albania,2001,5627.809251
Albania,2002,5883.559737
Albania,2003,6246.574342
Albania,2004,6630.88074
Albania,2005,7046.191075
Albania,2006,7475.888354
Albania,2007,7977.022406
Albania,2008,8643.765691
Albania,2009,8993.736336
Albania,2010,9373.826105
Albania,2011,9640.130812
Albania,2012,9791.484849
Albania,2013,9910.841483
Albania,2014,10136.02049
Algeria,1990,10289.01868
Algeria,1991,9919.812241
Algeria,1992,9865.555698
Algeria,1993,9448.062068
Algeria,1994,9172.864893
Algeria,1995,9342.797906
Algeria,1996,9558.02042
Algeria,1997,9509.299962
Algeria,1998,9846.300969
Algeria,1999,10019.47372
Algeria,2000,10102.93512
Algeria,2001,10432.88156
Algeria,2002,10879.34443
Algeria,2003,11517.03137
Algeria,2004,11857.67273
Algeria,2005,12387.16883
Algeria,2006,12418.04123
Algeria,2007,12648.13298
Algeria,2008,12697.60177
Algeria,2009,12685.49263
Algeria,2010,12910.84087
Algeria,2011,13026.19166
Algeria,2012,13196.45577
Algeria,2013,13300.68203
Algeria,2014,13540.79671
Angola,2011,6949.021848
Antigua and Barbuda,1990,17153.72226
Antigua and Barbuda,1991,17361.14238
Antigua and Barbuda,1992,17226.3156
Antigua and Barbuda,1993,17753.49297
Antigua and Barbuda,1994,18399.76864
Antigua and Barbuda,1995,17167.17532
Antigua and Barbuda,1996,17829.57551
Antigua and Barbuda,1997,18186.27053
Antigua and Barbuda,1998,18482.7541
Antigua and Barbuda,1999,18780.13632
Antigua and Barbuda,2000,19318.71849
Antigua and Barbuda,2001,18388.09088
Antigua and Barbuda,2002,18675.60495
Antigua and Barbuda,2003,19566.32938
Antigua and Barbuda,2004,20395.48254
Antigua and Barbuda,2005,21414.22969
Antigua and Barbuda,2006,24016.31114
Antigua and Barbuda,2007,26007.82468
Antigua and Barbuda,2008,25735.71475
Antigua and Barbuda,2009,22388.95686
Antigua and Barbuda,2010,20567.35934
Antigua and Barbuda,2011,19987.92414
Antigua and Barbuda,2012,20577.29211
Antigua and Barbuda,2013,20297.30026
Antigua and Barbuda,2014,21061.86786
Arab World,1990,10073.44633
Arab World,1991,9574.284129
Arab World,1992,9890.813698
Arab World,1993,10006.50775
Arab World,1994,10066.57968
Arab World,1995,10037.15972
Arab World,1996,10296.17988
Arab World,1997,10561.1882
Arab World,1998,10938.64626
Arab World,1999,11084.94017
Arab World,2000,11362.4186
Arab World,2001,11404.89368
Arab World,2002,11325.3335
Arab World,2003,11462.41673
Arab World,2004,12287.04617
Arab World,2005,12736.40844
Arab World,2006,13309.06244
Arab World,2007,13720.01373
Arab World,2008,14240.91231
Arab World,2009,14182.72136
Arab World,2010,14507.15951
Arab World,2011,14579.14701
Arab World,2012,15179.29416
Arab World,2013,15273.55777
Arab World,2014,15240.5405
Armenia,1990,3735.543092
Armenia,1991,3329.275304
Armenia,1992,1972.697648
Armenia,1993,1841.719068
Armenia,1994,1988.215207
Armenia,1995,2169.431028
Armenia,1996,2332.680564
Armenia,1997,2437.629356
Armenia,1998,2636.324746
Armenia,1999,2740.169615
Armenia,2000,2918.557686
Armenia,2001,3214.257186
Armenia,2002,3653.365148
Armenia,2003,4181.185327
Armenia,2004,4634.79778
Armenia,2005,5296.814128
Armenia,2006,6021.364007
Armenia,2007,6881.444652
Armenia,2008,7388.626636
Armenia,2009,6362.21471
Armenia,2010,6507.914402
Armenia,2011,6803.482997
Armenia,2012,7267.976528
Armenia,2013,7473.060678
Armenia,2014,7698.694581
Aruba,2011,36015.07046
Australia,1990,28572.07556
Australia,1991,28103.04738
Australia,1992,27874.88883
Australia,1993,28724.24787
Australia,1994,29569.45991
Australia,1995,30347.64241
Australia,1996,31134.36532
Australia,1997,32003.30576
Australia,1998,33077.14578
Australia,1999,34338.77831
Australia,2000,35244.50263
Australia,2001,35443.36538
Australia,2002,36363.74253
Australia,2003,37020.73494
Australia,2004,38112.43521
Australia,2005,38818.84192
Australia,2006,39391.33807
Australia,2007,40617.00994
Australia,2008,41286.81739
Australia,2009,41180.54799
Australia,2010,41363.21588
Australia,2011,41763.11851
Australia,2012,42540.96919
Australia,2013,42829.71551
Australia,2014,43218.51526
Austria,1990,31112.93614
Austria,1991,31863.99809
Austria,1992,32175.02013
Austria,1993,32078.89595
Austria,1994,32723.2845
Austria,1995,33544.93765
Austria,1996,34303.10341
Austria,1997,35019.78785
Austria,1998,36226.70792
Austria,1999,37454.29909
Austria,2000,38622.92558
Austria,2001,38994.9758
Austria,2002,39446.1306
Austria,2003,39551.26745
Austria,2004,40370.18266
Austria,2005,40954.41853
Austria,2006,42117.81758
Austria,2007,43501.88011
Austria,2008,44036.89924
Austria,2009,42253.07601
Austria,2010,42964.59103
Austria,2011,44022.39527
Austria,2012,44154.00888
Austria,2013,44037.87432
Austria,2014,43908.12714
Azerbaijan,1990,8513.310693
Azerbaijan,1991,8323.499345
Azerbaijan,1992,6345.517
Azerbaijan,1993,4806.132702
Azerbaijan,1994,3807.507907
Azerbaijan,1995,3319.767349
Azerbaijan,1996,3329.134804
Azerbaijan,1997,3488.410025
Azerbaijan,1998,3801.002521
Azerbaijan,1999,4046.607467
Azerbaijan,2000,4458.998423
Azerbaijan,2001,4862.619031
Azerbaijan,2002,5338.076318
Azerbaijan,2003,5891.137108
Azerbaijan,2004,6435.448129
Azerbaijan,2005,8051.674838
Azerbaijan,2006,10711.18227
Azerbaijan,2007,13243.21286
Azerbaijan,2008,14364.99423
Azerbaijan,2009,15393.89329
Azerbaijan,2010,15950.25746
Azerbaijan,2011,15754.15236
Azerbaijan,2012,15888.218
Azerbaijan,2013,16593.18876
Azerbaijan,2014,16710.29664
Bahamas,1990,24280.63805
Bahamas,1991,22839.46974
Bahamas,1992,21551.72308
Bahamas,1993,21216.89514
Bahamas,1994,21509.17285
Bahamas,1995,22110.57581
Bahamas,1996,22748.76699
Bahamas,1997,22960.93841
Bahamas,1998,23788.07259
Bahamas,1999,25182.09541
Bahamas,2000,25846.70857
Bahamas,2001,26066.2209
Bahamas,2002,26248.90111
Bahamas,2003,25376.26724
Bahamas,2004,25062.01477
Bahamas,2005,25385.30778
Bahamas,2006,25515.98337
Bahamas,2007,25396.65864
Bahamas,2008,24356.1375
Bahamas,2009,22931.79907
Bahamas,2010,22894.25706
Bahamas,2011,22665.16756
Bahamas,2012,22814.53671
Bahamas,2013,22490.23095
Bahamas,2014,22411.05684
Bahrain,1990,35398.38761
Bahrain,1991,38314.45181
Bahrain,1992,39853.76741
Bahrain,1993,43896.02069
Bahrain,1994,42713.13336
Bahrain,1995,43243.71088
Bahrain,1996,43769.05479
Bahrain,1997,43765.82713
Bahrain,1998,44361.80226
Bahrain,1999,44619.72868
Bahrain,2000,45156.14357
Bahrain,2001,44413.62209
Bahrain,2002,44085.58365
Bahrain,2003,44517.73829
Bahrain,2004,44890.88484
Bahrain,2005,44666.55252
Bahrain,2006,43825.70931
Bahrain,2007,43495.1054
Bahrain,2008,42516.71781
Bahrain,2009,40645.95569
Bahrain,2010,40237.60282
Bahrain,2011,39676.71702
Bahrain,2012,40251.1106
Bahrain,2013,41931.50863
Bahrain,2014,43408.23705
Bangladesh,1990,1290.431025
Bangladesh,1991,1304.31186
Bangladesh,1992,1344.598034
Bangladesh,1993,1377.48154
Bangladesh,1994,1400.556024
Bangladesh,1995,1441.027868
Bangladesh,1996,1474.342217
Bangladesh,1997,1508.28799
Bangladesh,1998,1553.738674
Bangladesh,1999,1593.752397
Bangladesh,2000,1645.717242
Bangladesh,2001,1697.018874
Bangladesh,2002,1730.346873
Bangladesh,2003,1781.344869
Bangladesh,2004,1844.815776
Bangladesh,2005,1936.705237
Bangladesh,2006,2038.686875
Bangladesh,2007,2156.483599
Bangladesh,2008,2260.574781
Bangladesh,2009,2348.433059
Bangladesh,2010,2451.305285
Bangladesh,2011,2579.335048
Bangladesh,2012,2714.774386
Bangladesh,2013,2843.235044
Bangladesh,2014,2979.16727
Barbados,1990,13296.46401
Barbados,1991,12726.87521
Barbados,1992,11967.66477
Barbados,1993,12015.52041
Barbados,1994,12210.27378
Barbados,1995,12417.33945
Barbados,1996,12871.24323
Barbados,1997,13422.98878
Barbados,1998,13868.46618
Barbados,1999,13861.9819
Barbados,2000,14437.50356
Barbados,2001,14045.82009
Barbados,2002,14119.93905
Barbados,2003,14380.77666
Barbados,2004,14537.38779
Barbados,2005,15073.14494
Barbados,2006,15869.28534
Barbados,2007,16074.11417
Barbados,2008,16077.27123
Barbados,2009,15365.33375
Barbados,2010,15346.8074
Barbados,2011,15401.54965
Barbados,2012,15389.68735
Barbados,2013,15339.40582
Barbados,2014,15319.51155
Belarus,1990,8083.603326
Belarus,1991,7982.682781
Belarus,1992,7200.804945
Belarus,1993,6638.597827
Belarus,1994,5868.760006
Belarus,1995,5275.431478
Belarus,1996,5441.291874
Belarus,1997,6087.362592
Belarus,1998,6630.157764
Belarus,1999,6878.810813
Belarus,2000,7299.604275
Belarus,2001,7703.822704
Belarus,2002,8144.181596
Belarus,2003,8778.301323
Belarus,2004,9850.761926
Belarus,2005,10851.4558
Belarus,2006,12009.93119
Belarus,2007,13102.81483
Belarus,2008,14487.79666
Belarus,2009,14548.83833
Belarus,2010,15703.11169
Belarus,2011,16603.38953
