Entity,Year,Metals and Mining (Bank of England (2017)),Textiles and Leather (Bank of England (2017)),Other Industries (Bank of England (2017)),Total Industry (Bank of England (2017))
England,1270,,38.23812929,10.51623467,28.15184075
England,1271,,36.92232211,10.46562974,27.38256137
England,1272,,35.95816286,10.98535441,27.7228613
England,1273,,36.44219416,10.248012,26.85626656
England,1274,,36.77036456,10.1727852,26.98748029
England,1275,,37.1502096,11.81250191,29.76478897
England,1276,,35.14853807,10.38211122,26.45013243
England,1277,,34.45623879,11.27536834,27.27614759
England,1278,,31.80530512,11.9411622,26.82685738
England,1279,,30.09759125,9.888840747,22.52663504
England,1280,,28.9278194,10.33984231,22.29140001
England,1281,,27.66477364,11.19147207,22.81118745
England,1282,,27.31009424,10.94730304,22.13593475
England,1283,,27.83851654,10.37921121,21.48646279
England,1284,,25.66544054,10.95909546,21.16394718
England,1285,,24.26031998,11.27086862,20.8363366
England,1286,,24.76666098,11.06836997,21.00036837
England,1287,,24.11975175,12.22194043,22.59890441
England,1288,,22.86922571,11.96065293,21.54126108
England,1289,,21.93119038,11.1197722,19.65858134
England,1290,,22.85204203,11.21238354,20.15166717
England,1291,,24.5143839,11.1096825,20.75057316
England,1292,,26.98654692,11.51837008,22.73342758
England,1293,,29.86007283,11.60558768,24.27382277
England,1294,,31.21391117,11.42316479,24.71308802
England,1295,,33.56030554,12.08498747,27.01826702
England,1296,,34.79173872,12.50366973,28.33579546
England,1297,,33.70192958,11.94665366,26.78901302
England,1298,,30.71957917,12.87312974,26.51280059
England,1299,,32.84964036,12.20401852,26.57180457
England,1300,,33.41923657,11.95021795,26.49101167
England,1301,12.45629282,30.76854876,12.27629202,25.38082497
England,1302,14.72716019,35.3754029,12.16987745,28.52768347
England,1303,17.41202222,36.81910757,12.46956624,30.68868942
England,1304,15.44758894,32.99574359,11.38541463,26.9339536
England,1305,16.96556011,29.53602342,11.92451181,26.32621712
England,1306,17.18879117,27.83603773,11.66357678,25.43689617
England,1307,16.8858417,30.08976623,12.20270853,26.89300303
England,1308,16.58823166,32.69448914,12.22122211,28.02414387
England,1309,16.29586695,34.37017073,12.49344071,28.94879995
England,1310,16.33479269,35.51319047,12.29515755,29.39285234
England,1311,16.37381141,36.18896009,12.70498686,30.46828338
England,1312,16.41292334,34.79965835,12.39195204,29.4379604
England,1313,16.45212869,34.49277125,12.65769919,29.86943055
England,1314,16.45212869,39.70303697,12.38362841,31.50062443
England,1315,16.02798968,41.12220252,10.85519794,29.30379264
England,1316,14.73324957,39.69260804,10.24132007,27.52771756
England,1317,10.62579818,41.03646262,10.73142858,28.1978132
England,1318,11.6082843,39.04713751,11.99436676,29.96991866
England,1319,12.60249247,40.12596455,11.91414263,30.5373399
England,1320,13.64977788,37.26040695,11.58283727,29.06156404
England,1321,14.75376486,32.07372727,9.837720817,24.2655237
England,1322,15.91841232,34.21613608,10.21029669,26.09595404
England,1323,17.14801316,32.77437714,10.55183199,26.48654683
England,1324,19.73362518,29.08803325,9.624010567,24.04168541
England,1325,21.02524663,26.75949466,10.46403184,25.11780751
England,1326,22.40140834,26.89572096,10.68535515,25.9145833
England,1327,23.86764373,28.02297832,10.48829817,26.21694529
England,1328,25.42984835,28.69933176,9.72878251,25.37086929
England,1329,27.09430368,26.9753657,10.39059474,26.21020028
England,1330,28.8677023,23.64713863,10.25458661,25.12161752
England,1331,30.75717487,22.18458437,9.8729217,24.18507593
England,1332,32.77031874,19.53646487,10.61068771,24.83868188
England,1333,28.43963629,20.90617226,11.11827281,25.32048293
England,1334,25.9840947,22.49732492,10.83061258,24.76846087
England,1335,29.73437641,19.50575876,10.48024875,23.82064751
England,1336,29.6897302,25.55519102,10.83273176,26.62955879
England,1337,27.50206587,35.70855006,11.77151029,31.62514264
England,1338,24.46612353,37.72584286,12.08541824,32.13119672
England,1339,20.96139598,28.43511854,10.20468999,24.26037943
England,1340,20.96139598,29.39233681,11.56791606,27.02578566
England,1341,23.08209099,37.60327802,11.27629493,29.9909581
England,1342,23.08209099,38.3494778,11.93850416,31.3843105
England,1343,21.04324737,41.37785626,11.61192018,31.36201352
England,1344,19.00440374,42.32141554,12.65188916,33.18615943
England,1345,16.96556011,40.46233401,11.91479537,30.64766624
England,1346,14.92671648,41.69917502,11.33814363,29.43925672
England,1347,12.88787286,41.13495419,12.04653005,29.99677192
England,1348,10.84902923,42.02616556,12.53135174,30.71761963
England,1349,8.810185602,42.27007405,8.4228172,23.96266957
England,1350,6.771341974,42.00939847,6.908602527,21.68395671
England,1351,4.732498347,40.8709999,5.83855546,19.50307352
England,1352,6.920162677,41.53938998,6.002767895,20.58251568
England,1353,7.589855839,45.78852201,5.849767103,22.15721904
England,1354,8.438133845,38.10057676,5.760363414,19.27445065
England,1355,9.911458802,32.91660384,6.091404894,18.21108291
England,1356,10.49185954,40.94562072,5.732863587,20.61889221
England,1357,10.75973681,39.88043664,5.858035194,20.44253545
England,1358,10.91270544,38.1559662,5.939266801,19.9994043
England,1359,11.06784879,39.69162894,5.939146456,20.71470622
England,1360,11.22519778,39.21725847,5.906199496,20.51752008
England,1361,11.38478376,39.62366834,5.679422739,20.34335014
England,1362,7.500563418,36.29210508,5.679415166,18.30599746
England,1363,8.086731641,33.79260497,5.596464331,17.41701493
England,1364,8.718708849,38.91106328,6.003713433,20.47790926
England,1365,9.400075006,38.66750147,5.715174576,19.94598452
England,1366,10.13468986,34.92844999,5.999243336,19.15931076
England,1367,11.49447023,35.35035364,5.579052532,18.8603831
England,1368,13.03669356,35.88957269,5.500732494,19.32611961
England,1369,12.47887404,33.60677908,5.214146242,17.86841218
England,1370,11.94492275,34.39363492,5.825760777,19.1070642
England,1371,11.43381838,31.61607653,5.714035008,17.81365544
England,1372,10.94458336,26.7464213,5.347283819,15.22564438
England,1373,10.47628193,25.72824656,5.774568888,15.5841752
England,1374,10.02801839,25.12238267,5.353141081,14.5089001
England,1375,9.598935326,24.63119757,5.1733451,13.85501087
England,1376,11.47025369,25.56393888,5.844872223,15.82119495
