Entity,Year,CO2 concentrations (NOAA (2017))
Global,1980,338.8
Global,1981,339.99
Global,1982,340.76
Global,1983,342.44
Global,1984,343.98
Global,1985,345.46
Global,1986,346.88
Global,1987,348.61
Global,1988,351.14
Global,1989,352.79
Global,1990,353.96
Global,1991,355.29
Global,1992,355.99
Global,1993,356.71
Global,1994,358.2
Global,1995,360.03
Global,1996,361.79
Global,1997,362.9
Global,1998,365.55
Global,1999,367.63
Global,2000,368.81
Global,2001,370.4
Global,2002,372.42
Global,2003,374.96
Global,2004,376.78
Global,2005,378.81
Global,2006,380.93
Global,2007,382.67
Global,2008,384.78
Global,2009,386.28
Global,2010,388.56
Global,2011,390.44
Global,2012,392.45
Global,2013,395.19
Global,2014,397.11
Global,2015,399.41
Global,2016,402.87
