Entity,Year,Water requirement per tonne,Water requirement per calorie,Water requirement per gram protein
Beef,2012,15415,10.19,112
Butter,2012,5553,0.72,0
Cereals,2012,1644,0.51,21
Chicken meat,2012,4325,3,34
Eggs,2012,3265,2.29,29
Fruits,2012,962,2.09,180
Milk,2012,1020,1.82,31
Nuts,2012,9063,3.63,139
Oil crops,2012,2364,0.81,16
Pigmeat,2012,5988,2.15,57
Pulses,2012,4055,1.19,19
Sheep/goat meat,2012,8763,4.25,63
Starchy roots,2012,387,0.47,31
Sugar crops,2012,197,0.69,0
Vegetables,2012,322,1.34,26
