Entity,Year,Continue to build nuclear,Stop future nuclear builds
Argentina,2011,18,82
Australia,2011,32,68
Belgium,2011,28,72
Brazil,2011,11,89
Canada,2011,33,67
China,2011,38,62
France,2011,23,77
Germany,2011,15,85
Hungary,2011,38,62
India,2011,49,51
Indonesia,2011,28,72
Italy,2011,17,83
Japan,2011,37,63
Mexico,2011,13,87
Poland,2011,52,48
Russia,2011,34,66
Saudi Arabia,2011,30,70
South Africa,2011,31,69
South Korea,2011,32,68
Spain,2011,31,69
Sweden,2011,43,57
Turkey,2011,20,80
United Kingdom,2011,43,57
United States,2011,44,56
World,2011,31,69
