Entity,Year,Males (Hermanussen (2003) and NCD-RisC (2017)),Females (Hermanussen (2003) and NCD-RisC (2017))
Eastern Mediterranean,-16000,179,
Eastern Mediterranean,-10000,177.1,166.5
Eastern Mediterranean,-8000,172.5,158.7
Eastern Mediterranean,-6000,169.6,155.5
Eastern Mediterranean,-4000,161.3,154.3
Eastern Mediterranean,-2500,166.3,152.9
Eastern Mediterranean,-1750,166.1,153.5
Eastern Mediterranean,-1450,172.5,160.1
Eastern Mediterranean,-1300,166.8,154.5
Eastern Mediterranean,-900,166.7,155.1
Eastern Mediterranean,-500,170.5,156.2
Eastern Mediterranean,0,171.9,156.4
Eastern Mediterranean,400,169.2,158
Eastern Mediterranean,1896,165.7233,153.1882
Eastern Mediterranean,1897,165.8518,153.3516
Eastern Mediterranean,1898,165.9805,153.5154
Eastern Mediterranean,1899,166.1094,153.6791
Eastern Mediterranean,1900,166.2382,153.843
Eastern Mediterranean,1901,166.3673,154.0066
Eastern Mediterranean,1902,166.497,154.1699
Eastern Mediterranean,1903,166.6268,154.3326
Eastern Mediterranean,1904,166.7569,154.4944
Eastern Mediterranean,1905,166.8871,154.6554
Eastern Mediterranean,1906,167.0172,154.8158
Eastern Mediterranean,1907,167.148,154.976
Eastern Mediterranean,1908,167.2801,155.136
Eastern Mediterranean,1909,167.4137,155.296
Eastern Mediterranean,1910,167.5495,155.4573
Eastern Mediterranean,1911,167.6888,155.6209
Eastern Mediterranean,1912,167.8321,155.7878
Eastern Mediterranean,1913,167.9791,155.9581
Eastern Mediterranean,1914,168.129,156.1317
Eastern Mediterranean,1915,168.2817,156.3087
Eastern Mediterranean,1916,168.4361,156.4885
Eastern Mediterranean,1917,168.5918,156.6706
Eastern Mediterranean,1918,168.7479,156.8538
Eastern Mediterranean,1919,168.903,157.0366
Eastern Mediterranean,1920,169.0565,157.2184
Eastern Mediterranean,1921,169.2076,157.3983
Eastern Mediterranean,1922,169.3552,157.5759
Eastern Mediterranean,1923,169.4991,157.7499
Eastern Mediterranean,1924,169.6401,157.9206
Eastern Mediterranean,1925,169.7806,158.0896
Eastern Mediterranean,1926,169.9219,158.2568
Eastern Mediterranean,1927,170.0659,158.4224
Eastern Mediterranean,1928,170.2131,158.5868
Eastern Mediterranean,1929,170.3634,158.75
Eastern Mediterranean,1930,170.5165,158.9122
Eastern Mediterranean,1931,170.6714,159.0718
Eastern Mediterranean,1932,170.8271,159.2295
Eastern Mediterranean,1933,170.9843,159.3864
Eastern Mediterranean,1934,171.1435,159.5436
Eastern Mediterranean,1935,171.3042,159.7009
Eastern Mediterranean,1936,171.4649,159.8578
Eastern Mediterranean,1937,171.6241,160.0129
Eastern Mediterranean,1938,171.7812,160.1647
Eastern Mediterranean,1939,171.936,160.3121
Eastern Mediterranean,1940,172.0884,160.4536
Eastern Mediterranean,1941,172.2389,160.5883
Eastern Mediterranean,1942,172.3896,160.7167
Eastern Mediterranean,1943,172.5424,160.8398
Eastern Mediterranean,1944,172.6973,160.9593
Eastern Mediterranean,1945,172.8545,161.0762
Eastern Mediterranean,1946,173.015,161.1915
Eastern Mediterranean,1947,173.1779,161.3056
Eastern Mediterranean,1948,173.3433,161.4185
Eastern Mediterranean,1949,173.5099,161.5308
Eastern Mediterranean,1950,173.677,161.6437
Eastern Mediterranean,1951,173.8431,161.7572
Eastern Mediterranean,1952,174.0078,161.871
Eastern Mediterranean,1953,174.1713,161.9855
Eastern Mediterranean,1954,174.3336,162.1006
Eastern Mediterranean,1955,174.4943,162.2168
Eastern Mediterranean,1956,174.6525,162.3336
Eastern Mediterranean,1957,174.8094,162.4515
Eastern Mediterranean,1958,174.9653,162.5706
Eastern Mediterranean,1959,175.1196,162.6903
Eastern Mediterranean,1960,175.2717,162.8101
Eastern Mediterranean,1961,175.4211,162.929
Eastern Mediterranean,1962,175.5659,163.0454
Eastern Mediterranean,1963,175.7041,163.1565
Eastern Mediterranean,1964,175.8332,163.2601
Eastern Mediterranean,1965,175.9537,163.3552
Eastern Mediterranean,1966,176.0667,163.4416
Eastern Mediterranean,1967,176.1737,163.5206
Eastern Mediterranean,1968,176.2756,163.5922
Eastern Mediterranean,1969,176.374,163.6574
Eastern Mediterranean,1970,176.4689,163.716
Eastern Mediterranean,1971,176.5599,163.7687
Eastern Mediterranean,1972,176.6463,163.8157
Eastern Mediterranean,1973,176.7276,163.8576
Eastern Mediterranean,1974,176.8029,163.8946
Eastern Mediterranean,1975,176.8711,163.9265
Eastern Mediterranean,1976,176.9315,163.9531
Eastern Mediterranean,1977,176.9829,163.974
Eastern Mediterranean,1978,177.0255,163.9897
Eastern Mediterranean,1979,177.0603,164.0011
Eastern Mediterranean,1980,177.0891,164.0106
Eastern Mediterranean,1981,177.1143,164.0195
Eastern Mediterranean,1982,177.1369,164.0291
Eastern Mediterranean,1983,177.1566,164.0402
Eastern Mediterranean,1984,177.1733,164.0519
Eastern Mediterranean,1985,177.186,164.0635
Eastern Mediterranean,1986,177.195,164.0741
Eastern Mediterranean,1987,177.2006,164.0829
Eastern Mediterranean,1988,177.2036,164.0892
Eastern Mediterranean,1989,177.2053,164.0934
Eastern Mediterranean,1990,177.2062,164.0956
Eastern Mediterranean,1991,177.2073,164.0973
Eastern Mediterranean,1992,177.2088,164.0987
Eastern Mediterranean,1993,177.2108,164.1
Eastern Mediterranean,1994,177.2126,164.1011
Eastern Mediterranean,1995,177.2146,164.1023
Eastern Mediterranean,1996,177.2165,164.1035
