Entity,Year,"CO2 concentrations (NOAA, 2018)"
World,-803719,207.29
World,-803182,202.23
World,-802573,204.86
World,-802060,207.50
World,-801975,202.92
World,-801759,202.65
World,-800922,198.66
World,-799286,198.68
World,-796731,200.49
World,-795429,197.91
World,-794903,198.79
World,-793737,204.62
World,-793172,208.79
World,-791903,218.39
World,-791569,213.36
World,-790667,214.45
World,-790081,224.69
World,-789107,230.55
World,-788689,227.38
World,-788003,235.49
World,-787544,238.64
World,-786742,257.02
World,-786529,257.20
World,-785854,266.00
World,-785406,269.36
World,-784613,264.35
World,-784240,262.23
World,-783569,259.66
World,-783084,255.85
World,-782312,260.92
World,-781249,255.02
World,-780778,257.44
World,-779937,251.51
World,-779613,257.21
World,-778769,252.52
World,-778239,254.43
World,-777418,254.69
World,-777108,254.93
World,-776283,252.46
World,-775732,247.30
World,-774833,248.92
World,-774382,245.32
World,-773588,241.74
World,-773009,238.39
World,-772094,239.23
World,-771734,237.78
World,-771300,246.03
World,-771046,243.85
World,-770788,246.49
World,-770525,243.89
World,-770225,239.71
World,-769863,234.24
World,-769569,236.32
World,-769071,229.56
World,-768649,230.63
World,-767701,225.87
World,-767111,221.64
World,-766167,223.82
World,-765797,224.86
World,-764859,230.62
World,-764239,232.12
World,-763901,229.41
World,-763637,233.66
World,-763232,222.93
World,-762727,223.89
World,-761821,219.95
World,-761152,214.00
World,-760216,214.69
World,-759914,216.64
World,-758990,222.71
World,-758566,225.62
World,-758158,225.37
World,-757928,223.02
World,-757612,226.94
World,-757186,222.72
World,-756412,218.35
World,-755835,213.61
World,-754901,209.45
World,-754616,208.10
World,-753637,203.30
World,-753165,199.05
World,-751985,203.90
World,-751539,195.43
World,-750616,197.50
World,-750024,193.55
World,-749086,191.30
World,-748756,192.08
World,-747864,190.17
World,-747313,188.68
World,-746387,187.54
World,-745990,187.95
World,-745227,187.92
World,-744670,190.24
World,-743721,187.29
World,-742573,188.97
World,-742009,188.18
World,-741112,187.33
World,-740695,188.65
World,-739924,189.14
World,-739380,184.77
World,-738511,183.39
World,-738156,185.40
World,-737225,185.61
World,-736631,191.74
World,-735710,204.52
World,-735320,206.92
World,-734572,213.14
World,-734157,217.19
World,-733460,217.88
World,-733185,214.66
World,-732513,216.15
World,-732072,210.60
World,-731379,207.72
World,-731044,208.11
World,-730372,213.73
World,-729911,211.62
World,-729234,210.70
World,-728958,210.16
World,-728310,212.17
World,-727887,210.01
World,-727038,211.08
World,-726644,210.24
World,-725949,210.07
World,-724627,211.43
World,-724300,211.08
World,-723524,211.49
World,-723025,210.48
World,-722192,214.01
World,-721830,212.55
World,-721045,212.11
World,-720556,216.10
World,-719740,218.96
World,-719458,219.20
World,-718641,217.04
World,-718137,212.03
World,-717337,200.82
World,-716828,193.46
World,-716005,189.88
World,-715398,198.43
World,-714636,210.51
World,-714360,213.60
World,-713615,227.58
World,-713166,223.14
World,-712454,227.08
World,-712116,227.64
World,-711363,223.89
World,-710294,224.00
World,-710071,224.12
World,-709449,225.39
World,-709033,224.90
World,-708506,227.03
World,-707960,230.51
World,-707504,231.43
World,-707009,234.84
World,-706463,233.11
World,-706250,233.58
World,-705694,233.51
World,-705361,238.85
World,-704761,236.05
World,-704543,236.05
World,-704103,237.66
World,-703777,237.18
World,-703294,235.09
World,-703103,234.04
World,-702632,233.54
World,-702301,232.83
World,-701846,232.28
World,-701519,233.35
World,-701060,230.59
World,-700784,232.18
World,-700251,232.16
World,-700043,230.88
World,-699575,232.46
World,-699319,235.42
World,-698865,236.61
World,-698535,236.72
World,-698154,237.21
World,-697915,239.73
World,-697489,239.01
World,-697266,238.86
World,-696803,241.83
World,-696556,240.90
World,-696089,241.03
World,-695797,239.88
World,-695392,238.42
World,-695140,239.44
World,-694695,238.13
World,-694485,238.05
World,-694032,238.74
World,-693782,236.80
World,-693309,239.80
World,-692999,239.31
World,-692587,240.46
World,-692330,239.34
World,-691871,237.76
World,-691624,243.70
World,-691127,238.47
World,-690882,239.30
World,-690368,243.56
World,-690018,239.38
World,-689518,238.42
World,-689272,239.29
World,-688786,236.45
World,-688525,235.80
World,-688001,232.27
World,-687743,232.07
World,-687208,230.67
World,-686860,227.64
World,-686350,227.65
World,-686050,226.73
World,-685495,222.97
World,-685204,222.70
World,-684632,222.62
World,-684319,220.63
World,-683730,220.62
World,-683345,221.82
World,-682808,224.36
World,-682474,225.64
World,-681879,222.70
World,-681508,220.24
World,-680790,219.14
World,-680394,221.31
World,-679720,227.90
World,-679276,225.81
World,-678678,233.11
World,-678363,233.61
World,-677785,232.70
World,-677505,229.16
World,-676792,220.09
World,-676378,218.21
World,-675651,216.59
World,-675202,219.96
World,-674581,222.57
World,-673457,216.12
World,-673078,211.69
World,-672279,204.67
World,-671746,201.12
World,-670811,197.13
World,-670201,194.79
World,-669508,196.83
World,-669121,194.88
World,-668346,191.51
World,-667869,187.66
World,-666966,180.67
World,-666465,177.71
World,-665460,173.71
World,-664803,174.77
World,-663887,180.54
World,-663372,180.17
World,-662458,187.77
World,-662370,192.55
World,-661988,191.02
World,-660928,190.86
World,-660847,193.91
World,-660332,189.69
World,-659266,191.59
World,-659168,193.97
World,-658514,188.43
World,-657462,185.68
World,-657344,187.38
World,-656814,184.10
World,-655772,190.88
World,-655704,189.23
World,-655231,192.93
World,-654183,200.35
World,-653574,200.00
World,-652489,194.82
World,-651780,192.87
World,-650759,186.79
World,-650154,187.27
World,-648997,193.44
World,-648398,189.25
World,-647241,196.17
World,-646662,193.48
World,-645305,191.85
World,-644427,189.89
World,-643201,195.82
World,-642351,195.31
World,-640907,191.56
World,-640125,191.38
World,-638422,190.18
World,-637468,188.85
World,-635764,195.33
World,-634572,194.00
World,-633059,194.86
World,-632931,195.95
World,-632128,193.10
World,-630407,196.50
World,-629576,200.46
World,-627916,200.78
World,-627820,205.27
World,-627190,199.52
World,-625880,205.76
World,-625019,215.71
World,-624097,228.51
World,-623448,235.02
World,-622547,237.93
World,-621105,239.19
World,-621001,243.89
World,-619701,243.53
World,-618334,245.89
World,-617004,248.29
World,-615660,252.64
World,-614407,252.73
World,-614349,252.90
World,-613191,252.75
World,-611993,256.19
World,-610812,258.14
World,-609651,259.68
World,-609601,257.82
World,-608480,257.74
World,-607297,259.22
World,-606029,254.58
World,-604676,248.48
World,-603353,244.53
World,-601999,239.14
World,-600651,237.86
World,-599305,232.45
World,-597865,229.38
World,-597268,225.97
World,-596380,219.02
World,-595854,216.27
World,-594841,216.44
World,-594272,221.22
World,-593486,232.92
World,-592914,237.98
World,-592097,238.15
World,-591611,233.16
World,-590836,229.39
World,-590433,225.68
World,-589069,237.38
World,-588539,243.56
World,-588090,248.10
World,-587475,250.20
World,-586991,246.35
World,-586329,238.78
World,-585939,234.40
World,-585222,225.99
World,-584771,223.96
World,-582009,210.64
World,-581624,206.68
World,-580886,209.88
World,-580505,215.45
World,-579978,219.41
World,-579597,225.21
World,-579169,230.26
World,-578864,236.17
World,-578452,243.81
World,-578261,244.14
World,-577883,251.47
World,-577331,252.92
World,-576792,249.06
World,-576246,251.08
World,-575704,251.34
World,-575165,251.30
World,-574649,252.90
World,-574163,252.54
World,-573705,248.86
World,-573284,252.08
World,-572856,251.86
World,-572415,251.77
World,-571963,248.72
World,-571526,249.19
World,-571104,247.66
World,-570720,246.31
World,-570366,250.30
World,-570025,251.60
World,-569683,249.60
World,-569311,251.80
World,-568912,251.80
World,-568513,251.30
World,-568117,250.00
World,-567734,251.30
World,-567365,250.20
World,-566980,253.00
World,-566584,252.80
World,-566254,253.90
World,-565935,253.20
World,-565599,254.50
World,-565289,253.90
World,-564968,254.30
World,-564639,253.70
World,-564295,251.40
World,-563946,252.60
World,-563589,252.40
World,-563184,251.40
World,-562774,247.60
World,-562361,245.80
World,-561978,245.70
World,-561586,242.30
World,-561185,240.10
World,-560706,234.10
World,-560360,234.60
World,-559938,231.90
World,-559501,231.60
World,-559016,228.30
World,-558487,230.30
World,-557923,230.20
World,-557687,229.70
World,-557366,234.50
World,-556828,238.10
World,-556356,240.40
World,-556205,245.60
World,-555888,250.50
World,-555707,244.00
World,-555435,249.10
World,-555249,243.00
World,-554973,241.00
World,-554457,233.90
World,-553892,226.70
World,-553208,224.30
World,-552530,223.60
World,-551859,220.30
World,-551669,222.10
World,-551296,226.30
World,-551071,222.30
World,-550732,221.70
World,-550161,219.90
World,-549431,215.20
World,-548633,213.60
World,-548281,208.80
World,-547770,202.50
World,-546821,204.60
World,-545857,209.70
World,-544880,209.60
World,-543915,210.30
World,-542936,208.10
World,-541895,203.60
World,-540790,205.00
World,-539704,211.20
World,-538634,212.90
World,-537564,206.40
World,-536491,205.00
World,-535384,199.40
World,-534228,199.80
World,-533745,190.50
World,-533094,193.80
World,-532718,195.10
World,-531982,200.00
World,-531604,204.40
World,-531038,211.40
World,-530643,214.50
World,-530129,220.70
World,-529251,220.30
World,-528341,221.20
World,-527453,222.70
World,-526567,224.70
World,-525749,227.80
World,-524946,230.30
World,-524157,233.70
World,-523387,235.80
World,-522621,236.80
World,-521852,241.90
World,-519624,243.50
World,-518872,245.50
World,-518123,247.70
World,-517379,245.30
World,-516650,245.50
World,-515926,246.20
World,-515205,247.20
World,-514471,243.00
World,-513701,241.50
World,-512898,239.20
World,-512083,238.20
World,-511255,242.00
World,-510414,235.20
World,-509562,236.40
