Entity,Year,Deaths from all causes,Measles
United Kingdom,1629,8814,42
United Kingdom,1630,10471,2
United Kingdom,1631,8458,3
United Kingdom,1632,9539,80
United Kingdom,1633,8427,21
United Kingdom,1634,10865,33
United Kingdom,1635,10641,27
United Kingdom,1636,23382,12
United Kingdom,1647,13784,5
United Kingdom,1648,9896,92
United Kingdom,1649,10532,3
United Kingdom,1650,8681,33
United Kingdom,1651,10773,33
United Kingdom,1652,12541,62
United Kingdom,1653,9082,8
United Kingdom,1654,13126,52
United Kingdom,1655,11409,11
United Kingdom,1656,13752,153
United Kingdom,1657,12434,15
United Kingdom,1658,14993,80
United Kingdom,1659,14756,6
United Kingdom,1660,15118,74
United Kingdom,1661,19771,188
United Kingdom,1662,16554,20
United Kingdom,1663,15356,42
United Kingdom,1664,18297,311
United Kingdom,1665,97306,7
United Kingdom,1666,12738,3
United Kingdom,1667,15842,83
United Kingdom,1668,17278,200
United Kingdom,1669,19432,15
United Kingdom,1670,20198,295
United Kingdom,1671,15729,7
United Kingdom,1672,18230,118
United Kingdom,1673,17504,15
United Kingdom,1674,21201,795
United Kingdom,1675,17244,1
United Kingdom,1676,18732,83
United Kingdom,1677,19067,87
United Kingdom,1678,20678,93
United Kingdom,1679,21730,117
United Kingdom,1680,21053,49
United Kingdom,1681,23971,121
United Kingdom,1682,20691,50
United Kingdom,1683,20587,39
United Kingdom,1684,23202,6
United Kingdom,1685,23222,197
United Kingdom,1686,22609,25
United Kingdom,1701,20471,4
United Kingdom,1702,19481,27
United Kingdom,1703,20720,51
United Kingdom,1704,22684,12
United Kingdom,1705,22097,319
United Kingdom,1706,19847,361
United Kingdom,1707,21600,37
United Kingdom,1708,21291,126
United Kingdom,1709,21800,89
United Kingdom,1710,24620,181
United Kingdom,1711,19833,97
United Kingdom,1712,21198,77
United Kingdom,1713,21057,61
United Kingdom,1714,26569,139
United Kingdom,1715,22232,30
United Kingdom,1716,24436,270
United Kingdom,1717,23446,35
United Kingdom,1718,26523,492
United Kingdom,1719,28347,243
United Kingdom,1720,25454,213
United Kingdom,1721,26142,238
United Kingdom,1722,25750,114
United Kingdom,1723,29197,231
United Kingdom,1724,25952,118
United Kingdom,1725,25523,70
United Kingdom,1726,29647,256
United Kingdom,1727,28418,72
United Kingdom,1728,27810,82
United Kingdom,1729,29722,41
United Kingdom,1730,26761,311
United Kingdom,1731,25262,102
