Entity,Year,Coal production per capita,Oil production per capita,Gas production per capita
Afghanistan,1950,14.70230471,,
Afghanistan,1951,15.57686654,,
Afghanistan,1952,17.44137994,,
Afghanistan,1953,16.20382477,,
Afghanistan,1954,14.98261396,,
Afghanistan,1955,22.63964309,,
Afghanistan,1956,22.29340793,,
Afghanistan,1957,27.65866215,,
Afghanistan,1958,31.88523497,,
Afghanistan,1959,37.78177384,,
Afghanistan,1960,43.43627811,,
Afghanistan,1961,58.61457817,,
Afghanistan,1962,97.56097657,,
Afghanistan,1963,84.535651,,
Afghanistan,1964,94.53282115,,
Afghanistan,1965,117.9568503,,
Afghanistan,1966,129.9053403,,
Afghanistan,1967,118.512953,,397.0827508
Afghanistan,1968,95.9630146,,1909.095377
Afghanistan,1969,102.0022438,,2251.225021
Afghanistan,1970,119.9990341,,2795.917494
Afghanistan,1971,96.25607425,,2779.335915
Afghanistan,1972,49.31018296,,2973.328098
Afghanistan,1973,79.19114608,,3118.99631
Afghanistan,1974,75.98197409,,3127.726387
Afghanistan,1975,96.9914434,,2830.434908
Afghanistan,1976,101.4431216,,2387.960093
Afghanistan,1977,105.9090101,,2379.612647
Afghanistan,1978,134.0666021,,2333.552207
Afghanistan,1979,80.7572437,,2172.125136
Afghanistan,1980,57.91451816,,1389.682995
Afghanistan,1981,61.74060426,,1856.932873
Afghanistan,1982,73.32850962,,1954.354153
Afghanistan,1983,75.46147121,,2100.383677
Afghanistan,1984,79.21028877,,2165.146109
Afghanistan,1985,82.62703706,,2734.50217
Afghanistan,1986,88.92542876,,2777.403837
Afghanistan,1987,93.60893893,,2646.223264
Afghanistan,1988,77.09794593,,2817.078994
Afghanistan,1989,69.52636448,,2722.418501
Afghanistan,1990,55.26975674,,265.4074317
Afghanistan,1991,46.64438864,,250.1934919
Afghanistan,1992,20.11146143,,232.5209001
Afghanistan,1993,20.32744058,,215.363173
Afghanistan,1994,20.75904924,,200.9277221
Afghanistan,1995,21.4362568,,126.6914159
Afghanistan,1996,22.40040714,,139.8414787
Afghanistan,1997,23.5786004,,135.5909048
Afghanistan,1998,24.26764002,,132.1235467
Afghanistan,1999,26.59214249,,128.4487771
Afghanistan,2000,27.39782154,,124.0374598
Afghanistan,2001,8.448124417,,25.84228933
Afghanistan,2002,6.508864203,,24.65074163
Afghanistan,2003,10.33783205,,9.396486498
Afghanistan,2004,9.603556519,,8.98580993
Afghanistan,2005,8.967219073,,8.64466145
Afghanistan,2006,9.208527871,,8.370014849
Afghanistan,2007,62.19602325,,16.2851001
Afghanistan,2008,86.61115843,,19.85127822
Afghanistan,2009,121.6345233,,11.60866303
Afghanistan,2010,171.4785575,,52.67128882
Afghanistan,2011,166.252388,,
Afghanistan,2012,166.4469087,,
Afghanistan,2013,162.0696415,,
Afghanistan,2014,158.015968,,
Africa,1970,,,89.57536685
Africa,1971,,,106.9906572
Africa,1972,,,184.1147084
Africa,1973,,,269.8097228
Africa,1974,,,273.482869
Africa,1975,,,300.3051975
Africa,1976,,,348.1306642
Africa,1977,,,345.4239359
Africa,1978,,,447.8176799
Africa,1979,,,661.0637751
Africa,1980,,,534.9426306
Africa,1981,1842.850803,,551.3494445
Africa,1982,1966.31545,,655.7411214
Africa,1983,1936.652213,,853.6488023
Africa,1984,2099.628004,,873.130804
Africa,1985,2168.811221,,936.2376378
Africa,1986,2162.672048,,955.9573843
Africa,1987,2105.439293,,1013.186543
Africa,1988,2104.862882,,1052.406901
Africa,1989,1988.96815,,1124.85913
Africa,1990,1924.502746,,1135.494862
Africa,1991,1909.919108,,1186.93339
Africa,1992,1902.418998,,1228.734594
Africa,1993,1888.142528,,1242.217834
Africa,1994,1912.587937,,1150.206309
Africa,1995,1958.777692,,1235.09451
Africa,1996,1904.541421,,1290.156019
Africa,1997,1976.442342,,1401.167933
Africa,1998,1954.484567,,1463.723338
Africa,1999,1904.322601,,1559.339291
Africa,2000,1856.973313,,1698.630027
Africa,2001,1808.131952,,1709.387461
Africa,2002,1735.130434,,1738.674789
Africa,2003,1819.26797,,1833.856156
Africa,2004,1812.510716,,1875.582703
Africa,2005,1779.278173,,2003.68401
Africa,2006,1723.504836,,2125.905817
Africa,2007,1680.100047,,2189.6703
Africa,2008,1664.482947,,2224.912218
Africa,2009,1608.5804,,2043.293809
Africa,2010,1626.55162,,2126.848242
