Entity,Year,Average onshore wind installed cost (2016 $/kW),Max onshore wind installed cost (2016 $/kW),Min onshore wind installed cost (2016 $/kW)
World,1983,4880.147968,5258.243035,3829.883892
World,1984,4624.894134,4664.322692,3639.180188
World,1985,4521.800241,4608.00266,3623.858377
World,1986,3985.295973,4096.002364,3496.885424
World,1987,3850.035443,3993.602305,3306.147035
World,1988,2959.242882,2971.857224,2951.169703
World,1989,2773.228926,3003.839424,2705.653265
World,1990,3126.765937,3379.20195,3061.292744
World,1991,3080.694647,3379.20195,2949.121702
World,1992,2973.033942,3072.001773,2611.201507
World,1993,2917.666209,3072.001773,2150.401241
World,1994,2843.356732,3072.001773,1893.932314
World,1995,2563.143307,2867.201655,2304.00133
World,1996,2438.31182,2764.801596,1951.745126
World,1997,2306.000758,2662.401537,2186.241262
World,1998,2295.478314,2560.001478,2048.001182
World,1999,2148.760306,2457.601418,1945.601123
World,2000,2108.795104,2762.753595,1250.304722
World,2001,1994.845705,3135.48981,1183.288533
World,2002,1960.539248,2150.401241,1054.720609
World,2003,1846.212239,3092,1157.120668
World,2004,1876.092109,3407.873967,1072.128619
World,2005,1755.120425,3321.857917,1061.888613
World,2006,1836.54202,2778.113603,1207.296697
World,2007,1843.00186,3047.425759,1031.168595
World,2008,1949.12798,3326.97792,1082.368625
World,2009,1985.47785,4169.730407,1136.640656
World,2010,1781.610422,5156.451459,837.5024855
World,2011,1757.019635,4138.860126,926.1636547
World,2012,1817.339368,4378.595056,811.1498675
World,2013,1604.366978,4371.532806,974.5905124
World,2014,1586.18553,3513.973866,817.4773941
World,2015,1453.882773,4324.544136,871.9230769
World,2016,1455.815549,2652.379355,882.7812613
World,2017,1379.468476,2908.638144,1085
