Entity,Year,Oil (BP Statistics (2016))
Africa,1965,27.4310716
Africa,1966,30.00758128
Africa,1967,29.71564805
Africa,1968,31.25094239
Africa,1969,31.35972908
Africa,1970,34.63902417
Africa,1971,39.00420126
Africa,1972,42.37054286
Africa,1973,45.48251131
Africa,1974,47.04377556
Africa,1975,49.35226898
Africa,1976,55.33725344
Africa,1977,58.49087313
Africa,1978,61.2495283
Africa,1979,64.87578017
Africa,1980,69.35280709
Africa,1981,73.58010169
Africa,1982,77.97816197
Africa,1983,80.64889775
Africa,1984,82.55876254
Africa,1985,84.40145401
Africa,1986,83.13871721
Africa,1987,86.38964447
Africa,1988,91.03465782
Africa,1989,94.24767225
Africa,1990,96.3914023
Africa,1991,96.6261829
Africa,1992,99.07184741
Africa,1993,100.0622476
Africa,1994,102.5906286
Africa,1995,106.2286106
Africa,1996,108.9636043
Africa,1997,112.1442031
Africa,1998,114.7794273
Africa,1999,118.983045
Africa,2000,119.6282229
Africa,2001,120.9088473
Africa,2002,122.7945341
Africa,2003,126.1777949
Africa,2004,132.2122845
Africa,2005,138.8740171
Africa,2006,138.8119059
Africa,2007,144.9633976
Africa,2008,153.2071245
Africa,2009,156.3403484
Africa,2010,164.4982954
Africa,2011,160.2956292
Africa,2012,168.853874
Africa,2013,173.3068675
Africa,2014,177.2394412
Africa,2015,182.9798231
Asia Pacific,1965,163.7729043
Asia Pacific,1966,188.5619068
Asia Pacific,1967,219.9638359
Asia Pacific,1968,251.528137
Asia Pacific,1969,292.1798195
Asia Pacific,1970,338.6850525
Asia Pacific,1971,375.9159361
Asia Pacific,1972,404.3828362
Asia Pacific,1973,459.9096327
Asia Pacific,1974,456.4759352
Asia Pacific,1975,453.4745255
Asia Pacific,1976,482.0940423
Asia Pacific,1977,504.9859577
Asia Pacific,1978,531.8690478
Asia Pacific,1979,545.2273577
Asia Pacific,1980,516.1816408
Asia Pacific,1981,500.5788031
Asia Pacific,1982,485.1627254
Asia Pacific,1983,491.1122909
Asia Pacific,1984,508.1307203
Asia Pacific,1985,505.1157118
Asia Pacific,1986,525.1839012
Asia Pacific,1987,541.4158531
Asia Pacific,1988,588.2373241
Asia Pacific,1989,624.5543001
Asia Pacific,1990,663.6327759
Asia Pacific,1991,691.4412382
Asia Pacific,1992,737.6852531
Asia Pacific,1993,769.0314621
Asia Pacific,1994,814.7340381
Asia Pacific,1995,864.1986117
Asia Pacific,1996,905.6355552
Asia Pacific,1997,950.0899336
Asia Pacific,1998,927.2262111
Asia Pacific,1999,969.0055406
Asia Pacific,2000,997.2623614
Asia Pacific,2001,1003.06192
Asia Pacific,2002,1034.04247
Asia Pacific,2003,1078.782379
