Entity,Year,Historical European trade (Brian Mitchell (2015))
France,1815,8
France,1816,9
France,1817,8
France,1818,9
France,1819,9
France,1820,10
France,1821,9
France,1822,9
France,1823,7
France,1824,9
France,1825,12
France,1826,9
France,1827,9
France,1828,9
France,1829,9
France,1830,8
France,1831,7
France,1832,9
France,1833,9
France,1834,9
France,1835,9
France,1836,10
France,1837,9
France,1838,10
France,1839,11
France,1840,11
France,1841,11
France,1842,11
France,1843,11
France,1844,12
France,1845,12
France,1846,12
France,1847,10
France,1848,9
France,1849,12
France,1850,13
France,1851,14
France,1852,14
France,1853,17
France,1854,15
France,1855,17
France,1856,19
France,1857,19
France,1858,19
France,1859,22
France,1860,20
France,1861,21
France,1862,20
France,1863,23
France,1864,25
France,1865,27
France,1866,26
France,1867,26
France,1868,24
France,1869,25
France,1870,24
France,1871,27
France,1872,29
France,1873,30
France,1874,28
France,1875,28
France,1876,31
France,1877,28
France,1878,29
France,1879,34
France,1880,33
France,1881,32
France,1882,30
France,1883,30
France,1884,29
France,1885,29
France,1886,30
France,1887,29
France,1888,29
France,1889,29
France,1890,28
France,1891,28
France,1892,27
France,1893,25
France,1894,24
France,1895,26
France,1896,25
France,1897,25
France,1898,25
France,1899,27
France,1900,27
France,1901,27
France,1902,27
France,1903,27
France,1904,27
France,1905,29
France,1906,31
France,1907,31
France,1908,29
France,1909,30
France,1910,33
France,1911,31
France,1912,30
France,1913,31
France,1920,44
France,1921,32
France,1922,29
France,1923,34
France,1924,38
France,1925,36
France,1926,37
France,1927,35
France,1928,32
France,1929,31
France,1930,29
France,1931,24
France,1932,19
France,1933,19
France,1934,18
France,1935,18
France,1936,17
France,1937,19
France,1938,19
France,1949,19
Germany,1880,34
Germany,1881,35
Germany,1882,36
Germany,1883,36
Germany,1884,35
Germany,1885,31
Germany,1886,31
Germany,1887,32
Germany,1888,31
Germany,1889,32
Germany,1890,32
Germany,1891,32
Germany,1892,29
Germany,1893,29
Germany,1894,28
Germany,1895,29
Germany,1896,29
Germany,1897,29
Germany,1898,31
Germany,1899,30
Germany,1900,32
Germany,1901,31
Germany,1902,32
Germany,1903,32
Germany,1904,32
Germany,1905,33
Germany,1906,35
Germany,1907,36
Germany,1908,33
Germany,1909,34
Germany,1910,36
Germany,1911,37
Germany,1912,38
Germany,1913,40
Germany,1925,32
Germany,1926,31
Germany,1927,31
Germany,1928,31
Germany,1929,34
Germany,1930,31
Germany,1931,28
Germany,1932,20
Germany,1933,16
Germany,1934,13
Germany,1935,12
Germany,1936,11
Germany,1937,13
Germany,1938,11
Italy,1900,23
Italy,1901,23
Italy,1902,25
Italy,1903,24
Italy,1904,25
Italy,1905,26
Italy,1906,29
Italy,1907,28
Italy,1908,28
Italy,1909,28
