Entity,Year,Total Installed Price (Barbose & Darghouth (2016)),Module Price (Barbose & Darghouth (2016)),Non-Module Costs (Barbose & Darghouth (2016))
United States,2000,11.24246693,3.785114692,7.457352234
United States,2001,11.14191914,3.546555901,7.595363235
United States,2002,11.15029335,3.623105892,7.527187458
United States,2003,10.05778503,3.413560054,6.64422498
United States,2004,9.381766319,3.638694018,5.743072301
United States,2005,9.042267799,3.677222273,5.365045526
United States,2006,9.120168686,3.98555372,5.134614966
United States,2007,9.217387199,4.000923595,5.216463605
United States,2008,8.817955971,3.577772953,5.240183018
United States,2009,8.406482697,2.408428663,5.998054034
United States,2010,7.089458942,1.902170773,5.18728817
United States,2011,6.287246227,1.306581251,4.980664976
United States,2012,5.343541145,0.856834717,4.486706428
United States,2013,4.646448135,0.824116768,3.822331367
United States,2014,4.26900959,0.780925841,3.488083749
United States,2015,4.053122044,0.78,3.273122044
