Entity,Year,"Female suicide rates for selected countries, 1950-2005 (WHO (2015))",Female suicide rate (WHO (2005))
Austria,1975,11.20179,11.20179
Austria,1976,10.42361,10.42361
Austria,1977,12.14137,12.14137
Austria,1978,11.56861,11.56861
Austria,1979,11.96192,11.96192
Austria,1980,11.6723,11.6723
Austria,1981,12.16062,12.16062
Austria,1982,11.47526,11.47526
Austria,1983,12.00734,12.00734
Austria,1984,11.55282,11.55282
Austria,1985,12.29975,12.29975
Austria,1986,12.68535,12.68535
Austria,1987,11.83288,11.83288
Austria,1988,10.14236,10.14236
Austria,1989,11.04587,11.04587
Austria,1990,10.01155,10.01155
Austria,1991,8.896665,8.896665
Austria,1992,9.188734,9.188734
Austria,1993,8.58971,8.58971
Austria,1994,9.264556,9.264556
Austria,1995,8.037958,8.037958
Austria,1996,7.675908,7.675908
Austria,1997,7.532901,7.532901
Austria,1998,6.980475,6.980475
Austria,1999,7.582592,7.582592
Austria,2000,7.811996,7.811996
Austria,2001,7.079841,7.079841
Austria,2002,6.394913,6.394913
Austria,2003,6.941166,6.941166
Austria,2004,5.982184,5.982184
Azerbaijan,1981,3.826715,3.826715
Azerbaijan,1982,2.853445,2.853445
Azerbaijan,1985,2.51677,2.51677
Azerbaijan,1986,2.680833,2.680833
Azerbaijan,1987,2.909419,2.909419
Azerbaijan,1988,2.534463,2.534463
Azerbaijan,1989,2.491978,2.491978
Azerbaijan,1990,0.832518,0.832518
Azerbaijan,1991,1.008676,1.008676
Azerbaijan,1992,1.089356,1.089356
Azerbaijan,1993,1.028466,1.028466
Azerbaijan,1994,0.5496479,0.5496479
Azerbaijan,1995,0.1800632,0.1800632
Azerbaijan,1996,0.3849193,0.3849193
Azerbaijan,1997,0.6182882,0.6182882
Azerbaijan,1998,0.4200949,0.4200949
Azerbaijan,1999,0.3348784,0.3348784
Azerbaijan,2000,0.3883553,0.3883553
Azerbaijan,2004,0.545843542,0.545843542
Bahamas,2004,1.609110832,1.609110832
Bahrain,1985,0.9027397,0.9027397
Bahrain,1987,1.102464,1.102464
Bahrain,1988,0.6495454,0.6495454
Bahrain,1999,0.9799417,0.9799417
Bahrain,2000,0.3023646,0.3023646
Bahrain,2001,0.9313131,0.9313131
Bahrain,2004,0.739074409,0.739074409
Bangladesh,2004,14.39273071,14.39273071
Barbados,2004,0.706947982,0.706947982
Belarus,1981,7.598261,7.598261
Belarus,1982,7.861515,7.861515
Belarus,1985,7.038442,7.038442
Belarus,1986,6.212348,6.212348
Belarus,1987,7.177848,7.177848
Belarus,1988,6.634208,6.634208
Belarus,1989,7.002693,7.002693
Belarus,1990,6.732969,6.732969
Belarus,1991,6.723573,6.723573
Belarus,1992,7.351676,7.351676
Belarus,1993,8.073069,8.073069
Belarus,1994,8.660213,8.660213
Belarus,1995,7.978991,7.978991
Belarus,1997,8.894451,8.894451
Belarus,1998,8.242284,8.242284
Belarus,1999,8.470365,8.470365
Belarus,2000,7.625254,7.625254
Belarus,2001,7.420166,7.420166
Belarus,2002,7.895929,7.895929
Belarus,2003,8.071535,8.071535
Belarus,2004,8.473065376,8.473065376
Belgium,1954,5.845822,5.845822
Belgium,1955,5.675556,5.675556
Belgium,1956,6.93027,6.93027
Belgium,1957,6.829298,6.829298
Belgium,1958,6.465755,6.465755
Belgium,1959,5.952488,5.952488
Belgium,1960,6.432151,6.432151
Belgium,1961,6.508991,6.508991
Belgium,1962,6.070828,6.070828
Belgium,1963,7.051043,7.051043
Belgium,1964,6.545495,6.545495
Belgium,1965,7.809211,7.809211
Belgium,1966,7.103776,7.103776
Belgium,1967,7.427735,7.427735
Belgium,1968,8.124631,8.124631
Belgium,1969,7.336564,7.336564
Belgium,1970,9.104628,9.104628
Belgium,1971,7.747962,7.747962
Belgium,1972,8.350213,8.350213
Belgium,1973,7.426606,7.426606
Belgium,1974,8.438783,8.438783
Belgium,1975,9.46524,9.46524
Belgium,1976,9.491047,9.491047
Belgium,1977,11.14024,11.14024
Belgium,1978,11.76284,11.76284
Belgium,1979,12.22354,12.22354
Belgium,1980,13.27547,13.27547
Belgium,1981,12.13564,12.13564
Belgium,1982,11.46261,11.46261
Belgium,1983,13.17877,13.17877
Belgium,1984,12.49918,12.49918
Belgium,1985,12.08548,12.08548
Belgium,1986,11.64273,11.64273
Belgium,1987,11.00628,11.00628
Belgium,1988,10.16998,10.16998
Belgium,1989,9.148507,9.148507
Belgium,1990,9.330912,9.330912
Belgium,1991,8.275788,8.275788
Belgium,1992,8.604388,8.604388
Belgium,1993,9.10681,9.10681
Belgium,1994,9.127212,9.127212
Belgium,1995,9.434156,9.434156
Belgium,1998,8.5783,8.5783
Belgium,1999,7.752482,7.752482
Belgium,2004,8.197042,8.197042
Belize,2004,1.82664001,1.82664001
Benin,2004,4.418571949,4.418571949
Bhutan,2004,12.63560295,12.63560295
Bolivia,2004,1.176829338,1.176829338
Bosnia and Herzegovina,1985,4.601067,4.601067
Bosnia and Herzegovina,1986,5.578468,5.578468
Bosnia and Herzegovina,1987,5.648069,5.648069
Bosnia and Herzegovina,1988,4.264499,4.264499
Bosnia and Herzegovina,1989,3.86869,3.86869
Bosnia and Herzegovina,1990,3.785358,3.785358
Bosnia and Herzegovina,1991,3.27064,3.27064
Bosnia and Herzegovina,2004,6.068046093,6.068046093
Botswana,2004,9.206121445,9.206121445
Brazil,1982,1.947609,1.947609
Brazil,1983,2.26725,2.26725
Brazil,1984,2.021245,2.021245
Brazil,1985,1.853886,1.853886
Brazil,1986,1.943074,1.943074
Brazil,1987,1.93474,1.93474
Brazil,1988,1.841214,1.841214
Brazil,1989,1.668564,1.668564
Brazil,1990,1.874173,1.874173
Brazil,1991,1.790918,1.790918
Brazil,1992,1.68751,1.68751
Brazil,1993,1.6468,1.6468
Brazil,1994,1.734251,1.734251
Brazil,1995,1.895723,1.895723
Brazil,1996,1.842513,1.842513
Brazil,1997,1.82712,1.82712
Brazil,1998,1.810481,1.810481
Brazil,1999,1.499834,1.499834
Brazil,2000,1.642224,1.642224
Brazil,2001,1.801882,1.801882
Brazil,2002,1.923308,1.923308
Brazil,2003,1.771712,1.771712
Brazil,2004,1.858153,1.858153
Brunei,2004,0.375145286,0.375145286
Bulgaria,1964,4.988511,4.988511
Bulgaria,1965,5.975726,5.975726
Bulgaria,1966,5.58489,5.58489
Bulgaria,1967,5.478089,5.478089
Bulgaria,1968,6.077128,6.077128
Bulgaria,1969,6.873514,6.873514
Bulgaria,1970,6.879066,6.879066
Bulgaria,1971,6.43973,6.43973
Bulgaria,1972,6.071483,6.071483
Bulgaria,1973,6.03754,6.03754
Bulgaria,1974,6.5073,6.5073
Bulgaria,1975,6.496712,6.496712
Bulgaria,1976,7.020559,7.020559
Bulgaria,1977,6.84496,6.84496
Bulgaria,1978,6.798341,6.798341
Bulgaria,1979,7.439748,7.439748
Bulgaria,1980,7.046616,7.046616
Bulgaria,1981,6.696206,6.696206
Bulgaria,1982,7.364737,7.364737
Bulgaria,1983,5.688814,5.688814
Bulgaria,1984,7.712174,7.712174
Bulgaria,1985,7.307676,7.307676
Bulgaria,1986,7.483826,7.483826
Bulgaria,1987,7.293007,7.293007
Bulgaria,1988,7.417935,7.417935
Bulgaria,1989,7.1627,7.1627
Bulgaria,1990,6.729357,6.729357
Bulgaria,1991,6.157265,6.157265
Bulgaria,1992,7.011856,7.011856
Bulgaria,1993,7.656058,7.656058
Bulgaria,1994,7.263122,7.263122
Bulgaria,1995,7.016848,7.016848
Bulgaria,1996,7.075727,7.075727
Bulgaria,1997,7.83246,7.83246
Bulgaria,1998,7.508582,7.508582
Bulgaria,1999,5.760809,5.760809
Bulgaria,2000,6.385141,6.385141
Bulgaria,2001,6.135974,6.135974
Bulgaria,2002,5.639285,5.639285
Bulgaria,2003,5.019393,5.019393
Bulgaria,2004,4.429179,4.429179
Burkina Faso,2004,5.665971756,5.665971756
Burundi,2004,7.297821045,7.297821045
Cambodia,2004,3.420325994,3.420325994
Cameroon,2004,5.32839632,5.32839632
Canada,1950,3.701859,3.701859
Canada,1951,3.834756,3.834756
Canada,1952,3.627389,3.627389
Canada,1953,3.410489,3.410489
Canada,1954,3.741708,3.741708
Canada,1955,3.635554,3.635554
Canada,1956,3.781025,3.781025
Canada,1957,3.565373,3.565373
Canada,1958,3.267719,3.267719
Canada,1959,3.432731,3.432731
Canada,1960,3.347038,3.347038
Canada,1961,3.285075,3.285075
Canada,1962,3.417043,3.417043
Canada,1963,4.184049,4.184049
Canada,1964,4.573519,4.573519
Canada,1965,5.013979,5.013979
Canada,1966,4.816313,4.816313
Canada,1967,5.281665,5.281665
Canada,1968,5.707197,5.707197
Canada,1969,6.693918,6.693918
Canada,1970,6.85581,6.85581
Canada,1971,6.870836,6.870836
Canada,1972,7.348289,7.348289
Canada,1973,7.401609,7.401609
Canada,1974,7.404959,7.404959
Canada,1975,7.020964,7.020964
Canada,1976,7.364343,7.364343
Canada,1977,7.323486,7.323486
Canada,1978,7.249467,7.249467
Canada,1979,6.893365,6.893365
Canada,1980,6.64391,6.64391
Canada,1981,6.568106,6.568106
Canada,1982,6.296635,6.296635
Canada,1983,6.628303,6.628303
Canada,1984,5.813638,5.813638
Canada,1985,5.098656,5.098656
Canada,1986,5.993124,5.993124
Canada,1987,5.735684,5.735684
Canada,1988,5.511722,5.511722
Canada,1989,5.555664,5.555664
Canada,1990,4.865834,4.865834
Canada,1991,4.760344,4.760344
Canada,1992,5.139292,5.139292
Canada,1993,4.978075,4.978075
Canada,1994,4.922986,4.922986
Canada,1995,5.047436,5.047436
Canada,1996,5.167635,5.167635
Canada,1997,4.624682,4.624682
Canada,1998,4.641982,4.641982
Canada,1999,4.892793,4.892793
Canada,2000,4.77592,4.77592
Canada,2001,4.744035,4.744035
Canada,2002,4.632044,4.632044
Canada,2003,4.803301,4.803301
Canada,2004,4.828558,4.828558
Cape Verde,2004,4.764701843,4.764701843
Central African Republic,2004,,8.773792267
Chad,2004,,5.371674538
Chile,1955,,1.705518
Chile,1956,,3.286162
Chile,1957,,2.787757
Chile,1958,,2.964926
Chile,1959,,2.39578
Chile,1960,,3.64664
Chile,1961,,4.176262
Chile,1962,,2.89764
Chile,1963,,0.8644308
Chile,1964,,1.288428
Chile,1965,,1.139999
Chile,1966,,3.682542
Chile,1967,,0.7630991
Chile,1968,,3.92298
Chile,1969,,3.416939
Chile,1970,,2.793142
Chile,1971,,2.091359
Chile,1972,,2.313092
Chile,1973,,2.220561
Chile,1974,,1.960531
Chile,1975,,2.509824
Chile,1976,,2.519268
Chile,1977,,1.640443
Chile,1978,,1.852657
Chile,1979,,2.253324
Chile,1980,,1.48823
Chile,1981,,2.07544
Chile,1982,,1.493241
Chile,1983,,1.791543
Chile,1984,,1.742825
Chile,1985,,2.013265
Chile,1986,,2.029685
Chile,1987,,2.036328
Chile,1988,,1.897084
Chile,1989,,1.596402
Chile,1990,,1.726302
Chile,1991,,2.030589
Chile,1992,,1.422202
Chile,1993,,1.73219
Chile,1994,,1.426363
Chile,1995,,1.791788
Chile,1996,,1.71192
Chile,1997,,1.860289
Chile,1998,,1.777482
Chile,1999,,1.834275
Chile,2000,,2.69615
Chile,2001,,2.945508
Chile,2002,,3.088813
Chile,2003,,3.112759
Chile,2004,,3.206247
China,2004,,18.02147102
Colombia,1953,,0.3979131
Colombia,1954,,0.703688
Colombia,1955,,0.3914769
Colombia,1956,,0.3340232
Colombia,1957,,0.2548287
Colombia,1958,,1.547101
Colombia,1959,,1.930941
Colombia,1960,,1.765069
Colombia,1961,,2.893297
Colombia,1962,,2.765813
Colombia,1963,,3.251587
Colombia,1964,,3.631145
Colombia,1965,,4.938983
Colombia,1966,,4.73882
Colombia,1967,,5.493619
Colombia,1968,,2.756773
Colombia,1969,,1.631767
Colombia,1972,,2.245594
Colombia,1974,,2.267192
Colombia,1975,,2.168202
Colombia,1976,,1.939155
Colombia,1977,,1.501226
Colombia,1984,,1.580137
Colombia,1985,,1.499763
Colombia,1986,,1.425974
Colombia,1987,,1.123727
Colombia,1988,,0.9852467
Colombia,1989,,1.013285
Colombia,1990,,1.137153
Colombia,1991,,1.249398
Colombia,1992,,1.350895
Colombia,1993,,1.260327
Colombia,1994,,1.526278
Colombia,1995,,1.387697
Colombia,1996,,1.302763
Colombia,1997,,1.404484
Colombia,1998,,2.406739
Colombia,1999,,2.301252
Colombia,2000,,2.505282
Colombia,2001,,2.501183
Colombia,2002,,2.506116
Colombia,2004,,2.180043
Comoros,2004,,3.550222635
Congo,2004,,6.957852364
Cook Islands,2004,,3.290148497
Costa Rica,1962,,0.8727162
Costa Rica,1963,,1.64262
Costa Rica,1964,,1.174007
Costa Rica,1965,,0.498162
Costa Rica,1966,,0.7799269
Costa Rica,1967,,0.4272753
Costa Rica,1968,,0.6360087
Costa Rica,1969,,0.5877427
Costa Rica,1970,,0.6645824
Costa Rica,1971,,1.125805
Costa Rica,1972,,1.363301
Costa Rica,1973,,1.356756
Costa Rica,1974,,1.576568
Costa Rica,1975,,2.115221
Costa Rica,1976,,2.641876
Costa Rica,1977,,2.350467
Costa Rica,1978,,1.839676
Costa Rica,1979,,1.295663
Costa Rica,1980,,2.385492
Costa Rica,1981,,1.513461
Costa Rica,1982,,1.949306
Costa Rica,1983,,1.563824
Costa Rica,1984,,1.794858
Costa Rica,1985,,1.326825
Costa Rica,1986,,0.9740071
Costa Rica,1987,,1.57761
Costa Rica,1988,,1.248714
Costa Rica,1989,,2.198613
Costa Rica,1990,,1.337344
Costa Rica,1991,,1.246473
Costa Rica,1992,,1.535387
Costa Rica,1993,,1.856192
Costa Rica,1994,,1.901241
Costa Rica,1995,,2.291895
Costa Rica,1996,,1.38356
Costa Rica,1997,,1.613845
Costa Rica,1998,,1.299603
Costa Rica,1999,,1.254674
Costa Rica,2000,,1.522919
Costa Rica,2001,,1.455986
Costa Rica,2002,,1.933612
Costa Rica,2003,,2.442115
Costa Rica,2004,,2.148408
Cote d'Ivoire,2004,,11.85433578
Croatia,1985,,10.02628
Croatia,1986,,9.546262
Croatia,1987,,10.73183
Croatia,1988,,11.11103
Croatia,1989,,10.14025
Croatia,1990,,10.20551
Croatia,1991,,9.989329
Croatia,1992,,9.034454
Croatia,1993,,9.667844
Croatia,1994,,9.080338
Croatia,1995,,7.616956
Croatia,1996,,8.89677
Croatia,1997,,8.328824
Croatia,1998,,9.316629
Croatia,1999,,8.638062
Croatia,2000,,7.595149
Croatia,2001,,6.665844
Croatia,2002,,6.912228
Croatia,2003,,5.606805
Croatia,2004,,7.074668
Cuba,1964,,8.704844
Cuba,1968,,10.60389
Cuba,1969,,10.65689
Cuba,1970,,11.06531
Cuba,1971,,12.11019
Cuba,1972,,13.99399
Cuba,1973,,13.32282
Cuba,1974,,16.35233
Cuba,1975,,15.75323
Cuba,1976,,17.38483
Cuba,1977,,18.4484
Cuba,1992,,17.22876
Cuba,1993,,17.2061
Cuba,1994,,14.70204
Cuba,1995,,14.09523
Cuba,1996,,11.42207
Cuba,1997,,10.52007
Cuba,1998,,10.80781
Cuba,1999,,9.469912
Cuba,2000,,8.589081
Cuba,2001,,7.20769
Cuba,2002,,7.033532
Cuba,2003,,5.714284
Cuba,2004,,5.674331
Cyprus,2004,,0.2754736
Czech Republic,1986,,9.503201
Czech Republic,1987,,8.125144
Czech Republic,1988,,8.98777
Czech Republic,1989,,8.210373
Czech Republic,1990,,8.271993
Czech Republic,1991,,7.742053
Czech Republic,1992,,7.50093
Czech Republic,1993,,7.470964
Czech Republic,1994,,7.617469
Czech Republic,1995,,6.44746
Czech Republic,1996,,5.081792
Czech Republic,1997,,5.25615
Czech Republic,1998,,4.965591
Czech Republic,1999,,4.659358
Czech Republic,2000,,5.038876
Czech Republic,2001,,4.686975
Czech Republic,2002,,4.675765
Czech Republic,2003,,5.044152
Czech Republic,2004,,4.079931
Czechoslovakia,1953,,10.82814
Czechoslovakia,1954,,10.28614
Czechoslovakia,1955,,10.25148
Czechoslovakia,1956,,10.87737
Czechoslovakia,1957,,10.81348
Czechoslovakia,1958,,10.9639
Czechoslovakia,1959,,11.55604
Czechoslovakia,1960,,12.72596
Czechoslovakia,1961,,11.09167
Czechoslovakia,1962,,11.16994
Czechoslovakia,1963,,11.31057
Czechoslovakia,1964,,10.94708
Czechoslovakia,1965,,11.00362
Czechoslovakia,1966,,11.71201
Czechoslovakia,1967,,11.84606
Czechoslovakia,1968,,12.51732
Czechoslovakia,1969,,11.04574
Czechoslovakia,1970,,12.01178
Czechoslovakia,1971,,10.85366
Czechoslovakia,1972,,11.36778
Czechoslovakia,1973,,9.913467
Czechoslovakia,1974,,10.03628
Czechoslovakia,1975,,9.9984
Czechoslovakia,1976,,9.454665
Czechoslovakia,1977,,8.85787
Czechoslovakia,1978,,9.647628
Czechoslovakia,1979,,8.442943
Czechoslovakia,1980,,8.96263
Czechoslovakia,1981,,8.35686
Czechoslovakia,1982,,8.420896
Czechoslovakia,1983,,7.684603
Czechoslovakia,1984,,7.789109
Czechoslovakia,1985,,7.603957
Czechoslovakia,1986,,8.296039
Czechoslovakia,1987,,7.126152
Czechoslovakia,1988,,7.823055
Czechoslovakia,1989,,7.449316
Czechoslovakia,1990,,7.312033
Czechoslovakia,1991,,6.509547
Democratic Republic of Congo,2004,,7.275096893
Denmark,1951,,14.27589
Denmark,1952,,13.60956
Denmark,1953,,14.99642
Denmark,1954,,14.17499
Denmark,1955,,13.67732
Denmark,1956,,13.69933
Denmark,1957,,13.39697
Denmark,1958,,12.22714
Denmark,1959,,12.22801
Denmark,1960,,12.29644
Denmark,1961,,10.22965
Denmark,1962,,12.1017
Denmark,1963,,11.66955
Denmark,1964,,13.73748
Denmark,1965,,13.10448
Denmark,1966,,10.9374
Denmark,1967,,10.3449
Denmark,1968,,13.05375
Denmark,1969,,13.89309
Denmark,1970,,13.90803
Denmark,1971,,16.16964
Denmark,1972,,15.63836
Denmark,1973,,16.18154
Denmark,1974,,15.7398
Denmark,1975,,16.26976
Denmark,1976,,15.06202
Denmark,1977,,15.28153
Denmark,1978,,16.32782
Denmark,1979,,17.30851
Denmark,1980,,19.64175
Denmark,1981,,18.21034
Denmark,1982,,18.18115
Denmark,1983,,16.89326
Denmark,1984,,17.36956
Denmark,1985,,17.33599
Denmark,1986,,16.5684
Denmark,1987,,16.34699
Denmark,1988,,14.99911
Denmark,1989,,15.84603
Denmark,1990,,12.48864
Denmark,1991,,11.45446
Denmark,1992,,11.56925
Denmark,1993,,11.54635
Denmark,1994,,8.818576
Denmark,1995,,8.247846
Denmark,1996,,7.469941
Denmark,1997,,7.441717
Denmark,1998,,6.114258
Denmark,1999,,5.802166
Denmark,2000,,5.379292
Denmark,2001,,5.794447
Denmark,2002,,4.873204
Denmark,2003,,4.299984
Denmark,2004,,5.689239
Djibouti,2004,,4.231966019
Dominica,2004,,1.783265352
Dominican Republic,2004,,2.461356163
East Germany,1973,,19.24329
East Germany,1974,,20.03715
East Germany,1989,,11.11047
East Germany,1990,,9.880279
Ecuador,2004,,4.690472603
Egypt,1973,,0.1022943
Egypt,1974,,0.0326752
Egypt,1975,,0.0822208
Egypt,1976,,0.0929138
Egypt,1977,,0.265601
Egypt,1978,,0.1156929
Egypt,1979,,0.1334831
Egypt,1980,,0.0244919
Egypt,1987,,0.0503436
Egypt,2000,,0.0398939
Egypt,2004,,1.606142759
El Salvador,2004,,4.166975021
Equatorial Guinea,2004,,7.129074574
Eritrea,2004,,6.53256464
Estonia,1981,,14.60823
Estonia,1982,,11.88938
Estonia,1985,,9.958379
Estonia,1986,,10.94282
Estonia,1987,,8.646701
Estonia,1988,,10.72386
Estonia,1989,,12.25039
Estonia,1990,,11.23726
Estonia,1991,,9.974966
Estonia,1992,,12.11447
Estonia,1993,,12.47818
Estonia,1994,,12.29944
Estonia,1995,,12.85668
Estonia,1996,,11.1046
Estonia,1997,,9.307997
Estonia,1998,,8.52366
Estonia,1999,,9.188284
Estonia,2000,,9.108438
Estonia,2001,,8.350281
Estonia,2002,,7.395526
Estonia,2003,,6.736414
Estonia,2004,,6.293787
Ethiopia,2004,,6.124103069
Fiji,2004,,3.330704927
Finland,1952,,6.338303
Finland,1953,,7.281992
Finland,1954,,7.707232
Finland,1955,,8.487377
Finland,1956,,9.074881
Finland,1957,,9.905864
Finland,1958,,9.75908
Finland,1959,,8.999933
Finland,1960,,8.933072
Finland,1961,,8.80759
Finland,1962,,9.858613
Finland,1963,,7.726057
Finland,1964,,9.401792
Finland,1965,,7.993702
Finland,1966,,8.920331
Finland,1967,,8.169849
Finland,1968,,9.504064
Finland,1969,,9.854064
Finland,1970,,8.769833
Finland,1971,,8.79709
Finland,1972,,9.229571
Finland,1973,,9.496243
Finland,1974,,9.784482
Finland,1975,,9.442504
Finland,1976,,9.485551
Finland,1977,,9.716622
Finland,1978,,8.877536
Finland,1979,,9.063207
Finland,1980,,9.321412
Finland,1981,,8.579315
Finland,1982,,9.323059
Finland,1983,,8.921499
Finland,1984,,8.673536
Finland,1985,,8.783978
Finland,1986,,10.10547
Finland,1987,,10.34389
Finland,1988,,10.0063
Finland,1989,,9.952428
Finland,1990,,10.87554
Finland,1991,,10.14119
Finland,1992,,10.12068
Finland,1993,,9.833062
Finland,1994,,10.38673
Finland,1995,,10.49015
Finland,1996,,9.45045
Finland,1997,,9.463944
Finland,1998,,8.779446
Finland,1999,,8.427931
Finland,2000,,9.725185
Finland,2001,,8.672476
Finland,2002,,8.663737
Finland,2003,,8.375106
Finland,2004,,8.453583
France,1950,5.887676,5.887676
France,1952,5.894147,5.894147
France,1953,5.898882,5.898882
France,1954,6.149604,6.149604
France,1955,6.312592,6.312592
France,1956,7.245126,7.245126
France,1957,7.061091,7.061091
France,1958,7.111049,7.111049
France,1959,7.370492,7.370492
France,1960,6.744084,6.744084
France,1961,6.47076,6.47076
France,1962,6.214105,6.214105
France,1963,6.490596,6.490596
France,1964,6.554833,6.554833
France,1965,6.369074,6.369074
France,1966,6.935515,6.935515
France,1967,6.853002,6.853002
France,1968,7.248062,7.248062
France,1969,7.167145,7.167145
France,1970,7.132113,7.132113
France,1971,7.327756,7.327756
France,1972,7.76903,7.76903
France,1973,7.306815,7.306815
France,1974,7.436042,7.436042
France,1975,7.545575,7.545575
France,1976,7.578704,7.578704
France,1977,8.381433,8.381433
France,1978,8.286058,8.286058
France,1979,8.803364,8.803364
France,1980,9.274755,9.274755
France,1981,9.157047,9.157047
France,1982,9.617654,9.617654
France,1983,9.992432,9.992432
France,1984,10.17096,10.17096
France,1985,10.40593,10.40593
France,1986,10.5879,10.5879
France,1987,10.09694,10.09694
France,1988,9.537703,9.537703
France,1989,9.432059,9.432059
France,1990,8.89199,8.89199
France,1991,8.930861,8.930861
France,1992,8.761019,8.761019
France,1993,9.271954,9.271954
France,1994,8.595119,8.595119
France,1995,8.586724,8.586724
France,1996,8.319171,8.319171
France,1997,8.143969,8.143969
France,1998,7.349611,7.349611
France,1999,7.474207,7.474207
France,2000,7.474487,7.474487
France,2001,7.268069,7.268069
France,2002,7.496887,7.496887
France,2003,7.259634,7.259634
France,2004,7.523865,7.523865
Gabon,2004,,6.182321548
Gambia,2004,,4.648649216
Georgia,1981,,2.661158
Georgia,1982,,2.359338
Georgia,1985,,2.290122
Georgia,1986,,2.457144
Georgia,1987,,2.208648
Georgia,1988,,1.896613
Georgia,1989,,2.320746
Georgia,1990,,1.723654
Georgia,1991,,1.802185
Georgia,1992,,1.920067
Georgia,1994,,1.400695
Georgia,1995,,1.544716
Georgia,1996,,1.676831
Georgia,1997,,1.523687
Georgia,1998,,1.173226
Georgia,1999,,1.609125
Georgia,2000,,0.8593065
Georgia,2001,,0.7854481
Georgia,2004,,0.68989259
Germany,1990,7.40588,7.40588
Germany,1991,7.334742,7.334742
