Entity,Year,"Female suicide rates for selected countries, 1950-2005 (WHO (2015))",Female suicide rate (WHO (2005))
Afghanistan,2004,8.630155563,8.630155563
Albania,2004,6.060874939,6.060874939
Algeria,2004,4.600764751,4.600764751
Andorra,2004,2.902797222,2.902797222
Angola,2004,8.143819809,8.143819809
Argentina,1966,3.773803,3.773803
Argentina,1967,4.522207,4.522207
Argentina,1968,4.950262,4.950262
Argentina,1969,4.47279,4.47279
Argentina,1970,5.086274,5.086274
Argentina,1977,4.095239,4.095239
Argentina,1978,4.20104,4.20104
Argentina,1979,3.768375,3.768375
Argentina,1980,3.895963,3.895963
Argentina,1981,3.973988,3.973988
Argentina,1982,3.379611,3.379611
Argentina,1983,3.553246,3.553246
Argentina,1984,3.264729,3.264729
Argentina,1985,3.57422,3.57422
Argentina,1986,4.305565,4.305565
Argentina,1987,4.496664,4.496664
Argentina,1988,4.194231,4.194231
Argentina,1989,3.802261,3.802261
Argentina,1990,3.655709,3.655709
Argentina,1991,2.975335,2.975335
Argentina,1992,2.9983,2.9983
Argentina,1993,2.870972,2.870972
Argentina,1994,2.945701,2.945701
Argentina,1995,2.831591,2.831591
Argentina,1996,2.955786,2.955786
Argentina,1997,3.053083,3.053083
Argentina,1998,2.805949,2.805949
Argentina,1999,2.604184,2.604184
Argentina,2000,2.917899,2.917899
Argentina,2001,3.537312,3.537312
Argentina,2002,3.624188,3.624188
Argentina,2003,3.470717,3.470717
Argentina,2004,3.28949,3.28949
Armenia,2004,1.542518139,1.542518139
Australia,1950,4.559263,4.559263
Australia,1951,4.573612,4.573612
Australia,1952,5.168044,5.168044
Australia,1953,5.885497,5.885497
Australia,1954,5.378865,5.378865
Australia,1955,5.318667,5.318667
Australia,1956,5.7286,5.7286
Australia,1957,6.757056,6.757056
Australia,1958,6.139689,6.139689
Australia,1959,5.798526,5.798526
Australia,1960,6.195316,6.195316
Australia,1961,6.841145,6.841145
Australia,1962,8.803148,8.803148
Australia,1963,10.87834,10.87834
Australia,1964,10.17107,10.17107
Australia,1965,11.19239,11.19239
Australia,1966,10.9659,10.9659
Australia,1967,11.42143,11.42143
Australia,1968,8.789992,8.789992
Australia,1969,8.080665,8.080665
Australia,1970,7.769779,7.769779
Australia,1971,9.616284,9.616284
Australia,1972,8.662896,8.662896
Australia,1973,7.727494,7.727494
Australia,1974,7.592533,7.592533
Australia,1975,7.196371,7.196371
Australia,1976,5.920273,5.920273
Australia,1977,6.31923,6.31923
Australia,1978,6.624237,6.624237
Australia,1979,6.605552,6.605552
Australia,1980,5.547964,5.547964
Australia,1981,5.491399,5.491399
Australia,1982,5.708966,5.708966
Australia,1983,5.029721,5.029721
Australia,1984,5.075873,5.075873
Australia,1985,5.098112,5.098112
Australia,1986,5.602667,5.602667
Australia,1987,5.035711,5.035711
Australia,1988,5.167239,5.167239
Australia,1989,4.624014,4.624014
Australia,1990,4.798937,4.798937
Australia,1991,5.228232,5.228232
Australia,1992,4.89091,4.89091
Australia,1993,4.123482,4.123482
Australia,1994,4.31111,4.31111
Australia,1995,4.759037,4.759037
Australia,1996,4.651205,4.651205
Australia,1997,5.565905,5.565905
Australia,1998,5.183353,5.183353
Australia,1999,4.872392,4.872392
Australia,2000,4.892426,4.892426
Australia,2001,4.904302,4.904302
Australia,2002,4.672353,4.672353
Australia,2003,4.357681,4.357681
Australia,2004,4.001978,4.001978
Austria,1955,13.03628,13.03628
Austria,1956,12.27382,12.27382
Austria,1957,12.48098,12.48098
Austria,1958,12.57883,12.57883
Austria,1959,12.87934,12.87934
Austria,1960,12.32755,12.32755
Austria,1961,11.31911,11.31911
Austria,1962,10.88243,10.88243
Austria,1963,11.50477,11.50477
Austria,1964,10.76881,10.76881
Austria,1965,11.91786,11.91786
Austria,1966,11.47748,11.47748
Austria,1967,10.59512,10.59512
Austria,1968,10.37276,10.37276
Austria,1969,11.80839,11.80839
Austria,1970,11.48161,11.48161
Austria,1971,11.95893,11.95893
Austria,1972,11.69622,11.69622
Austria,1973,10.86969,10.86969
Austria,1974,11.7306,11.7306
