Entity,Year,Oil consumption per capita (BP & UN (2017 revision)),Coal consumption per capita (BP & UN (2017 revision)),Gas consumption per capita (BP & UN (2017 revision))
Africa,1965,982.3446438,1040.686258,32.72438445
Africa,1966,1050.339973,1001.970157,35.64618859
Africa,1967,1014.39004,1005.196639,34.37115677
Africa,1968,1043.363399,1021.13886,34.19527674
Africa,1969,1032.230468,1001.082551,39.69944326
Africa,1970,1117.029998,1004.125663,47.85500806
Africa,1971,1225.155633,1033.676613,53.23626723
Africa,1972,1293.742189,1016.788571,68.95526267
Africa,1973,1354.457337,1047.22408,107.2211566
Africa,1974,1364.503271,1062.219828,116.8689615
Africa,1975,1391.287764,1098.544171,137.8768466
Africa,1976,1513.763197,1122.316064,153.105131
Africa,1977,1550.234738,1116.715352,166.7098893
Africa,1978,1578.208369,1053.098505,231.6900081
Africa,1979,1629.087717,1081.088298,344.7262651
Africa,1980,1691.539606,1133.066358,425.2996443
Africa,1981,1741.547961,1288.503268,505.8873799
Africa,1982,1780.800301,1383.251245,530.5406303
Africa,1983,1791.503046,1358.982878,567.2388434
Africa,1984,1781.085752,1418.959006,527.8697065
Africa,1985,1769.677797,1424.015244,548.5789302
Africa,1986,1694.207797,1416.6798,600.1957425
Africa,1987,1730.102329,1417.025637,601.4901072
Africa,1988,1766.205877,1481.292459,648.9857458
Africa,1989,1775.902453,1353.029718,654.3051599
Africa,1990,1758.606377,1383.818164,652.6284239
Africa,1991,1715.632949,1309.550666,641.0053284
Africa,1992,1702.621246,1283.041609,665.4039421
Africa,1993,1680.499145,1269.378578,647.924072
Africa,1994,1674.060988,1269.119665,660.791776
Africa,1995,1691.063695,1275.598232,687.0737476
Africa,1996,1692.826636,1261.297603,706.1322374
Africa,1997,1700.337056,1261.830144,676.6484082
Africa,1998,1698.704457,1203.051786,697.2852866
Africa,1999,1718.65353,1210.651701,683.7431928
Africa,2000,1684.636791,1179.051616,737.307035
Africa,2001,1663.425021,1165.833105,820.5190566
Africa,2002,1650.597539,1089.589217,845.7595266
Africa,2003,1652.008389,1157.126065,879.5172143
Africa,2004,1691.751999,1240.446838,943.8145014
Africa,2005,1736.323841,1123.159928,962.4483482
Africa,2006,1694.299677,1111.037346,989.0420534
Africa,2007,1723.093415,1101.462472,1040.751401
Africa,2008,1768.911369,1183.634127,1057.14557
Africa,2009,1780.730915,1148.560422,1018.447331
Africa,2010,1822.919389,1109.291434,1061.637063
Africa,2011,1721.86287,1063.184619,1100.880706
Africa,2012,1774.07261,1010.677996,1142.514647
Africa,2013,1797.934341,999.1326052,1136.706334
Africa,2014,1773.450642,1021.944556,1142.185233
Africa,2015,1773.106012,928.1220812,1190.279119
Algeria,1965,1187.227923,64.47319987,640.1267701
Algeria,1966,1516.886363,60.92632763,646.8942434
Algeria,1967,1374.260092,45.28613738,609.6210802
Algeria,1968,1423.247177,46.53899807,622.7764105
Algeria,1969,1459.460602,57.55619276,795.9199227
Algeria,1970,1624.199641,66.3428003,727.3728707
Algeria,1971,1778.692923,17.88021732,803.0549777
Algeria,1972,1901.387993,15.12639613,907.5837676
Algeria,1973,2015.547162,16.92500355,1228.902432
Algeria,1974,2173.227945,13.60057014,1383.679057
Algeria,1975,2351.182431,16.70467091,1854.218471
Algeria,1976,2622.971676,31.79769636,2131.122203
Algeria,1977,2892.677657,40.10303115,2206.981567
Algeria,1978,2887.013444,19.79593381,3442.576747
Algeria,1979,3359.91701,44.63358389,4725.580695
Algeria,1980,3289.140935,38.49058692,6154.283999
Algeria,1981,3434.126748,26.24141682,7756.962813
Algeria,1982,3529.860295,471.9669089,8531.01384
Algeria,1983,3841.003389,408.1511232,9052.737128
Algeria,1984,4122.106785,438.7706449,7711.420644
Algeria,1985,4105.51139,444.2569443,7412.184887
Algeria,1986,4042.254658,442.85657,7881.345737
Algeria,1987,3966.801095,514.4490755,7833.435356
Algeria,1988,3862.874201,470.5631525,8585.058198
Algeria,1989,3938.264382,387.2419438,7865.477864
Algeria,1990,4109.399963,295.772671,8187.831316
Algeria,1991,3971.95011,297.8196135,7891.343818
Algeria,1992,3899.187796,345.7197124,7959.682933
Algeria,1993,3800.035478,275.4073515,6987.729079
Algeria,1994,3555.151278,254.2322713,7214.865829
Algeria,1995,3393.121327,249.4646298,7608.268846
Algeria,1996,3187.123095,115.4640129,7679.938554
Algeria,1997,3107.628077,199.2368614,7060.456276
Algeria,1998,3150.20287,210.0901999,7194.055841
Algeria,1999,3065.737712,221.8974151,7250.034966
Algeria,2000,3163.749541,180.8815899,6661.290881
Algeria,2001,3232.912299,206.1524582,6792.355367
Algeria,2002,3538.24839,267.1679234,6622.493057
Algeria,2003,3633.98087,217.5004847,6911.203519
Algeria,2004,3751.373393,256.1135943,7018.858585
Algeria,2005,3855.093151,207.5261148,7303.347075
Algeria,2006,3965.01433,303.67949,7356.480706
Algeria,2007,4374.147341,256.6731922,7412.821946
Algeria,2008,4677.502072,252.5453078,7612.889896
Algeria,2009,4875.543059,159.3700516,8037.267804
Algeria,2010,4776.919653,99.82103757,7625.876466
Algeria,2011,5000.45465,86.86280264,7914.591126
Algeria,2012,5207.918246,90.40019782,8648.141116
Algeria,2013,5327.431425,47.92928853,9111.327415
Algeria,2014,5251.045852,53.22407744,10034.73078
Algeria,2015,5676.984288,42.00290493,10343.21534
Argentina,1965,11508.02147,415.5159798,1991.621562
