Entity,Year,"Real GDP per capita in 2011US$, multiple benchmarks (Maddison Project Database (2018))","Real GDP per capita in 2011US$, 2011 benchmark (Maddison Project Database (2018))",Population (Maddison Project Database (2018)),"Total real GDP in 2011US$, multiple benchmarks (Maddison Project Database (2018))","Total real GDP in 2011US$, 2011 benchmark (Maddison Project Database (2018))",Maddison region definition (Maddison (2010)),Average real GDP per capita across Maddison's definitions (Maddison Project Database (2018)),Average real GDP per capita across OWID regions (OWID calculations based on Maddison Project Database (2018)),"Real GDP per capita, 2011 benchmarks, by region (Maddison Project Database (2018))",Population by region (Maddison Project Database (2018))
Afghanistan,1820,,,3280000,,,East Asia Maddison definition,,,,
Afghanistan,1870,,,4207000,,,East Asia Maddison definition,,,,
Afghanistan,1913,,,5730000,,,East Asia Maddison definition,,,,
Afghanistan,1950,2392,2392,8150000,19494799360,19494799360,East Asia Maddison definition,,,,
Afghanistan,1951,2422,2422,8284000,20063848448,20063848448,East Asia Maddison definition,,,,
Afghanistan,1952,2462,2462,8425000,20742350848,20742350848,East Asia Maddison definition,,,,
Afghanistan,1953,2568,2568,8573000,22015463424,22015463424,East Asia Maddison definition,,,,
Afghanistan,1954,2576,2576,8728000,22483329024,22483329024,East Asia Maddison definition,,,,
Afghanistan,1955,2579,2579,8891000,22929889280,22929889280,East Asia Maddison definition,,,,
Afghanistan,1956,2644,2644,9062000,23959928832,23959928832,East Asia Maddison definition,,,,
Afghanistan,1957,2593,2593,9241000,23961913344,23961913344,East Asia Maddison definition,,,,
Afghanistan,1958,2684,2684,9429000,25307435008,25307435008,East Asia Maddison definition,,,,
Afghanistan,1959,2705,2705,9625000,26035625984,26035625984,East Asia Maddison definition,,,,
Afghanistan,1960,2744,2744,9829000,26970775552,26970775552,East Asia Maddison definition,,,,
Afghanistan,1961,2708,2708,10043000,27196444672,27196444672,East Asia Maddison definition,,,,
Afghanistan,1962,2695,2695,10267000,27669565440,27669565440,East Asia Maddison definition,,,,
Afghanistan,1963,2683,2683,10501000,28174182400,28174182400,East Asia Maddison definition,,,,
Afghanistan,1964,2673,2673,10744000,28718712832,28718712832,East Asia Maddison definition,,,,
