Entity,Year,Coal Output (DECC (2018)),Employment in coal industry (DECC (2018)),Coal production per worker (DECC (2018)),Percentage of workforce in coal industry (DECC (2018)),Coal imports (DECC (2018)),Deepmined coal output (DECC (2018)),Opencast coal output (DECC (2018)),Coal by end use (Collieries),Coal by end use (Electricity),Coal by end use (Gas),Coal by end use (Coke ovens & solid fuels),Coal by end use (Railways),Coal by end use (Domestic),Coal by end use (Industry),Coal by end use (Miscellaneous)
United Kingdom,1700,2,,,,,,,,,,,,,,
United Kingdom,1750,5,,,,,,,,,,,,,,
United Kingdom,1800,10,,,,,,,,,,,,,,
United Kingdom,1825,24,,,,,,,,,,,,,,
United Kingdom,1853,71.51116,,,,,,,,,,,,,,
United Kingdom,1863,106.193336,,,,,,,,,,,,,,
United Kingdom,1873,140.296392,467,300.4205396,3.28,,,,,,,,,,,
United Kingdom,1883,172.640752,536,322.0909552,3.49,,,,,,,,,,,
United Kingdom,1893,206.576168,692,298.520474,4.06,,,,,,,,,,,
United Kingdom,1903,258.046728,908,284.1924317,4.78,,,,,,,,,,,
United Kingdom,1913,292.02888,1107,263.8020596,5.34,,292,0,,,,,,,,
United Kingdom,1914,269.914624,1038,260.0333565,4.96,,270,0,,,,,,,,
United Kingdom,1915,257.257296,935,275.141493,4.43,,257,0,,,,,,,,
United Kingdom,1916,260.477,981,265.5219164,4.61,,260,0,,,,,,,,
United Kingdom,1917,252.474984,1002,251.9710419,4.67,,252,0,,,,,,,,
United Kingdom,1918,231.392984,990,233.7302869,4.58,,231,0,,,,,,,,
United Kingdom,1919,233.45648,1136,205.5074648,5.21,,233,0,,,,,,,,
United Kingdom,1920,233.204512,1191,195.8056356,5.41,,233,0,,,,,,,,
United Kingdom,1921,165.863016,,,,,166,0,,,,,,,,
United Kingdom,1922,253.600712,1085,233.7333751,5.5,,254,0,,,,,,,,
United Kingdom,1923,280.417016,1151,243.6290321,5.87,,280,0,,,,,,,,
United Kingdom,1924,271.391888,1163,233.3550198,5.9,,271,0,,,,,,,,
United Kingdom,1925,247.066816,1078,229.1899963,5.37,,247,0,,,,,,,,
United Kingdom,1926,128.299464,,,,,128,0,,,,,,,,
United Kingdom,1927,255.251712,991,257.5698406,4.85,,255,0,,,,,,,,
United Kingdom,1928,241.271552,915,263.6847563,4.42,,241,0,,,,,,,,
United Kingdom,1929,262.033512,925,283.2794724,4.42,,262,0,,,,,,,,
United Kingdom,1930,247.784112,910,272.290233,4.25,,248,0,,,,,,,,
United Kingdom,1931,222.970344,843,264.4962562,3.86,,223,0,,,,,,,,
United Kingdom,1932,212.072728,796,266.4230251,3.6,,212,0,,,,,,,,
United Kingdom,1933,210.425792,767,274.3491421,3.46,,210,0,,,,,,,,
United Kingdom,1934,224.257616,768,292.0021042,3.45,,224,0,,,,,,,,
United Kingdom,1935,225.804984,753,299.8738167,3.36,,226,0,,,,,,,,
United Kingdom,1936,232.103168,750,309.4708907,3.3,,232,0,,,,,,,,
United Kingdom,1937,244.255544,773,315.9838862,3.35,,244,0,,,,,,,,
United Kingdom,1938,230.624888,776,297.1970206,3.3,,231,0,,,,,,,,
United Kingdom,1939,235.039408,761,308.8559895,3.23,,235,0,,,,,,,,
United Kingdom,1940,227.887784,744,306.3007849,3.13,,228,0,,,,,,,,
United Kingdom,1941,209.645504,692,302.9559306,2.86,,210,0,,,,,,,,
United Kingdom,1942,208.223104,704,295.7714545,2.83,,206.891128,1.331976,,,,,,,,
United Kingdom,1943,202.10272,701,288.3063053,2.8,,197.604888,4.497832,11.7856,22.9616,21.1328,21.922232,15.0368,43.0784,39.624,15.263368
United Kingdom,1944,195.831968,704,278.1704091,2.85,,187.043568,8.7884,11.2776,24.4856,21.0312,21.243544,15.24,40.2336,37.592,16.653256
United Kingdom,1945,185.6994,702,264.5290598,2.9,,177.452528,8.246872,10.668,23.876,21.336,21.358352,14.8336,36.9824,35.56,15.116048
United Kingdom,1946,193.1099008,693,278.6578655,2.96,,184.142888,8.9670128,10.7696,26.6192,23.0632,21.876512,15.0368,35.8648,38.608,14.902688
United Kingdom,1947,200.0504,707,282.9567185,3.02,,190.198248,9.852152,11.176,27.5336,23.0632,21.84908,14.5288,36.3728,36.576,13.81252
United Kingdom,1948,210.312,720,292.1,3.08,,199.7456,10.5664,11.3792,29.2608,24.9936,24.061928,14.5288,36.9824,38.608,14.749272
United Kingdom,1949,218.3384,716,304.9418994,3.06,,205.9432,12.3952,10.9728,30.48,25.7048,24.418544,14.6304,36.576,38.9128,14.697456
United Kingdom,1950,219.456,693,316.6753247,2.93,,207.3656,12.0904,10.8712,33.4264,26.6192,24.31796,14.4272,37.8968,40.7416,14.89964
United Kingdom,1951,226.1616,695,325.4123741,2.9,,214.6808,11.4808,10.7696,35.9664,27.8384,25.447752,14.3256,37.6936,41.5544,14.684248
United Kingdom,1952,228.4984,712,320.9247191,2.95,,216.1032,12.3952,10.4648,36.068,28.1432,27.221688,14.1224,37.3888,39.5224,14.535912
United Kingdom,1953,227.076,713,318.4796634,2.95,,215.1888,11.8872,10.0584,37.2872,27.5336,27.865832,13.6144,37.6936,40.0304,14.298168
United Kingdom,1954,227.3808,707,321.6135785,2.89,,217.0176,10.3632,9.652,40.2336,27.7368,28.685744,13.208,38.8112,41.4528,14.697456
United Kingdom,1955,225.6536,704,320.5306818,2.86,,213.5632,12.0904,8.8392,43.5864,28.3464,29.109416,12.3952,37.6936,41.3512,14.476984
United Kingdom,1956,226.06,703,321.5647226,2.82,,213.2584,12.8016,8.0264,46.3296,28.2448,31.578296,12.2936,38.1,40.132,13.532104
United Kingdom,1957,227.7872,710,320.8270423,2.84,,213.36,14.4272,7.3152,47.1424,26.8224,33.43656,11.5824,36.1696,38.1,12.89304
United Kingdom,1958,219.7608,699,314.393133,2.81,,204.724,15.0368,6.604,46.8376,25.1968,30.483048,10.4648,36.7792,34.2392,12.290552
United Kingdom,1959,210.1088,665,315.9530827,2.73,,198.4248,11.684,5.6896,46.736,22.86,27.849576,9.652,33.9344,32.2072,10.961624
United Kingdom,1960,197.831,607,325.9159802,2.46,,189.039,8.792,5.08,52.733,22.962,31.599,9.0424,36.068,36.1696,6.204
United Kingdom,1961,195.047,575,339.2121739,2.3,,184.858,10.189,4.572,56.289,22.861,29.872,7.8232,33.833,33.8328,5.796
United Kingdom,1962,202.639,556,364.4586331,2.2,,192.368,10.271,4.267,62.081,24.76,26.722,6.2992,34.341,30.0078,5.791
United Kingdom,1963,200.462,528,379.6628788,2.08,,192.702,7.76,3.963,68.584,22.76,24.08,5.08,33.633,30.074,8.94
United Kingdom,1964,198.056,502,394.5338645,1.97,,189.816,8.24,3.759,69.092,20.829,29.059,3.8608,29.362,28.9562,5.287
United Kingdom,1965,191.627,454.7,421.4361117,1.77,,183.059,8.568,3.455,71.124,18.492,29.262,2.8448,28.854,28.1432,5.389
United Kingdom,1966,179.909,422,426.3246445,1.62,,171.069,8.84,3.15,69.701,17.171,27.941,1.7272,26.927,26.0098,4.878
United Kingdom,1967,177.651,389.5,456.1001284,1.51,,167.709,9.942,2.947,68.279,14.834,27.238,0.8,24.485,23.745,4.102
United Kingdom,1968,169.92,330.9,513.5086129,1.29,,159.739,10.181,2.459,74.366,10.817,28.864,0.2,23.584,22.746,4.112
United Kingdom,1969,155.694,305.7,509.3032385,1.19,,146.557,9.137,2.065,77.101,6.977,29.688,0.2,21.974,21.509,4.232
United Kingdom,1970,147.195,290,507.5689655,1.13,0.079,136.686,10.509,1.916,77.237,4.28,29.49,0.1,20.19,19.513,4.159
United Kingdom,1971,153.683,286.1,537.1653268,1.12,4.241,136.478,17.205,1.581,72.847,1.855,28.031,0.1,17.185,16.005,3.327
United Kingdom,1972,126.834,273.6,463.5745614,1.06,4.998,109.086,17.748,1.405,66.664,0.575,25.023,0.1,14.554,11.563,2.999
United Kingdom,1973,131.984,251.8,524.1620334,0.97,1.675,120.03,11.954,1.381,76.838,0.512,25.495,0.1,14.502,11.962,2.581
United Kingdom,1974,110.452,252.8,436.914557,0.97,3.547,99.993,10.459,1.256,67.026,0.107,22.249,0.1,13.667,10.977,2.505
United Kingdom,1975,128.683,252,510.6468254,0.97,5.083,117.412,11.271,1.238,74.569,0.009,23.148,0.1,11.616,9.585,1.948
United Kingdom,1976,123.801,249.7,495.7989588,0.95,2.837,110.265,13.536,1.132,77.819,0.008,22.807,0.1,10.823,8.87,2.045
United Kingdom,1977,122.15,247.9,492.7390077,0.94,2.439,107.123,15.027,1.124,79.956,0,20.579,0.1,11.136,8.933,2.149
United Kingdom,1978,123.577,240.4,514.047421,0.91,2.352,107.528,16.049,1.01,80.643,0,18.016,0.1,10.217,8.45,2.041
United Kingdom,1979,122.369,241.6,506.4942053,0.91,4.375,107.775,14.594,0.834,88.79,0,17.964,,10.508,9.232,2.051
United Kingdom,1980,130.097,236.9,549.1642043,0.88,7.334,112.43,17.667,0.663,89.569,0,14.632,,8.946,7.898,1.752
United Kingdom,1981,127.469,172,741.0988372,0.64,4.29,110.473,16.996,0.616,87.226,0,13.263,,8.454,7.046,1.781
United Kingdom,1982,124.711,164,760.4329268,0.61,4.063,106.161,18.55,0.534,80.228,0,12.732,,8.474,7.175,1.855
United Kingdom,1983,119.254,148,805.7702703,0.55,4.456,101.742,17.512,0.486,81.565,0,12.562,,7.872,7.218,1.772
United Kingdom,1984,51.182,139,368.2158273,0.5,8.894,35.243,15.939,0.209,53.411,0,9.546,,5.406,7.006,1.731
United Kingdom,1985,94.111,114,825.5350877,0.41,12.732,75.289,18.822,0.332,73.94,0,13.298,,7.799,8.313,1.704
United Kingdom,1986,108.099,91,1187.901099,0.33,10.554,90.366,17.733,0.306,82.652,0,13.081,,7.421,9.278,1.496
