Entity,Year,"Capital city population (UN Urbanization Prospects, 2018)"
Afghanistan,2018,4011770
Albania,2018,475577
Algeria,2018,2693542
American Samoa,2018,48526
Andorra,2018,22614
Angola,2018,7774200
Anguilla,2018,1402
Antigua and Barbuda,2018,20764
Argentina,2018,14966530
Armenia,2018,1080324
Aruba,2018,29877
Australia,2018,447692
Austria,2018,1900547
Azerbaijan,2018,2285729
Bahamas,2018,279668
Bahrain,2018,564631
Bangladesh,2018,19578421
Barbados,2018,89201
Belarus,2018,2004672
Belgium,2018,2049510
Belize,2018,22964
Benin,2018,285328
Bermuda,2018,10073
Bhutan,2018,203297
Bolivia,2018,277910
Bosnia and Herzegovina,2018,342577
Botswana,2018,269338
Brazil,2018,4469585
British Virgin Islands,2018,15137
Brunei,2018,40781
Bulgaria,2018,1272418
Burkina Faso,2018,2531381
Burundi,2018,898968
Cabo Verde,2018,167504
Cambodia,2018,1952329
Cameroon,2018,3655656
Canada,2018,1363159
Cayman Islands,2018,34875
Central African Republic,2018,850946
Chad,2018,1322679
Channel Islands,2018,34386
Chile,2018,6680371
China,2018,19617963
Colombia,2018,10574409
Comoros,2018,62351
Congo,2018,2229693
Cook Islands,2018,13067
Costa Rica,2018,1357745
Cote d'Ivoire,2018,231072
Croatia,2018,685587
Cuba,2018,2136468
Curacao,2018,144037
Cyprus,2018,269469
Czech Republic,2018,1291552
Democratic Republic of Congo,2018,13171256
Denmark,2018,1320826
Djibouti,2018,561564
Dominica,2018,14942
Dominican Republic,2018,3172152
Ecuador,2018,1822397
Egypt,2018,20076002
El Salvador,2018,1106698
Equatorial Guinea,2018,296770
Eritrea,2018,895863
Estonia,2018,437027
Ethiopia,2018,4399674
Faeroe Islands,2018,20817
Falkland Islands,2018,2269
Fiji,2018,178339
Finland,2018,1279096
France,2018,10900952
French Guiana,2018,57506
French Polynesia,2018,136005
Gabon,2018,813489
Gambia,2018,437161
Georgia,2018,1077333
Germany,2018,3552123
Ghana,2018,2439389
Gibraltar,2018,34733
Greece,2018,3155600
Greenland,2018,18406
Grenada,2018,39297
Guadeloupe,2018,58397
