Entity,Year,Gold (New York Market Price) (Laurence & Williamson (2017))
World,1791,19.39
World,1792,19.39
World,1793,19.39
World,1794,19.39
World,1795,19.39
World,1796,19.39
World,1797,19.39
World,1798,19.39
World,1799,19.39
World,1800,19.39
World,1801,19.39
World,1802,19.39
World,1803,19.39
World,1804,19.39
World,1805,19.39
World,1806,19.39
World,1807,19.39
World,1808,19.39
World,1809,19.39
World,1810,19.39
World,1811,19.39
World,1812,19.39
World,1813,19.39
World,1814,20.10
World,1815,21.64
World,1816,20.95
World,1817,19.46
World,1818,19.39
World,1819,19.39
World,1820,19.39
World,1821,19.39
World,1822,19.39
World,1823,19.39
World,1824,19.39
World,1825,19.39
World,1826,19.39
World,1827,19.39
World,1828,19.39
World,1829,19.39
World,1830,19.39
World,1831,19.39
World,1832,19.39
World,1833,19.39
World,1834,19.94
World,1835,20.69
World,1836,20.69
World,1837,21.64
World,1838,20.86
World,1839,20.67
World,1840,20.67
World,1841,20.67
World,1842,20.67
World,1843,20.67
World,1844,20.67
World,1845,20.67
World,1846,20.67
World,1847,20.67
World,1848,20.67
World,1849,20.67
World,1850,20.67
World,1851,20.67
World,1852,20.67
World,1853,20.67
World,1854,20.67
World,1855,20.67
World,1856,20.67
World,1857,20.70
World,1858,20.67
World,1859,20.67
World,1860,20.67
World,1861,20.67
World,1862,23.42
World,1863,30.02
World,1864,42.03
World,1865,32.52
World,1866,29.13
World,1867,28.57
World,1868,28.88
World,1869,27.49
World,1870,23.75
World,1871,23.09
World,1872,23.24
World,1873,23.52
World,1874,22.99
World,1875,23.75
World,1876,23.05
World,1877,21.66
World,1878,20.84
World,1879,20.67
World,1880,20.67
World,1881,20.67
World,1882,20.67
World,1883,20.67
World,1884,20.67
World,1885,20.67
World,1886,20.67
World,1887,20.67
World,1888,20.67
World,1889,20.67
World,1890,20.67
World,1891,20.67
World,1892,20.67
World,1893,20.67
World,1894,20.67
World,1895,20.67
World,1896,20.67
World,1897,20.67
World,1898,20.67
World,1899,20.67
World,1900,20.67
World,1901,20.67
World,1902,20.67
World,1903,20.67
World,1904,20.67
World,1905,20.67
World,1906,20.67
World,1907,20.67
World,1908,20.67
World,1909,20.67
World,1910,20.67
World,1911,20.67
World,1912,20.67
World,1913,20.67
World,1914,20.67
World,1915,20.67
World,1916,20.67
World,1917,20.67
World,1918,20.67
World,1919,20.67
World,1920,20.67
World,1921,20.67
World,1922,20.67
World,1923,20.67
World,1924,20.67
World,1925,20.67
World,1926,20.67
World,1927,20.67
World,1928,20.67
World,1929,20.67
World,1930,20.67
World,1931,20.67
World,1932,20.67
World,1933,24.44
World,1934,34.94
World,1935,35.00
World,1936,35.00
World,1937,35.00
World,1938,35.00
World,1939,35.00
World,1940,35.00
World,1941,35.00
World,1942,35.00
World,1943,35.00
World,1944,35.00
World,1945,35.00
World,1946,35.00
World,1947,35.00
World,1948,35.00
World,1949,35.00
World,1950,35.00
World,1951,35.00
World,1952,35.00
World,1953,35.00
World,1954,35.00
World,1955,35.00
World,1956,35.00
World,1957,35.00
World,1958,35.00
World,1959,35.00
World,1960,35.00
World,1961,35.00
World,1962,35.00
World,1963,35.00
World,1964,35.00
World,1965,35.00
World,1966,35.00
World,1967,35.00
World,1968,39.26
World,1969,41.51
World,1970,36.41
World,1971,41.25
World,1972,58.60
World,1973,97.81
World,1974,159.74
World,1975,161.49
World,1976,125.32
World,1977,148.31
World,1978,193.55
World,1979,307.50
World,1980,612.56
World,1981,459.64
World,1982,375.91
World,1983,424.00
World,1984,360.66
World,1985,317.66
World,1986,368.24
World,1987,447.95
World,1988,438.31
World,1989,382.58
World,1990,384.93
World,1991,363.29
World,1992,344.97
World,1993,360.91
World,1994,385.42
World,1995,385.50
World,1996,389.09
World,1997,332.39
World,1998,295.24
World,1999,279.91
World,2000,280.10
World,2001,272.22
World,2002,311.33
World,2003,364.80
World,2004,410.52
World,2005,446.00
World,2006,606.00
World,2007,699.00
World,2008,874.00
World,2009,975.00
World,2010,1227.00
World,2011,1572.00
World,2012,1700.00
World,2013,1415.00
World,2014,1270.00
World,2015,1170.00
