Entity,Year,Number of electoral democracies aged 1-18 years,Number of electoral democracies aged 19-30 years,Number of electoral democracies aged 31-60 years,Number of electoral democracies aged 61-90 years,Number of electoral democracies aged 91 years or older,Number of liberal democracies aged 1-18 years,Number of liberal democracies aged 19-30 years,Number of liberal democracies aged 31-60 years,Number of liberal democracies aged 61-90 years,Number of liberal democracies aged 91 years or older,Number of closed autocracies,Number of electoral autocracies,Number of electoral democracies
World,1886,1,1,1,0,0,0,1,1,0,0,61,20,1
World,1887,2,1,1,0,0,0,1,1,0,0,61,18,2
World,1888,2,0,2,0,0,0,0,2,0,0,60,19,2
World,1889,2,0,2,0,0,0,0,2,0,0,59,20,2
World,1890,2,0,2,0,0,0,0,2,0,0,61,18,2
World,1891,2,0,2,0,0,0,0,2,0,0,60,19,2
World,1892,1,1,2,0,0,0,0,2,0,0,59,21,2
World,1893,1,1,2,0,0,0,0,2,0,0,59,20,2
World,1894,1,1,2,0,0,0,0,2,0,0,57,22,2
World,1895,2,1,2,0,0,1,0,2,0,0,58,19,2
World,1896,2,1,2,0,0,1,0,2,0,0,59,18,2
World,1897,2,1,2,0,0,1,0,2,0,0,57,20,2
World,1898,2,1,2,0,0,1,0,2,0,0,55,22,2
World,1899,1,1,2,0,0,0,0,2,0,0,56,22,2
World,1900,2,1,2,0,0,1,0,2,0,0,116,22,2
World,1901,2,1,2,0,0,1,0,2,0,0,116,23,2
World,1902,3,1,2,0,0,2,0,2,0,0,118,22,2
World,1903,3,1,2,0,0,2,0,2,0,0,120,23,2
World,1904,4,0,3,0,0,2,0,2,0,0,120,24,3
World,1905,3,1,3,0,0,2,0,2,0,0,119,24,3
World,1906,4,1,3,0,0,2,0,2,0,0,123,21,4
World,1907,4,1,3,0,0,2,0,2,0,0,124,20,4
World,1908,4,1,3,0,0,2,0,2,0,0,125,19,4
World,1909,4,1,2,1,0,2,0,1,1,0,124,20,4
World,1910,4,1,2,1,0,2,0,1,1,0,124,21,4
World,1911,4,1,2,1,0,2,0,1,1,0,124,23,4
World,1912,4,1,2,1,0,2,0,1,1,0,122,25,4
World,1913,4,1,2,1,0,3,0,1,1,0,120,27,3
World,1914,3,1,2,1,0,2,0,1,1,0,123,27,3
World,1915,3,1,2,1,0,2,0,1,1,0,122,29,3
World,1916,3,1,2,1,0,2,0,0,1,0,128,26,4
World,1917,3,0,3,1,0,2,0,0,1,0,115,39,4
World,1918,6,0,2,2,0,4,0,0,1,0,125,28,5
World,1919,8,0,2,2,0,5,0,0,1,0,129,24,6
World,1920,13,1,2,2,0,5,1,0,1,0,121,26,11
World,1921,17,1,2,2,0,6,1,0,1,0,118,25,14
World,1922,19,2,2,2,0,7,1,0,1,0,121,22,16
World,1923,20,2,2,2,0,7,1,0,1,0,121,21,17
World,1924,19,3,2,2,0,7,1,0,1,0,122,20,17
World,1925,19,3,2,2,0,8,1,0,1,0,122,20,16
World,1926,18,3,2,2,0,8,1,0,1,0,121,22,15
World,1927,17,3,2,2,0,8,1,0,1,0,125,19,14
World,1928,17,3,2,2,0,8,1,0,1,0,126,18,14
World,1929,17,3,2,2,0,8,1,0,1,0,128,16,14
World,1930,16,3,2,2,0,8,1,0,1,0,130,15,13
World,1931,16,3,2,2,0,7,2,0,1,0,127,18,13
World,1932,17,2,3,2,0,7,1,1,1,0,119,20,14
World,1933,14,2,3,2,0,7,1,1,1,0,121,21,11
World,1934,12,1,3,3,0,7,1,1,1,0,126,19,9
World,1935,12,1,3,3,0,7,1,1,1,0,134,15,9
World,1936,10,2,4,3,0,5,3,1,1,0,133,16,9
World,1937,8,3,4,3,0,4,4,1,1,0,133,17,8
World,1938,5,6,4,3,0,3,5,1,1,0,131,19,8
World,1939,3,7,4,2,1,2,6,1,0,1,131,17,7
World,1940,1,6,3,1,1,1,5,0,0,1,136,18,5
World,1941,1,6,3,1,1,1,5,0,0,1,137,18,5
World,1942,1,6,3,1,1,1,5,0,0,1,137,17,5
World,1943,1,6,2,1,1,0,5,1,0,1,138,17,4
World,1944,1,6,2,1,1,0,5,1,0,1,139,17,4
World,1945,2,6,2,1,1,0,5,1,0,1,137,21,5
World,1946,6,6,2,1,1,4,5,1,0,1,131,25,5
World,1947,10,6,1,2,1,6,5,1,0,1,123,30,7
World,1948,11,5,2,1,2,6,4,2,0,1,128,27,8
World,1949,13,4,3,1,2,8,3,3,0,1,130,24,8
World,1950,15,4,3,1,2,8,2,4,0,1,125,26,10
World,1951,15,2,5,1,2,8,2,4,0,1,127,25,10
World,1952,17,0,7,1,2,9,1,5,0,1,125,25,11
World,1953,17,0,7,1,2,9,1,5,0,1,125,25,11
World,1954,17,0,7,1,2,9,1,5,0,1,124,26,11
World,1955,18,0,7,1,2,9,0,6,0,1,119,30,12
World,1956,19,0,7,1,2,10,0,6,0,1,115,33,12
World,1957,18,1,7,1,2,10,0,6,0,1,109,39,12
World,1958,16,1,7,1,2,10,0,6,0,1,108,42,10
World,1959,17,1,7,1,2,10,0,6,0,1,109,40,11
World,1960,18,1,7,1,2,10,0,6,0,1,100,47,12
World,1961,18,1,7,1,2,10,0,6,0,1,99,49,12
World,1962,19,1,7,1,2,10,0,6,0,1,99,48,13
World,1963,20,2,7,1,2,10,0,6,0,1,95,50,15
World,1964,17,6,6,2,2,6,4,6,0,1,98,46,16
World,1965,13,10,6,2,2,4,6,6,0,1,98,46,16
World,1966,13,10,6,2,2,5,6,6,0,1,101,43,15
World,1967,12,12,6,2,2,3,8,6,0,1,101,42,16
World,1968,11,14,6,2,2,3,8,6,0,1,98,44,17
World,1969,11,13,7,2,2,4,8,6,0,1,102,40,16
World,1970,10,15,7,2,2,4,9,6,0,1,103,38,16
World,1971,11,15,7,2,2,4,9,6,0,1,104,37,17
World,1972,10,15,7,2,2,4,9,6,0,1,103,39,16
World,1973,8,16,6,2,2,4,9,5,1,1,103,41,14
World,1974,11,16,6,2,2,3,10,5,1,1,100,40,17
World,1975,12,14,7,2,2,3,10,5,1,1,99,41,17
World,1976,12,10,11,2,2,6,6,9,1,1,100,39,14
World,1977,13,5,15,1,3,7,4,11,1,1,99,40,13
World,1978,13,6,14,2,3,7,4,10,2,1,102,36,14
World,1979,14,4,15,3,3,7,2,11,3,1,99,38,15
World,1980,15,3,16,3,3,7,2,10,4,1,96,40,16
World,1981,13,5,14,5,3,7,2,10,4,1,97,39,16
World,1982,14,4,12,7,3,7,1,10,5,1,99,37,16
World,1983,14,4,12,7,3,8,1,10,5,1,97,39,15
World,1984,16,4,12,7,3,7,2,10,5,1,96,38,17
World,1985,16,5,12,7,3,7,2,9,6,1,94,39,18
World,1986,16,6,12,7,3,8,1,10,6,1,89,43,18
World,1987,16,6,12,7,3,7,2,10,6,1,91,41,18
World,1988,21,6,12,7,3,6,3,10,6,1,88,39,23
World,1989,21,6,12,7,3,7,3,10,6,1,84,43,22
World,1990,33,5,13,7,3,10,3,10,6,1,67,48,31
World,1991,39,5,13,7,3,12,3,10,6,1,60,48,35
World,1992,41,6,14,7,3,12,3,10,6,1,55,49,39
World,1993,43,5,16,7,3,13,3,10,6,1,51,50,41
World,1994,44,6,16,6,4,10,6,10,6,1,45,55,43
World,1995,46,7,16,6,4,9,7,10,6,1,41,56,46
World,1996,48,8,16,6,4,12,6,11,6,1,35,59,46
World,1997,49,7,17,6,4,12,6,11,6,1,32,61,47
World,1998,48,8,18,6,4,12,6,11,6,1,31,62,48
World,1999,52,8,18,6,4,13,5,12,6,1,35,55,51
World,2000,52,7,18,6,4,14,4,13,6,1,36,55,49
World,2001,52,7,18,6,4,13,5,13,6,1,36,55,49
World,2002,56,9,18,6,4,13,5,13,6,1,30,55,55
World,2003,57,10,17,6,4,14,5,13,5,2,30,54,55
World,2004,56,10,18,6,4,14,6,13,5,2,29,55,54
World,2005,53,10,18,7,4,14,6,13,5,2,26,60,52
World,2006,49,12,15,11,4,15,3,12,9,2,23,64,50
World,2007,48,11,13,14,4,14,3,11,11,2,26,63,49
World,2008,43,17,14,13,5,12,5,11,10,3,23,64,51
World,2009,35,24,12,14,6,10,7,9,11,4,23,65,50
World,2010,40,24,13,15,6,11,6,9,10,5,22,59,57
World,2011,36,27,13,13,8,9,8,9,10,5,21,61,56
World,2012,36,27,12,12,10,9,8,8,10,6,19,63,56
World,2013,31,28,12,12,10,7,7,9,10,6,22,64,54
World,2014,29,30,14,12,10,6,9,9,10,6,21,63,55
World,2015,26,31,15,12,10,5,9,9,9,7,21,64,55
World,2016,27,31,16,12,10,4,6,9,10,7,23,60,60
World,2017,26,32,17,12,10,5,6,8,10,7,23,59,61
World,2018,24,30,19,12,10,4,7,7,10,7,23,61,60
World,2019,21,30,17,12,10,4,5,8,10,7,24,65,56
World,2020,21,26,22,13,10,5,3,7,10,7,24,63,60
