Entity,Year,Number of electoral democracies aged 1-18 years,Number of electoral democracies aged 19-30 years,Number of electoral democracies aged 31-60 years,Number of electoral democracies aged 61-90 years,Number of electoral democracies aged 91 years or older,Number of liberal democracies aged 1-18 years,Number of liberal democracies aged 19-30 years,Number of liberal democracies aged 31-60 years,Number of liberal democracies aged 61-90 years,Number of liberal democracies aged 91 years or older,Number of closed autocracies,Number of electoral autocracies,Number of electoral democracies
World,1789,0,0,0,0,0,0,0,0,0,0,66,0,0
World,1790,0,0,0,0,0,0,0,0,0,0,66,2,0
World,1791,0,0,0,0,0,0,0,0,0,0,67,2,0
World,1792,0,0,0,0,0,0,0,0,0,0,66,3,0
World,1793,0,0,0,0,0,0,0,0,0,0,66,3,0
World,1794,0,0,0,0,0,0,0,0,0,0,66,3,0
World,1795,0,0,0,0,0,0,0,0,0,0,68,3,0
World,1796,0,0,0,0,0,0,0,0,0,0,64,6,0
World,1797,0,0,0,0,0,0,0,0,0,0,64,6,0
World,1798,0,0,0,0,0,0,0,0,0,0,64,6,0
World,1799,0,0,0,0,0,0,0,0,0,0,67,3,0
World,1800,0,0,0,0,0,0,0,0,0,0,68,3,0
World,1801,0,0,0,0,0,0,0,0,0,0,69,3,0
World,1802,0,0,0,0,0,0,0,0,0,0,71,3,0
World,1803,0,0,0,0,0,0,0,0,0,0,70,3,0
World,1804,0,0,0,0,0,0,0,0,0,0,70,3,0
World,1805,0,0,0,0,0,0,0,0,0,0,70,3,0
World,1806,0,0,0,0,0,0,0,0,0,0,70,3,0
World,1807,0,0,0,0,0,0,0,0,0,0,71,3,0
World,1808,0,0,0,0,0,0,0,0,0,0,70,3,0
World,1809,0,0,0,0,0,0,0,0,0,0,70,3,0
World,1810,0,0,0,0,0,0,0,0,0,0,70,3,0
World,1811,0,0,0,0,0,0,0,0,0,0,70,3,0
World,1812,0,0,0,0,0,0,0,0,0,0,70,3,0
World,1813,0,0,0,0,0,0,0,0,0,0,72,3,0
World,1814,0,0,0,0,0,0,0,0,0,0,73,3,0
World,1815,0,0,0,0,0,0,0,0,0,0,78,3,0
World,1816,0,0,0,0,0,0,0,0,0,0,78,3,0
World,1817,0,0,0,0,0,0,0,0,0,0,79,3,0
World,1818,0,0,0,0,0,0,0,0,0,0,79,3,0
World,1819,0,0,0,0,0,0,0,0,0,0,79,3,0
World,1820,0,0,0,0,0,0,0,0,0,0,78,3,0
World,1821,0,0,0,0,0,0,0,0,0,0,81,4,0
World,1822,0,0,0,0,0,0,0,0,0,0,81,4,0
World,1823,0,0,0,0,0,0,0,0,0,0,79,6,0
World,1824,0,0,0,0,0,0,0,0,0,0,79,5,0
World,1825,0,0,0,0,0,0,0,0,0,0,81,5,0
World,1826,0,0,0,0,0,0,0,0,0,0,82,5,0
World,1827,0,0,0,0,0,0,0,0,0,0,82,5,0
World,1828,0,0,0,0,0,0,0,0,0,0,82,5,0
World,1829,0,0,0,0,0,0,0,0,0,0,82,5,0
World,1830,0,0,0,0,0,0,0,0,0,0,84,5,0
World,1831,0,0,0,0,0,0,0,0,0,0,84,6,0
World,1832,0,0,0,0,0,0,0,0,0,0,84,7,0
World,1833,0,0,0,0,0,0,0,0,0,0,84,7,0
World,1834,0,0,0,0,0,0,0,0,0,0,85,7,0
World,1835,0,0,0,0,0,0,0,0,0,0,84,8,0
World,1836,0,0,0,0,0,0,0,0,0,0,82,10,0
World,1837,0,0,0,0,0,0,0,0,0,0,81,11,0
World,1838,0,0,0,0,0,0,0,0,0,0,85,10,0
World,1839,0,0,0,0,0,0,0,0,0,0,85,11,0
World,1840,0,0,0,0,0,0,0,0,0,0,87,9,0
World,1841,0,0,0,0,0,0,0,0,0,0,90,7,0
World,1842,0,0,0,0,0,0,0,0,0,0,88,9,0
World,1843,0,0,0,0,0,0,0,0,0,0,88,9,0
World,1844,0,0,0,0,0,0,0,0,0,0,88,10,0
World,1845,0,0,0,0,0,0,0,0,0,0,88,10,0
World,1846,0,0,0,0,0,0,0,0,0,0,90,9,0
World,1847,0,0,0,0,0,0,0,0,0,0,88,9,0
World,1848,0,0,0,0,0,0,0,0,0,0,85,15,0
World,1849,1,0,0,0,0,1,0,0,0,0,85,13,0
World,1850,1,0,0,0,0,1,0,0,0,0,85,13,0
World,1851,1,0,0,0,0,1,0,0,0,0,84,14,0
World,1852,1,0,0,0,0,1,0,0,0,0,85,14,0
World,1853,1,0,0,0,0,1,0,0,0,0,87,13,0
World,1854,1,0,0,0,0,1,0,0,0,0,86,14,0
World,1855,1,0,0,0,0,1,0,0,0,0,86,14,0
World,1856,1,0,0,0,0,1,0,0,0,0,85,15,0
World,1857,1,0,0,0,0,1,0,0,0,0,85,15,0
World,1858,2,0,0,0,0,2,0,0,0,0,87,12,0
World,1859,2,0,0,0,0,2,0,0,0,0,87,12,0
World,1860,2,0,0,0,0,2,0,0,0,0,84,13,0
World,1861,2,0,0,0,0,2,0,0,0,0,84,11,0
World,1862,2,0,0,0,0,2,0,0,0,0,81,12,0
World,1863,2,0,0,0,0,2,0,0,0,0,83,11,0
World,1864,2,0,0,0,0,2,0,0,0,0,82,12,0
World,1865,2,0,0,0,0,2,0,0,0,0,79,15,0
World,1866,2,0,0,0,0,2,0,0,0,0,80,14,0
World,1867,1,1,0,0,0,1,1,0,0,0,79,14,0
World,1868,1,1,0,0,0,1,1,0,0,0,72,16,0
World,1869,1,1,0,0,0,1,1,0,0,0,72,16,0
World,1870,1,1,0,0,0,1,1,0,0,0,70,18,0
World,1871,1,1,0,0,0,1,1,0,0,0,72,16,0
World,1872,1,1,0,0,0,1,1,0,0,0,66,18,0
World,1873,1,1,0,0,0,1,1,0,0,0,67,17,0
World,1874,2,1,0,0,0,1,1,0,0,0,67,16,1
World,1875,2,1,0,0,0,1,1,0,0,0,66,17,1
World,1876,1,2,0,0,0,0,2,0,0,0,68,16,1
World,1877,1,2,0,0,0,0,2,0,0,0,71,13,1
World,1878,1,2,0,0,0,0,2,0,0,0,68,16,1
World,1879,1,1,1,0,0,0,1,1,0,0,68,15,1
World,1880,1,1,1,0,0,0,1,1,0,0,64,19,1
World,1881,1,1,1,0,0,0,1,1,0,0,63,20,1
World,1882,1,1,1,0,0,0,1,1,0,0,61,22,1
World,1883,1,1,1,0,0,0,1,1,0,0,62,21,1
World,1884,1,1,1,0,0,0,1,1,0,0,61,22,1
World,1885,1,1,1,0,0,0,1,1,0,0,63,18,1
