Entity,Year,Imported deforestation (hectares),Exported deforestation (hectares),Net deforestation in trade (hectares),embodied_deforestation,deforestation_domestic_consumption,share_deforestation_exported,share_deforestation_domestic_consumption,imported_deforestation_per_capita,exported_deforestation_per_capita,domestic_consumption_deforestation_per_capita,net_traded_deforestation_per_capita,domestic_and_imported_deforestation
Afghanistan,2005,358.92149596180536,2.2968265966248396,-356.6246693651805,191.12479428908483,188.82796769246,1.2017418279863712,98.79825817201363,1.3990858967872665e-05,8.953093461545333e-08,7.360566293461448e-06,-1.3901328033257212e-05,547.7494636542654
Afghanistan,2006,104.46637564726379,1.8198999154669764,-102.64647573179681,203.53253976026699,201.7126398448,0.8941567366134993,99.1058432633865,3.952119534190738e-06,6.884954093243205e-08,7.63109143286044e-06,-3.8832699932583066e-06,306.1790154920638
Afghanistan,2007,157.6413263757118,0.9642861323948182,-156.67704024331698,218.07038829999482,217.1061021676,0.4421903129132187,99.55780968708679,5.816808471115893e-06,3.5581201151057825e-08,8.010999674093206e-06,-5.781227269964834e-06,374.7474285433118
Afghanistan,2008,270.48644663160246,0.0,-270.48644663160246,190.6121775,190.6121775,0.0,100.0,9.757104344260964e-06,0.0,6.875845086934565e-06,-9.757104344260964e-06,461.0986241316025
Afghanistan,2009,583.7729544845712,0.0,-583.7729544845712,164.2620399,164.2620399,0.0,100.0,2.0559005264468082e-05,0.0,5.784893111463285e-06,-2.0559005264468082e-05,748.0349943845712
Afghanistan,2010,1132.6910257886716,0.0,-1132.6910257886716,134.5402427,134.5402427,0.0,100.0,3.880939579896771e-05,0.0,4.6097527136298226e-06,-3.880939579896771e-05,1267.2312684886715
Afghanistan,2011,663.5228874411983,0.0,-663.5228874411983,126.7250815,126.7250815,0.0,100.0,2.203150670522291e-05,0.0,4.207759122754591e-06,-2.203150670522291e-05,790.2479689411983
Afghanistan,2012,687.7361328842524,0.0,-687.7361328842524,83.86471822,83.86471822,0.0,100.0,2.207041278791606e-05,0.0,2.6913359077051442e-06,-2.207041278791606e-05,771.6008511042523
Afghanistan,2013,652.5734667452028,0.002361220024482691,-652.5711055251784,62.62339493002448,62.62103371,0.0037705078543268425,99.99622949214567,2.0222295219869937e-05,7.317074758235794e-11,1.9405340474124574e-06,-2.0222222049122356e-05,715.1945004552028
Albania,2005,1224.2247514450737,38.67139802514612,-1185.5533534199276,591.7627534251461,553.0913554,6.534949656989148,93.46505034301086,0.00039657426350666464,1.2527177850711408e-05,0.00017916791558147068,-0.00038404708565595324,1777.3161068450736
Albania,2006,1222.3040421783985,29.548142342240908,-1192.7558998361576,713.8887432382409,684.340600896,4.13904023870846,95.86095976129154,0.0003990545354810312,9.646798022279108e-06,0.00022342167838589616,-0.0003894077374587521,1906.6446430743983
Albania,2007,1556.6877431998214,24.957672519946982,-1531.7300706798744,1692.841553145947,1667.883880626,1.474306468527198,98.5256935314728,0.0005130809964402839,8.225996216198742e-06,0.0005497310087758735,-0.0005048550002240852,3224.5716238258215
Albania,2008,1210.8637933477976,21.712701755743183,-1189.1510915920544,2722.2675271344433,2700.5548253787,0.797596178161033,99.20240382183897,0.000403218046402863,7.230336914999395e-06,0.0008992856561367633,-0.00039598770948786363,3911.4186187264977
Albania,2009,679.0106664965265,4.555236287101707,-674.4554302094248,2659.0775218859017,2654.5222855988,0.17130889376519529,99.8286911062348,0.00022839242061773512,1.5322019129168203e-06,0.0008928766517318533,-0.0002268602187048183,3333.5329520953264
Albania,2010,519.2463574257345,7.1150034140173375,-512.1313540117171,2744.995926954817,2737.8809235408,0.25919905177820873,99.74080094822179,0.0001761351280277254,2.413501836505203e-06,0.0009287248723001356,-0.0001737216261912202,3257.1272809665343
Albania,2011,352.39225055737325,6.380156373081718,-346.0120941842915,2550.8451894377818,2544.4650330647,0.25011930945475896,99.74988069054524,0.00012031145461159893,2.178271209655759e-06,0.0008687145896431205,-0.00011813318340194317,2896.8572836220733
Albania,2012,359.2176150446321,7.200615184272465,-352.01699986035965,1499.9661582025724,1492.7655430183,0.4800518428296442,99.51994815717036,0.00012327303193021005,2.4710415869157396e-06,0.0005122736935546671,-0.00012080199034329432,1851.983158062932
Albania,2013,273.9640269580851,7.4642697329811085,-266.499757225104,399.2104067312311,391.74613699825,1.8697583046742658,98.13024169532574,9.43402296687621e-05,2.570340817142255e-06,0.00013489880750628444,-9.176988885161984e-05,665.7101639563351
Algeria,2005,17244.309411030055,4.631747573942448,-17239.677663456114,3856.4628291071526,3851.83108153321,0.12010351918819841,99.87989648081181,0.0005201903291411781,1.3972089212496072e-07,0.00011619399944293243,-0.0005200506082490532,21096.140492563267
Algeria,2006,15153.087645543408,10.22509823123437,-15142.862547312174,4245.426310529574,4235.20121229834,0.24084974001018267,99.75915025998981,0.00045043511327081266,3.039475114067468e-07,0.00012589403443115068,-0.0004501311657594059,19388.288857841748
Algeria,2007,14109.3499962989,10.606376392910533,-14098.74361990599,4684.753780232671,4674.14740383976,0.22640200297535726,99.77359799702464,0.0004129525564521,3.1042750001201547e-07,0.00013680297959550912,-0.000412642128952088,18783.49740013866
Algeria,2008,15078.898248073649,13.952674136895439,-15064.945573936753,5516.639249452225,5502.68657531533,0.2529198213981614,99.74708017860185,0.0004341625132611687,4.0173545641920585e-07,0.00015843732041448072,-0.0004337607778047495,20581.584823388977
Algeria,2009,18066.455748276825,27.47551436343656,-18038.98023391339,6740.1019190971065,6712.62640473367,0.4076424168837663,99.59235758311623,0.0005113051380618335,7.77594225489233e-07,0.0001899764081262713,-0.0005105275438363443,24779.082153010495
Algeria,2010,14828.68192168215,46.64418309067514,-14782.037738591474,6364.177003730475,6317.5328206398,0.732917752968433,99.26708224703157,0.0004121711627340287,1.2965000720092043e-06,0.00017559921118047084,-0.0004108746626620195,21146.21474232195
Algeria,2011,16739.51042082115,13.41564261833355,-16726.094778202816,6952.874784251364,6939.45914163303,0.19295101716373064,99.80704898283626,0.0004566026682529431,3.659377163288931e-07,0.0001892872300710027,-0.0004562367305366143,23678.96956245418
Algeria,2012,20090.36237785509,16.92532356337415,-20073.437054291717,8145.9815184942945,8129.05619493092,0.20777512844765983,99.79222487155234,0.0005374053706894685,4.527424449864688e-07,0.000217447469370076,-0.0005369526282444821,28219.41857278601
Algeria,2013,17952.924035519572,2.5912378173970865,-17950.332797702176,8009.867480517497,8007.2762427001,0.032350570389582445,99.96764942961042,0.00047071117030727773,6.794016301513074e-08,0.0002099443167986392,-0.0004706432301442626,25960.200278219672
Angola,2005,3868.14692732392,4.600366774393478,-3863.5465605495265,66976.40398589529,66971.8036191209,0.00686863805850532,99.9931313619415,0.00019904018356097148,2.3671744233783465e-07,0.0034461152423135174,-0.00019880346611863365,70839.95054644482
Angola,2006,5718.385469785557,4.669240205636015,-5713.716229579921,55773.969901481534,55769.3006612759,0.008371719305410221,99.99162828069458,0.00028379084217298046,2.317240796841695e-07,0.002767707228847439,-0.00028355911809329633,61487.686131061455
Angola,2007,6797.398314346938,62.334209964144975,-6735.064104382793,75316.63421241514,75254.300002451,0.08276287252606655,99.91723712747394,0.00032515658045189846,2.981784738777564e-06,0.003599823008966802,-0.00032217479571312093,82051.69831679793
Angola,2008,9297.891773121199,41.8758530128398,-9256.015920108359,87444.14558581285,87402.2697328,0.04788868680950762,99.9521113131905,0.0004285532712537426,1.9301185938808905e-06,0.0040284969456489675,-0.0004266231526598617,96700.1615059212
Angola,2009,5601.757255705292,30.205080264102435,-5571.552175441189,114585.5305647541,114555.32548449,0.02636029184071637,99.97363970815928,0.00024881217267945684,1.3416132301724455e-06,0.005088181819511859,-0.00024747055944928444,120157.08274019528
Angola,2010,4202.7827758638305,24.591860230459133,-4178.190915633371,129319.34126448046,129294.74940425,0.01901638222867569,99.98098361777133,0.00017994445863434794,1.0529140362416138e-06,0.0055358258864638635,-0.00017889154459810634,133497.53218011383
Angola,2011,5311.760519934003,38.99830535630463,-5272.762214577699,160183.3942567563,160144.3959514,0.024346035078888797,99.97565396492111,0.00021930393129656096,1.6101030244954637e-06,0.006611799510812931,-0.0002176938282720655,165456.156471334
Angola,2012,6231.291229646886,57.797838149999734,-6173.493391496886,141878.213725978,141820.415887828,0.040737641553360564,99.95926235844664,0.0002481795136867487,2.301969019834305e-06,0.0056484154806367695,-0.00024587754466691436,148051.7071174749
Angola,2013,5823.8892067475535,32.419815690780524,-5791.469391056773,139406.54500460377,139374.125188913,0.023255590825889766,99.97674440917412,0.00022385797996415872,1.2461491271056475e-06,0.005357246509413938,-0.00022261183083705307,145198.01439566055
Argentina,2005,2187.9405437899986,134980.06752978623,132792.12698599623,264365.63688219123,129385.569352405,51.058098594688815,48.94190140531118,5.6255381271436985e-05,0.0034705491355716,0.0033267058173040136,0.003414293754300163,131573.509896195
Argentina,2006,3501.9475031220936,141908.42373048107,138406.47622735897,298022.74688494107,156114.32315446,47.61664175428471,52.38335824571529,8.913075854217597e-05,0.0036118204054589225,0.0039733856745853904,0.0035226896469167466,159616.2706575821
Argentina,2007,6071.241915288323,136811.88073921582,130740.6388239275,362496.7941940908,225684.913454875,37.74154225098138,62.25845774901862,0.0001529896662455479,0.0034475325254313027,0.00568705053560314,0.003294542859185755,231756.15537016332
Argentina,2008,8054.597083029395,148212.7845123682,140158.1874293388,431102.5305601582,282889.74604779,34.37993841506478,65.62006158493521,0.00020096300107358772,0.003697923765278648,0.007058127396401946,0.0034969607642050603,290944.3431308194
Argentina,2009,4418.672987378057,178389.0509864118,173970.37799903375,406377.2949346518,227988.24394824,43.897396141459616,56.10260385854039,0.00010914885229301328,0.00440651757494286,0.0056317032815809106,0.004297368722649847,232406.91693561806
Argentina,2010,3094.9223659904965,155636.71004687934,152541.78768088884,415335.95142288134,259699.241376002,37.47248691419327,62.52751308580673,7.567787475524492e-05,0.003805670726889655,0.006350235753521175,0.00372999285213441,262794.1637419925
Argentina,2011,1967.6172665824997,200074.26656908324,198106.64930250074,451046.7095030532,250972.44293397,44.357771014340784,55.642228985659216,4.7619004515549365e-05,0.004842068406802596,0.006073873255904404,0.004794449402287046,252940.06020055249
Argentina,2012,1831.0001144467678,250033.94613331708,248202.9460188703,403132.57009589707,153098.62396258,62.022759925807804,37.9772400741922,4.3851038545007014e-05,0.005988119893026394,0.0036665937962538616,0.005944268854481387,154929.62407702676
