Entity,Year,Aircraft Departures,Aircraft KMs,ASKs,Cargo RTKs,Freight Tonnes,Passengers,PLF,RPKs
World,1929,,9e+07,,,,,,1.7e+08
World,1930,,1.2e+08,,,,,,2.7e+08
World,1931,,1.35e+08,,,,,,3.3e+08
World,1932,,1.4e+08,,,,,,4.05e+08
World,1933,,1.55e+08,,,,,,5.45e+08
World,1934,,1.6e+08,,,,,,6.5e+08
World,1935,,2e+08,,,,,,9.2e+08
World,1936,,2.3e+08,,,,,,1.225e+09
World,1937,,2.65e+08,,,,,,1.41e+09
World,1938,,3e+08,,,,,,1.685e+09
World,1939,,2.95e+08,,,,,,2.03e+09
World,1940,,3e+08,,,,,,2.53e+09
World,1941,,3.4e+08,,,,,,3.28e+09
World,1942,,3.2e+08,,,,,,3.58e+09
World,1943,,3.25e+08,,,,,,4.265e+09
World,1944,,4.15e+08,,,,,,5.49e+09
World,1945,,6e+08,,2.4e+08,,9e+06,,8e+09
World,1946,,9.4e+08,,2.2e+08,,1.8e+07,,1.6e+10
World,1947,,1.14e+09,,4e+08,,2.1e+07,,1.9e+10
World,1948,,1.27e+09,,5.9e+08,,2.4e+07,,2.1e+10
World,1949,,1.35e+09,,7.6e+08,,2.7e+07,,2.4e+10
World,1950,,1.44e+09,4.6e+10,9.3e+08,,3.1e+07,0.608695652,2.8e+10
World,1951,,1.62e+09,5.5e+10,1.1e+09,,4.2e+07,0.636363636,3.5e+10
World,1952,,1.78e+09,6.4e+10,1.2e+09,,4.6e+07,0.625,4e+10
World,1953,,1.95e+09,7.5e+10,1.27e+09,,5.3e+07,0.626666667,4.7e+10
World,1954,,2.06e+09,8.6e+10,1.37e+09,,5.9e+07,0.604651163,5.2e+10
World,1955,,2.29e+09,9.9e+10,1.61e+09,,6.8e+07,0.616161616,6.1e+10
World,1956,,2.54e+09,1.14e+11,1.8e+09,,7.7e+07,0.622807018,7.1e+10
World,1957,,2.84e+09,1.33e+11,1.96e+09,,8.6e+07,0.616541353,8.2e+10
World,1958,,2.93e+09,1.46e+11,2.04e+09,,8.8e+07,0.582191781,8.5e+10
World,1959,,3.09e+09,1.62e+11,2.35e+09,,9.8e+07,0.604938272,9.8e+10
World,1960,6600000,3.11e+09,1.84e+11,2.65e+09,,1.06e+08,0.592391304,1.09e+11
World,1961,6600000,3.12e+09,2.12e+11,3.08e+09,,1.11e+08,0.551886792,1.17e+11
World,1962,6600000,3.24e+09,2.43e+11,3.58e+09,,1.21e+08,0.534979424,1.3e+11
World,1963,6700000,3.43e+09,2.74e+11,3.97e+09,,1.35e+08,0.53649635,1.47e+11
World,1964,7100000,3.7e+09,3.06e+11,4.67e+09,,1.55e+08,0.558823529,1.71e+11
World,1965,7500000,4.1e+09,3.54e+11,5.9e+09,,1.77e+08,0.559322034,1.98e+11
World,1966,7800000,4.48e+09,3.97e+11,7.23e+09,,2e+08,0.576826196,2.29e+11
World,1967,8600000,5.28e+09,4.79e+11,8.42e+09,,2.33e+08,0.56993737,2.73e+11
World,1968,9074000,5.993e+09,5.78885e+11,1.0503e+10,,260277000,0.534513764,3.09422e+11
World,1969,9473000,6.704e+09,6.74973e+11,1.2286e+10,3970000,293230000,0.519871165,3.50899e+11
World,1970,9486000,7.004e+09,8.3993e+11,1.5087e+10,6083000,382954000,0.548237353,4.60481e+11
World,1971,9546000,7.054e+09,9.1407e+11,1.6125e+10,6673000,410919000,0.540589889,4.94137e+11
World,1972,9646000,7.209e+09,9.80766e+11,1.7801e+10,7284000,450136000,0.571061803,5.60078e+11
World,1973,9889000,7.52e+09,1.072599e+12,2.0408e+10,8223000,488514000,0.576342137,6.18184e+11
World,1974,9613000,7.375e+09,1.107532e+12,2.19e+10,8651000,514496000,0.592692581,6.56426e+11
World,1975,9683000,7.516e+09,1.17888e+12,2.227e+10,8680000,534024000,0.591480897,6.97285e+11
World,1976,9986000,7.84e+09,1.269815e+12,2.4571e+10,9336000,576421000,0.601475018,7.63762e+11
