Entity,Year,Prevalence of active tuberculosis (IHME 2016),Incidence of tuberculosis (IHME 2016),Prevalence of active and latent tuberculosis (IHME 2016),Prevalence of latent tuberculosis (IHME 2016)
World,1990,8016717.58,8540962.074,1394199342,1386182625
World,1991,7980379.27,8530311.753,1415768053,1407787674
World,1992,7967385.71,8545010.861,1438950885,1430983500
World,1993,7975021.2,8582255.486,1462572108,1454597087
World,1994,8002581,8643118.783,1486622477,1478619896
World,1995,8060777.67,8738155.736,1510553692,1502492914
World,1996,8172497.43,8764838.258,1535631639,1527459142
World,1997,8296000.39,8805789.691,1559950216,1551654215
World,1998,8434919.8,8865951.144,1583929416,1575494496
World,1999,8597909.41,8954183.576,1608387439,1599789530
World,2000,8798969.83,9085831.213,1634012143,1625213173
World,2001,8746812.34,9024396.576,1643576403,1634829591
World,2002,8715843.44,8984381.232,1653583675,1644867831
World,2003,8704209.64,8964656.809,1664487424,1655783214
World,2004,8707118.08,8959609.376,1675380329,1666673211
World,2005,8727991.14,8971608.803,1686543807,1677815816
World,2006,8806670.78,8913398.996,1704562368,1695755697
World,2007,8895302.53,8865909.686,1723405698,1714510396
World,2008,9004076.54,8835910.652,1743192962,1734188886
World,2009,9124274.21,8817218.218,1763128348,1754004074
World,2010,9259702.23,8813138.045,1783012419,1773752717
World,2011,9252002.61,8823360.669,1805226272,1795974270
World,2012,9255622.74,8845183.201,1827773987,1818518364
World,2013,9266759.12,8874885.269,1850192718,1840925959
World,2014,9291155.62,8914215.567,1872777572,1863486416
World,2015,9326951.55,8963718.75,1896061759,1886734808
World,2016,9367856.26,9019295.634,1918597038,1909229182
