Entity,Year,Arable land and permanent crops (Ausbuel et al. (2013)),Ausubel et al. (2013) Projection (Ausbuel et al. (2013))
World,1961,1380099710,
World,1962,1384854800,
World,1963,1394133810,
World,1964,1397691470,
World,1965,1403534130,
World,1966,1401574090,
World,1967,1407592070,
World,1968,1419553350,
World,1969,1438018830,
World,1970,1437086970,
World,1971,1435734560,
World,1972,1433978800,
World,1973,1441501300,
World,1974,1441611700,
World,1975,1441217300,
World,1976,1444101800,
World,1977,1441347300,
World,1978,1447115700,
World,1979,1450574100,
World,1980,1452360500,
World,1981,1450236000,
World,1982,1464215240,
World,1983,1467361240,
World,1984,1484970660,
World,1985,1500963000,
World,1986,1511473200,
World,1987,1517204000,
World,1988,1520087200,
World,1989,1523718200,
World,1990,1528387300,
World,1991,1532239200,
World,1992,1532576680,
World,1993,1533802100,
World,1994,1534637500,
World,1995,1535389300,
World,1996,1528739260,
World,1997,1534843120,
World,1998,1538512520,
World,1999,1540763490,
World,2000,1537452500,
World,2001,1536487910,
World,2002,1532929160,
World,2003,1540780240,
World,2004,1546707160,
World,2005,1554216620,
World,2006,1543801800,
World,2007,1545769320,
World,2008,1550169240,
World,2009,1549201230,
World,2010,1547464790,1546102828
World,2011,1560438670,1543010622
World,2012,1574172610,1539924601
World,2013,1576531910,1536844751
World,2014,1584563080,1533771062
World,2015,,1530703520
World,2016,,1527642113
World,2017,,1524586829
World,2018,,1521537655
World,2019,,1518494580
World,2020,,1515457590
World,2021,,1512426675
World,2022,,1509401822
World,2023,,1506383018
World,2024,,1503370252
World,2025,,1500363512
World,2026,,1497362785
World,2027,,1494368059
World,2028,,1491379323
World,2029,,1488396564
World,2030,,1485419771
World,2031,,1482448932
World,2032,,1479484034
World,2033,,1476525066
World,2034,,1473572016
World,2035,,1470624872
World,2036,,1467683622
World,2037,,1464748255
World,2038,,1461818758
World,2039,,1458895121
World,2040,,1455977330
World,2041,,1453065376
World,2042,,1450159245
World,2043,,1447258926
World,2044,,1444364409
World,2045,,1441475680
World,2046,,1438592728
World,2047,,1435715543
World,2048,,1432844112
World,2049,,1429978424
World,2050,,1427118467
World,2051,,1424264230
World,2052,,1421415701
World,2053,,1418572870
World,2054,,1415735724
World,2055,,1412904253
World,2056,,1410078444
World,2057,,1407258287
World,2058,,1404443771
World,2059,,1401634883
World,2060,,1398831614
