Entity,Year,Female labor force participation rate (OWID based on OECD 2017 and others)
Australia,1966,36.30611849
Australia,1967,37.19031799
Australia,1968,37.67964524
Australia,1969,38.09664113
Australia,1970,39.61307745
Australia,1971,39.95296859
Australia,1972,40.59495891
Australia,1973,41.40446876
Australia,1974,42.18645476
Australia,1975,43.03272974
Australia,1976,43.0288791
Australia,1977,44.16977433
Australia,1978,43.59894759
Australia,1979,43.58382756
Australia,1980,44.76602498
Australia,1981,44.74663142
Australia,1982,44.64201451
Australia,1983,44.66081804
Australia,1984,45.29952202
Australia,1985,46.27862498
Australia,1986,48.29482594
Australia,1987,48.93668585
Australia,1988,49.86272208
Australia,1989,51.22711288
Australia,1990,52.24520078
Australia,1991,51.97872113
Australia,1992,51.94029867
Australia,1993,51.70193342
Australia,1994,52.59618203
Australia,1995,53.60130491
Australia,1996,53.79092502
Australia,1997,53.58201578
Australia,1998,53.63817043
Australia,1999,53.62891083
Australia,2000,54.50879441
Australia,2001,55.04992873
Australia,2002,55.24182176
Australia,2003,55.91430779
Australia,2004,55.68748538
Australia,2005,56.97008421
Australia,2006,57.5199929
Australia,2007,58.07042537
Australia,2008,58.54853823
Australia,2009,58.74626212
Australia,2010,58.61361719
Australia,2011,58.86075013
Australia,2012,58.74380895
Australia,2013,58.63535966
Australia,2014,58.59803972
Australia,2015,59.03114498
Australia,2016,59.22896999
Austria,1994,48.64639976
Austria,1995,48.76654187
Austria,1996,48.26021297
Austria,1997,48.5278949
Austria,1998,48.5911154
Austria,1999,48.89111994
Austria,2000,48.96088437
Austria,2001,49.53005517
Austria,2002,50.53690521
Austria,2003,51.10625096
Austria,2004,50.3868812
Austria,2005,51.30365832
Austria,2006,51.98794605
Austria,2007,52.84946947
Austria,2008,53.38504745
Austria,2009,54.04694403
Austria,2010,54.15571516
Austria,2011,54.51210263
Austria,2012,55.00489568
Austria,2013,55.29341163
Austria,2014,55.30831245
Austria,2015,55.36055353
Austria,2016,55.9092339
Belgium,1983,36.29383246
Belgium,1984,36.07393862
Belgium,1985,36.46293808
Belgium,1986,36.94142821
Belgium,1987,36.55801165
Belgium,1988,36.44824317
Belgium,1989,36.20891851
Belgium,1990,36.55312875
Belgium,1991,38.008321
Belgium,1992,38.90030764
Belgium,1993,39.58079215
Belgium,1994,40.16460678
Belgium,1995,40.53455575
Belgium,1996,40.55567327
Belgium,1997,41.00958894
Belgium,1998,41.65880913
Belgium,1999,43.17087419
Belgium,2000,43.40970769
Belgium,2001,42.3475216
Belgium,2002,43.19801423
Belgium,2003,43.64698708
