Entity,Year,Number of people working in agriculture (GGDC 2017),Number of people working in mining (GGDC 2017),Number of people working in manufacturing (GGDC 2017),Number of people working in utilities (GGDC 2017),Number of people working in construction (GGDC 2017),"Number of people working in trade, restaurants and hotels (GGDC 2017)","Number of people working in transport, storage and communication (GGDC 2017)","Number of people working in finance, insurance, real estate and business services (GGDC 2017)",Number of people working in government services (GGDC 2017),"Number of people working in community, social and personal services (GGDC 2017)",Total number of people in all 10 sectors (GGDC 2017)
Argentina,1950,1799.56482915911,32.71936053017,1603.24866597811,39.26323263620,314.10586108959,889.96660642050,425.35168689215,203.83842125235,824.92121430142,410.89222777351,6543.87210603311
Argentina,1951,1835.18098506918,34.37387000436,1640.92708383160,42.43317650333,353.41725110353,879.72950459094,427.92568973265,204.06422314160,817.73587532078,411.47687052444,6647.26452982240
Argentina,1952,1730.61088566106,35.55356690697,1690.11746707231,49.16047511126,311.39098226807,932.21404369610,461.50838528203,218.99728486315,881.01042955534,441.72702155470,6752.29054197097
Argentina,1953,2029.76240560118,33.83808776110,1578.12448600909,52.20825425402,291.60674216280,903.63098522226,455.30227748350,209.73241260380,870.08487734376,434.68542454479,6858.97595298630
Argentina,1954,1889.31615358536,33.34185494088,1721.99745056554,57.66519795337,330.19712999194,913.84004321131,468.62304978832,213.77715011186,893.70401053535,444.88494049498,6967.34698117890
Argentina,1955,1842.57763802861,32.16811461216,1839.94429635162,61.05159518914,349.18705714603,933.91174530484,487.42079360682,214.82239393277,879.90220546893,436.44441946466,7077.43025910558
Argentina,1956,1788.83608830993,32.53114857884,1870.17729477377,69.68994363569,354.84225003175,938.77396468825,498.65939429730,223.72099048990,934.03892283226,461.63640821456,7172.90640585224
Argentina,1957,1723.62139348102,31.82209569351,1939.58033693973,74.23760031680,429.78377036273,989.64421504121,505.55874302488,222.66777373969,897.19889075157,455.55572822107,7269.67054757219
Argentina,1958,1677.51152957184,32.06435809850,2042.99899831195,74.61502542416,454.42198851112,998.56142823861,518.58526341676,224.68312676372,891.14441958552,453.15392168893,7367.74005961110
Argentina,1959,1724.75152971996,37.86425938916,1931.85646987761,82.98014989354,429.10893198709,949.11240673117,567.79078795658,243.48392459651,1011.64455831855,488.53953324179,7467.13255171197
Argentina,1960,1649.79475991665,45.40719522706,2050.89165108905,90.81439045413,469.20768401299,998.95829499540,575.15780620947,238.94989974445,967.01514976103,481.66903976706,7567.86587117729
Argentina,1961,1552.54176510179,53.40306522826,2087.51201456977,97.43548867810,475.30911692780,1112.90625820652,580.42314963871,240.44115112668,986.30193524065,477.63852127929,7663.91246599757
