Entity,Year,Oil (% electricity production) (World Bank (2014)),Renewables (% electricity output) (World Bank (2014)),Nuclear (% electricity production) (World Bank (2014)),Natural gas (% energy production) (World Bank (2014)),Coal (% electricity production) (World Bank (2014))
World,1990,11.19274428,19.36152187,16.91979945,14.73098697,37.18894086
World,1991,10.95814167,19.23294985,17.3073265,14.62494556,37.24246022
World,1992,10.68527362,19.15826213,17.30355126,14.60672362,37.5740902
World,1993,9.943810909,19.787379,17.4302075,14.71044512,37.50449668
World,1994,9.827215921,19.53734492,17.41505411,14.9170871,37.66903718
World,1995,9.353754754,19.83425132,17.51089409,15.17714297,37.4836899
World,1996,8.959333685,19.50401646,17.59277219,15.19198357,38.10419751
World,1997,8.759113053,19.38194755,17.05588364,15.99021742,38.15525226
World,1998,8.844513415,19.0355085,16.98434472,16.5423382,37.93320354
World,1999,8.385351429,18.66521701,17.09378418,17.44789049,37.75108642
World,2000,7.829309833,18.33247347,16.71270553,17.74630875,38.73310272
World,2001,7.42275363,17.8688251,16.88721571,18.58957095,38.55756064
World,2002,7.152082867,17.78813664,16.39317981,19.13288676,38.86012362
World,2003,6.93873199,17.37619532,15.66387848,19.41469928,39.95344654
World,2004,6.531022799,17.8054605,15.55963444,19.94309044,39.49523116
World,2005,6.176759048,17.95229947,15.07942138,20.17072655,39.95212161
World,2006,5.477992093,18.11280189,14.64396801,20.50155311,40.62285746
World,2007,5.386643547,17.87544809,13.67209537,21.20121567,41.25396144
World,2008,5.032827976,18.54967514,13.48448605,21.59814943,40.73217818
World,2009,4.686175118,19.32868062,13.35260783,21.92332517,40.10280133
World,2010,4.35551411,19.56337971,12.79869857,22.39714671,40.22285867
World,2011,4.70146845,19.9331194,11.61369575,21.97194578,41.10337279
World,2012,4.856559321,20.89085677,10.81918143,22.3969371,40.36533983
World,2013,4.392213917,21.66894032,10.58648789,21.52657668,41.15138644
World,2014,4.095108152,22.34902703,10.62408972,21.5848632,40.66473731
