Entity,Year,Gender wage gap (OECD 2017)
Australia,1975,21.6
Australia,1976,20.8
Australia,1977,18.4
Australia,1978,19.8
Australia,1979,20
Australia,1980,18.8
Australia,1981,18.3
Australia,1982,20.8
Australia,1983,19.2
Australia,1984,18.7
Australia,1985,19.6
Australia,1986,18.8
Australia,1987,18.5
Australia,1988,18.8
Australia,1989,18.6
Australia,1990,18.2
Australia,1991,16
Australia,1992,14.3
Australia,1993,13.2
Australia,1994,14.4
Australia,1995,14.5
Australia,1997,15.3
Australia,1998,13.2
Australia,1999,14.3
Australia,2000,17.2
Australia,2001,14.3
Australia,2002,15
Australia,2003,13
Australia,2004,14.4
Australia,2005,15.8
Australia,2006,16.7
Australia,2007,15.4
Australia,2008,11.9
Australia,2009,16.4
Australia,2010,14
Australia,2011,16
Australia,2012,13.8
Australia,2013,18
Australia,2014,15.4
Australia,2015,13
Australia,2016,14.3
Austria,2000,23.1
Austria,2001,22.8
Austria,2002,24.5
Austria,2003,21.1
Austria,2004,22.4
Austria,2005,22
Austria,2006,21.9
Austria,2007,21.6
Austria,2008,20.9
Austria,2009,19.4
Austria,2010,19.2
Austria,2011,18.6
Austria,2012,18.2
Austria,2013,18.1
Austria,2014,17.7
Austria,2015,17
Belgium,1999,15.2
Belgium,2000,13.6
Belgium,2001,13.2
Belgium,2002,11.6
Belgium,2003,15.2
Belgium,2004,11.8
Belgium,2005,11.5
Belgium,2006,10.3
Belgium,2007,9.9
Belgium,2008,8.9
Belgium,2009,7.5
Belgium,2010,7
Belgium,2011,5.8
Belgium,2012,6.4
Belgium,2013,5.9
Belgium,2014,3.3
Canada,1997,24.7
Canada,1998,24.9
Canada,1999,24
Canada,2000,23.9
Canada,2001,24.3
Canada,2002,24
Canada,2003,22.5
Canada,2004,22.7
Canada,2005,21.3
Canada,2006,21.1
Canada,2007,20.8
Canada,2008,20.5
Canada,2009,20.1
Canada,2010,19
Canada,2011,19.2
Canada,2012,19.5
Canada,2013,19.3
Canada,2014,19.2
Canada,2015,18.6
Chile,2000,0
Chile,2003,0
Chile,2006,4
Chile,2009,9.1
Chile,2011,16
Chile,2013,16.7
Chile,2015,21.1
Colombia,2007,1.3
Colombia,2008,1.7
Colombia,2009,3.4
Colombia,2010,6.4
Colombia,2011,3.5
Colombia,2012,8.2
Colombia,2013,7.1
Colombia,2014,9.6
Colombia,2015,11.1
Costa Rica,2010,0
Costa Rica,2011,4.6
Costa Rica,2012,0.6
Costa Rica,2013,0
Costa Rica,2014,5.1
Costa Rica,2015,3.7
Czech Republic,1996,18.3
