Entity,Year,Abortion rates
Africa,1994,33
Africa,1999,33
Africa,2004,33
Africa,2009,33
Africa,2014,34
Asia,1994,41
Asia,1999,37
Asia,2004,34
Asia,2009,34
Asia,2014,36
Caribbean,1994,60
Caribbean,1999,60
Caribbean,2004,59
Caribbean,2009,65
Caribbean,2014,65
Central America,1994,27
Central America,1999,28
Central America,2004,29
Central America,2009,32
Central America,2014,33
Developed countries,1994,36
Developed countries,1999,40
Developed countries,2004,34
Developed countries,2009,31
Developed countries,2014,27
Developing countries,1994,39
Developing countries,1999,36
Developing countries,2004,35
Developing countries,2009,35
Developing countries,2014,37
Eastern Africa,1994,32
Eastern Africa,1999,33
Eastern Africa,2004,34
Eastern Africa,2009,33
Eastern Africa,2014,34
Eastern Asia,1994,44
Eastern Asia,1999,38
Eastern Asia,2004,34
Eastern Asia,2009,34
Eastern Asia,2014,36
Eastern Europe,1994,88
Eastern Europe,1999,75
Eastern Europe,2004,61
Eastern Europe,2009,51
Eastern Europe,2014,42
Europe,1994,52
Europe,1999,45
Europe,2004,38
Europe,2009,34
Europe,2014,30
Latin America,1994,40
Latin America,1999,40
Latin America,2004,41
Latin America,2009,44
Latin America,2014,44
Middle Africa,1994,32
Middle Africa,1999,33
Middle Africa,2004,35
Middle Africa,2009,34
Middle Africa,2014,35
North America,1994,25
North America,1999,22
North America,2004,20
North America,2009,19
North America,2014,17
Northern Africa,1994,40
Northern Africa,1999,38
Northern Africa,2004,37
Northern Africa,2009,37
Northern Africa,2014,38
Northern Europe,1994,22
Northern Europe,1999,20
Northern Europe,2004,19
Northern Europe,2009,19
Northern Europe,2014,18
Oceania,1994,20
Oceania,1999,21
Oceania,2004,21
Oceania,2009,20
Oceania,2014,19
South America,1994,43
South America,1999,43
South America,2004,44
South America,2009,46
South America,2014,47
South and Central Asia,1994,36
South and Central Asia,1999,33
South and Central Asia,2004,32
South and Central Asia,2009,33
South and Central Asia,2014,37
Southeastern Asia,1994,46
Southeastern Asia,1999,42
Southeastern Asia,2004,38
Southeastern Asia,2009,36
Southeastern Asia,2014,35
Southern Africa,1994,32
Southern Africa,1999,32
Southern Africa,2004,34
Southern Africa,2009,33
Southern Africa,2014,35
Southern Europe,1994,38
Southern Europe,1999,34
Southern Europe,2004,29
Southern Europe,2009,27
Southern Europe,2014,26
Western Africa,1994,28
Western Africa,1999,29
Western Africa,2004,29
Western Africa,2009,29
Western Africa,2014,31
Western Asia,1994,46
Western Asia,1999,45
Western Asia,2004,43
Western Asia,2009,37
Western Asia,2014,35
Western Europe,1994,13
Western Europe,1999,13
Western Europe,2004,15
Western Europe,2009,18
Western Europe,2014,18
World,1994,40
World,1999,37
World,2004,35
World,2009,34
World,2014,35
