Entity,Year,Solar PV Cumulative Capacity (ITRPV (2016))
World,1976,0.3
World,1977,0.85
World,1978,1.8
World,1979,3.3
World,1980,6.5
World,1981,12.5
World,1982,20
World,1983,43
World,1984,67
World,1985,90
World,1986,120
World,1987,150
World,1988,175
World,1989,220
World,1990,270
World,1991,330
World,1992,400
World,1993,450
World,1994,500
World,1995,575
World,1996,700
World,1997,800
World,1998,975
World,1999,1250
World,2000,1500
World,2001,1750
World,2002,2300
World,2003,3000
World,2004,4300
World,2005,6000
World,2006,8500
World,2007,10300
World,2008,20000
World,2009,30000
World,2010,50000
World,2011,70000
World,2012,100500
World,2013,139000
World,2014,178000
World,2015,228000
World,2016,303000
