Entity,Year,People living in closed autocracies,People living in electoral autocracies,People living in electoral democracies,People living in liberal democracies,People living in countries with missing regime data,number_electdem_0,number_electdem_18,number_electdem_30,number_electdem_60,number_electdem_90,number_electdem_91plus,number_libdem_0,number_libdem_18,number_libdem_30,number_libdem_60,number_libdem_90,number_libdem_91plus
World,1789,,,,,,67,0,0,0,0,0,67,0,0,0,0,0
World,1790,,,,,,69,0,0,0,0,0,69,0,0,0,0,0
World,1791,,,,,,69,0,0,0,0,0,69,0,0,0,0,0
World,1792,,,,,,69,0,0,0,0,0,69,0,0,0,0,0
World,1793,,,,,,69,0,0,0,0,0,69,0,0,0,0,0
World,1794,,,,,,69,0,0,0,0,0,69,0,0,0,0,0
World,1795,,,,,,71,0,0,0,0,0,71,0,0,0,0,0
World,1796,,,,,,70,0,0,0,0,0,70,0,0,0,0,0
World,1797,,,,,,70,0,0,0,0,0,70,0,0,0,0,0
World,1798,,,,,,70,0,0,0,0,0,70,0,0,0,0,0
World,1799,,,,,,70,0,0,0,0,0,70,0,0,0,0,0
World,1800,805811988,22000000,0,0,156929163,71,0,0,0,0,0,71,0,0,0,0,0
World,1801,809728760,22309844,0,0,155589718,72,0,0,0,0,0,72,0,0,0,0,0
World,1802,812600666,22624318,0,0,155873754,74,0,0,0,0,0,74,0,0,0,0,0
World,1803,815500140,22943493,0,0,156166627,73,0,0,0,0,0,73,0,0,0,0,0
World,1804,818897125,23267444,0,0,155998671,74,0,0,0,0,0,74,0,0,0,0,0
World,1805,821852584,23596247,0,0,156309213,74,0,0,0,0,0,74,0,0,0,0,0
World,1806,824836486,23929977,0,0,156628604,74,0,0,0,0,0,74,0,0,0,0,0
World,1807,828738650,24268712,0,0,156067380,75,0,0,0,0,0,75,0,0,0,0,0
World,1808,831778975,24612534,0,0,156406004,74,0,0,0,0,0,74,0,0,0,0,0
World,1809,844464636,24961521,0,0,147137709,75,0,0,0,0,0,75,0,0,0,0,0
World,1810,850158239,25735756,0,0,146736202,75,0,0,0,0,0,75,0,0,0,0,0
World,1811,854698275,26528763,0,0,146260431,75,0,0,0,0,0,75,0,0,0,0,0
World,1812,859487315,27491242,0,0,146652579,75,0,0,0,0,0,75,0,0,0,0,0
World,1813,865618085,28634039,0,0,146191565,77,0,0,0,0,0,77,0,0,0,0,0
World,1814,870973493,29833433,0,0,146620366,77,0,0,0,0,0,77,0,0,0,0,0
World,1815,896309985,31092484,0,0,127183637,83,0,0,0,0,0,83,0,0,0,0,0
World,1816,901937287,32414425,0,0,127572801,83,0,0,0,0,0,83,0,0,0,0,0
World,1817,909326560,33802669,0,0,126317841,84,0,0,0,0,0,84,0,0,0,0,0
World,1818,915179892,35260822,0,0,126717838,84,0,0,0,0,0,84,0,0,0,0,0
World,1819,920188566,36581099,0,0,127988210,84,0,0,0,0,0,84,0,0,0,0,0
World,1820,925159712,37752758,0,0,130034952,83,0,0,0,0,0,83,0,0,0,0,0
World,1821,935074203,40020835,0,0,124236539,86,0,0,0,0,0,86,0,0,0,0,0
World,1822,940533946,40894941,0,0,124824896,86,0,0,0,0,0,86,0,0,0,0,0
World,1823,932899974,55376475,0,0,125238343,86,0,0,0,0,0,86,0,0,0,0,0
World,1824,946247840,43646032,0,0,130982297,85,0,0,0,0,0,85,0,0,0,0,0
World,1825,953151985,44379591,0,0,130811384,87,0,0,0,0,0,87,0,0,0,0,0
World,1826,963935697,45128383,0,0,126897108,88,0,0,0,0,0,88,0,0,0,0,0
World,1827,969914955,45892783,0,0,127877108,88,0,0,0,0,0,88,0,0,0,0,0
World,1828,975968585,46673172,0,0,128873665,88,0,0,0,0,0,88,0,0,0,0,0
World,1829,981555262,47455046,0,0,129888076,88,0,0,0,0,0,88,0,0,0,0,0
World,1830,988855635,47535918,0,0,130228306,90,0,0,0,0,0,90,0,0,0,0,0
World,1831,994363726,54386141,0,0,123516859,91,0,0,0,0,0,91,0,0,0,0,0
World,1832,994646111,59072867,0,0,124497320,92,0,0,0,0,0,92,0,0,0,0,0
World,1833,999876024,58305255,0,0,125493716,92,0,0,0,0,0,92,0,0,0,0,0
World,1834,1003476373,59211186,0,0,126507306,92,0,0,0,0,0,92,0,0,0,0,0
