Entity,Year,Number of published titles (Simons (2001))
Published English titles,1470,0
Published English titles,1471,0
Published English titles,1472,0
Published English titles,1473,0
Published English titles,1474,0
Published English titles,1475,0
Published English titles,1476,0
Published English titles,1477,14
Published English titles,1478,4
Published English titles,1479,7
Published English titles,1480,10.5
Published English titles,1481,14
Published English titles,1482,9
Published English titles,1483,34
Published English titles,1484,12
Published English titles,1485,9.5
Published English titles,1486,7
Published English titles,1487,8
Published English titles,1488,5
Published English titles,1489,9
Published English titles,1490,9
Published English titles,1491,9
Published English titles,1492,15
Published English titles,1493,15
Published English titles,1494,24
Published English titles,1495,33.5
Published English titles,1496,43
Published English titles,1497,32
Published English titles,1498,32
Published English titles,1499,45
Published English titles,1500,31.5
Published English titles,1501,18
Published English titles,1502,37
Published English titles,1503,28
Published English titles,1504,26
Published English titles,1505,32.5
Published English titles,1506,39
Published English titles,1507,34
Published English titles,1508,64
Published English titles,1509,64
Published English titles,1510,55
Published English titles,1511,46
Published English titles,1512,40
Published English titles,1513,38
Published English titles,1514,36
Published English titles,1515,45
Published English titles,1516,54
Published English titles,1517,67
Published English titles,1518,69
Published English titles,1519,55
Published English titles,1520,67
Published English titles,1521,79
Published English titles,1522,56
Published English titles,1523,62
Published English titles,1524,41
Published English titles,1525,64.5
Published English titles,1526,88
Published English titles,1527,99
Published English titles,1528,100
Published English titles,1529,73
Published English titles,1530,89
Published English titles,1531,105
Published English titles,1532,95
Published English titles,1533,119
Published English titles,1534,119
Published English titles,1535,104.5
Published English titles,1536,90
Published English titles,1537,84
Published English titles,1538,134
Published English titles,1539,84
Published English titles,1540,74.5
Published English titles,1541,65
Published English titles,1542,101
Published English titles,1543,112
Published English titles,1544,107
Published English titles,1545,117.5
Published English titles,1546,128
Published English titles,1547,146
Published English titles,1548,266
Published English titles,1549,178
Published English titles,1550,159
Published English titles,1551,140
Published English titles,1552,149
Published English titles,1553,182
Published English titles,1554,145
Published English titles,1555,170
Published English titles,1556,195
Published English titles,1557,115
Published English titles,1558,116
Published English titles,1559,123
Published English titles,1560,135.5
Published English titles,1561,148
Published English titles,1562,164
Published English titles,1563,157
Published English titles,1564,97
Published English titles,1565,143.5
Published English titles,1566,190
Published English titles,1567,171
Published English titles,1568,127
Published English titles,1569,160
Published English titles,1570,157.5
Published English titles,1571,155
Published English titles,1572,182
Published English titles,1573,182
Published English titles,1574,191
Published English titles,1575,184.5
Published English titles,1576,178
Published English titles,1577,215
Published English titles,1578,220
Published English titles,1579,269
Published English titles,1580,282
Published English titles,1581,295
Published English titles,1582,219
Published English titles,1583,260
Published English titles,1584,289
Published English titles,1585,266
Published English titles,1586,243
Published English titles,1587,250
Published English titles,1588,257
Published English titles,1589,309
Published English titles,1590,306.5
Published English titles,1591,304
Published English titles,1592,311
Published English titles,1593,216
Published English titles,1594,269
Published English titles,1595,295
Published English titles,1596,321
Published English titles,1597,288
Published English titles,1598,302
Published English titles,1599,338
Published English titles,1600,298.5
Published English titles,1601,259
Published English titles,1602,339
Published English titles,1603,449
Published English titles,1604,428
Published English titles,1605,419.5
Published English titles,1606,411
Published English titles,1607,468
Published English titles,1608,423
Published English titles,1609,478
Published English titles,1610,448.5
Published English titles,1611,419
Published English titles,1612,467
Published English titles,1613,528
Published English titles,1614,467
Published English titles,1615,480
Published English titles,1616,493
Published English titles,1617,448
Published English titles,1618,556
Published English titles,1619,521
Published English titles,1620,554.5
Published English titles,1621,588
Published English titles,1622,614
Published English titles,1623,585
Published English titles,1624,627
Published English titles,1625,543
Published English titles,1626,459
Published English titles,1627,500
Published English titles,1628,559
Published English titles,1629,531
Published English titles,1630,591
Published English titles,1631,651
Published English titles,1632,586
Published English titles,1633,669
Published English titles,1634,595
Published English titles,1635,572
Published English titles,1636,549
Published English titles,1637,599
Published English titles,1638,694
Published English titles,1639,627
Published English titles,1640,904
Published English titles,1641,2464
Published English titles,1642,4279
Published English titles,1643,2244
Published English titles,1644,1441
Published English titles,1645,1458.5
Published English titles,1646,1476
Published English titles,1647,2003
Published English titles,1648,2537
Published English titles,1649,1843
Published English titles,1650,1496.5
Published English titles,1651,1150
Published English titles,1652,1197
Published English titles,1653,1404
Published English titles,1654,1297
Published English titles,1655,1251
Published English titles,1656,1205
Published English titles,1657,1225
Published English titles,1658,1279
Published English titles,1659,2080
Published English titles,1660,1876
Published English titles,1661,1672
Published English titles,1662,1255
Published English titles,1663,1289
Published English titles,1664,1042
Published English titles,1665,882.5
Published English titles,1666,723
Published English titles,1667,741
Published English titles,1668,787
Published English titles,1669,793
Published English titles,1670,923.5
Published English titles,1671,1054
Published English titles,1672,1225
Published English titles,1673,1121
Published English titles,1674,1521
Published English titles,1675,1328.5
Published English titles,1676,1136
Published English titles,1677,1153
Published English titles,1678,1324
Published English titles,1679,2015
Published English titles,1680,2114.5
Published English titles,1681,2214
Published English titles,1682,2037
Published English titles,1683,1907
Published English titles,1684,1949
Published English titles,1685,1621.5
Published English titles,1686,1294
Published English titles,1687,1399
Published English titles,1688,2295
Published English titles,1689,2906
Published English titles,1690,2365
Published English titles,1691,1824
Published English titles,1692,1734
Published English titles,1693,1652
Published English titles,1694,1527
Published English titles,1695,1860.5
Published English titles,1696,2194
Published English titles,1697,1703
Published English titles,1698,1798
Published English titles,1699,1787
Published English titles,1700,2118.5
Published English titles,1701,2450
Published English titles,1702,2249
Published English titles,1703,1920
Published English titles,1704,2168
Published English titles,1705,2046
Published English titles,1706,1924
Published English titles,1707,2202
Published English titles,1708,2059
Published English titles,1709,2145
Published English titles,1710,2343.5
Published English titles,1711,2542
Published English titles,1712,2512
Published English titles,1713,2287
Published English titles,1714,2712
Published English titles,1715,2484.5
Published English titles,1716,2257
Published English titles,1717,2136
Published English titles,1718,2026
Published English titles,1719,2052
Published English titles,1720,2115.5
Published English titles,1721,2179
Published English titles,1722,1969
Published English titles,1723,1747
Published English titles,1724,1857
Published English titles,1725,1995.5
Published English titles,1726,2134
Published English titles,1727,2241
Published English titles,1728,2111
Published English titles,1729,2007
Published English titles,1730,1998
Published English titles,1731,1989
Published English titles,1732,2190
Published English titles,1733,2173
Published English titles,1734,1925
Published English titles,1735,2050
Published English titles,1736,2175
Published English titles,1737,1900
Published English titles,1738,1860
Published English titles,1739,2274
Published English titles,1740,2224
Published English titles,1741,2174
Published English titles,1742,2195
Published English titles,1743,2070
Published English titles,1744,2023
Published English titles,1745,2110
Published English titles,1746,2197
Published English titles,1747,2238
Published English titles,1748,2469
Published English titles,1749,2467
Published English titles,1750,2399.5
Published English titles,1751,2332
Published English titles,1752,2075
Published English titles,1753,2568
Published English titles,1754,2334
Published English titles,1755,2556.5
Published English titles,1756,2779
Published English titles,1757,2561
Published English titles,1758,2528
Published English titles,1759,2543
Published English titles,1760,2738.5
Published English titles,1761,2934
Published English titles,1762,2801
Published English titles,1763,2757
Published English titles,1764,2708
Published English titles,1765,2948.5
Published English titles,1766,3189
Published English titles,1767,3172
Published English titles,1768,3377
Published English titles,1769,3141
Published English titles,1770,3069
Published English titles,1771,2997
Published English titles,1772,3249
Published English titles,1773,3406
Published English titles,1774,4018
Published English titles,1775,4014
Published English titles,1776,4010
Published English titles,1777,4003
Published English titles,1778,3444
Published English titles,1779,3489
Published English titles,1780,3465.5
Published English titles,1781,3442
Published English titles,1782,3615
Published English titles,1783,4013
Published English titles,1784,4281
