Entity,Year,Share of Revenue from Income tax (Flora (1983) and ICTD (2016))
Austria,1905,4.1999998
Austria,1925,14.8
Austria,1926,13.9
Austria,1927,14.4
Austria,1928,14
Austria,1955,17.799999
Austria,1956,18.4
Austria,1957,19.799999
Austria,1958,18.700001
Austria,1959,18.700001
Austria,1960,18.5
Austria,1961,19.299999
Austria,1962,20.1
Austria,1963,20.4
Austria,1964,20.700001
Austria,1965,21.299999
Austria,1966,22.299999
Austria,1967,22.700001
Austria,1968,21.6
Austria,1969,21.5
Austria,1970,22.5
Austria,1971,22.9
Austria,1972,23.6
Austria,1973,26.9
Austria,1974,27.299999
Austria,1975,25
Austria,1980,29.27
Austria,1981,29.540001
Austria,1982,28.73
Austria,1983,28.1
Austria,1984,28.190001
Austria,1985,29.040001
Austria,1986,29.629999
Austria,1987,28.809999
Austria,1988,28.42
Austria,1989,26.85
Austria,1990,28.190001
Austria,1991,29.17
Austria,1992,29.790001
Austria,1993,30.15
Austria,1994,28.65
Austria,1995,31.23
Austria,1996,32.639999
Austria,1997,35.59
Austria,1998,36.310001
Austria,1999,35.209999
Austria,2000,35.25
Austria,2001,37.740002
Austria,2002,35.639999
Austria,2003,35.380001
Austria,2004,35.25
Austria,2005,33.529999
Austria,2006,34.43
Austria,2007,35.630001
Austria,2008,36.939999
Austria,2009,33.18
Austria,2010,33.799999
Austria,2011,34.720001
Austria,2012,35.32
Austria,2013,35.84
Belgium,1925,9.3999996
Belgium,1936,2.2
Belgium,1938,8.3999996
Belgium,1950,7.9000001
Belgium,1951,27.5
Belgium,1952,29.4
Belgium,1953,29.700001
Belgium,1954,29.299999
Belgium,1957,30.1
Belgium,1958,30
Belgium,1959,28.799999
Belgium,1960,29.200001
Belgium,1961,28
Belgium,1962,30.6
Belgium,1965,29.1
Belgium,1966,30.4
Belgium,1967,30.700001
Belgium,1968,31.299999
Belgium,1969,32.299999
Belgium,1970,33.299999
Belgium,1971,34.299999
Belgium,1972,36.700001
Belgium,1973,38
Belgium,1974,40.5
Belgium,1975,44.200001
Belgium,1985,52.23
Belgium,1986,52.84
Belgium,1987,52.389999
Belgium,1988,51.419998
Belgium,1989,49.110001
Belgium,1990,48.93
Belgium,1991,48.150002
Belgium,1992,47.349998
Belgium,1993,48.16
Belgium,1994,48.59
Belgium,1995,48.669998
Belgium,1996,47.330002
Belgium,1997,47.779999
Belgium,1998,48.77
Belgium,1999,47.43
Belgium,2000,48.189999
Belgium,2001,48.580002
Belgium,2002,48.02
Belgium,2003,47.669998
Belgium,2004,47.380001
Belgium,2005,45.299999
Belgium,2006,44.380001
Belgium,2007,44.200001
Belgium,2008,44.400002
Belgium,2009,42.18
Belgium,2010,41.939999
Belgium,2011,42.110001
Belgium,2012,41.700001
Belgium,2013,42.400002
Denmark,1872,9
Denmark,1882,11.9
Denmark,1887,12.9
Denmark,1897,15
Denmark,1905,24.5
Denmark,1906,21.6
Denmark,1914,33.599998
Denmark,1918,58.200001
Denmark,1924,42.299999
Denmark,1926,42.700001
Denmark,1929,36.700001
Denmark,1932,41.5
Denmark,1939,46.799999
Denmark,1941,50.099998
Denmark,1948,43.799999
Denmark,1951,44.099998
Denmark,1952,44.799999
Denmark,1953,44.700001
Denmark,1954,44.599998
Denmark,1955,45.900002
Denmark,1956,46.099998
Denmark,1957,45.700001
Denmark,1958,44.700001
Denmark,1959,43.900002
Denmark,1960,43.099998
Denmark,1961,44.099998
Denmark,1962,45.400002
Denmark,1963,44.200001
Denmark,1964,44.599998
Denmark,1965,45.799999
Denmark,1966,47.200001
Denmark,1967,47.700001
Denmark,1968,48.599998
Denmark,1969,46.5
Denmark,1970,53.200001
Denmark,1971,56.099998
Denmark,1972,55
Denmark,1973,53.099998
Denmark,1974,57.900002
Denmark,1975,55.5
Denmark,1990,52.630001
Denmark,1991,53.110001
Denmark,1992,52.77
Denmark,1993,52.599998
Denmark,1994,53.810001
Denmark,1995,55.029999
Denmark,1996,54.439999
Denmark,1997,54.580002
Denmark,1998,53.5
Denmark,1999,53.810001
Denmark,2000,54.93
Denmark,2001,53.560001
Denmark,2002,53.419998
Denmark,2003,53.709999
Denmark,2004,53.52
Denmark,2005,55.080002
Denmark,2006,53.889999
Denmark,2007,53.32
Denmark,2008,53.380001
Denmark,2009,53.400002
Denmark,2010,53.290001
Denmark,2011,52.810001
Denmark,2012,53.700001
Denmark,2013,55.68
Finland,1961,36.200001
Finland,1962,33.799999
Finland,1963,42.099998
Finland,1964,43
Finland,1965,43.700001
Finland,1966,45.200001
Finland,1967,43.099998
Finland,1968,43
Finland,1969,45.200001
Finland,1970,46.799999
Finland,1971,47.400002
Finland,1972,49.400002
Finland,1973,51.700001
Finland,1974,54.700001
Finland,1975,53.200001
Finland,1980,38.91
Finland,1981,40.470001
Finland,1982,39.599998
Finland,1983,39.150002
Finland,1984,38.740002
Finland,1985,38.939999
Finland,1986,40.119999
Finland,1987,37.27
Finland,1988,39.200001
Finland,1989,38.990002
Finland,1990,39.93
Finland,1991,38.98
Finland,1992,36.630001
Finland,1993,34.77
Finland,1994,38.240002
Finland,1995,38.84
Finland,1996,41.060001
Finland,1997,40.560001
Finland,1998,42.23
Finland,1999,42.450001
Finland,2000,45.599998
Finland,2001,43.310001
Finland,2002,42.73
Finland,2003,40.490002
Finland,2004,39.970001
Finland,2005,39.860001
Finland,2006,39.529999
Finland,2007,40.209999
Finland,2008,39.200001
Finland,2009,36.560001
Finland,2010,36.18
Finland,2011,36.110001
Finland,2012,35.32
France,1920,9.6999998
France,1925,21.5
France,1930,17.5
France,1935,11.7
France,1940,20.9
France,1945,37.799999
