Entity,Year,World regions according to Maddison (Maddison (2010))
Afghanistan,2010,East Asia Maddison definition
Albania,2010,Eastern Europe Maddison definition
Algeria,2010,Africa Maddison definition
American Samoa,2010,East Asia Maddison definition
Andorra,2010,Western Europe Maddison definition
Angola,2010,Africa Maddison definition
Anguilla,2010,Latin America Maddison definition
Antigua and Barbuda,2010,Latin America Maddison definition
Argentina,2010,Latin America Maddison definition
Armenia,2010,Eastern Europe Maddison definition
Aruba,2010,Latin America Maddison definition
Australia,2010,Western Offshoots Maddison definition
Austria,2010,Western Europe Maddison definition
Azerbaijan,2010,Eastern Europe Maddison definition
Bahamas,2010,Latin America Maddison definition
Bahrain,2010,Western Asia Maddison definition
Bangladesh,2010,East Asia Maddison definition
Barbados,2010,Latin America Maddison definition
Belarus,2010,Eastern Europe Maddison definition
Belgium,2010,Western Europe Maddison definition
Belize,2010,Latin America Maddison definition
Benin,2010,Africa Maddison definition
Bermuda,2010,Latin America Maddison definition
Bhutan,2010,East Asia Maddison definition
Bolivia,2010,Latin America Maddison definition
Bosnia and Herzegovina,2010,Eastern Europe Maddison definition
Botswana,2010,Africa Maddison definition
Brazil,2010,Latin America Maddison definition
British Virgin Islands,2010,Latin America Maddison definition
Brunei,2010,East Asia Maddison definition
Bulgaria,2010,Eastern Europe Maddison definition
Burkina Faso,2010,Africa Maddison definition
Burundi,2010,Africa Maddison definition
Cambodia,2010,East Asia Maddison definition
Cameroon,2010,Africa Maddison definition
Canada,2010,Western Offshoots Maddison definition
Cape Verde,2010,Africa Maddison definition
Cayman Islands,2010,Latin America Maddison definition
Central African Republic,2010,Africa Maddison definition
Chad,2010,Africa Maddison definition
Chile,2010,Latin America Maddison definition
China,2010,East Asia Maddison definition
Colombia,2010,Latin America Maddison definition
Comoros,2010,Africa Maddison definition
Congo,2010,Africa Maddison definition
Cook Islands,2010,East Asia Maddison definition
Costa Rica,2010,Latin America Maddison definition
Cote d'Ivoire,2010,Africa Maddison definition
Croatia,2010,Eastern Europe Maddison definition
Cuba,2010,Latin America Maddison definition
Cyprus,2010,Western Europe Maddison definition
Czech Republic,2010,Eastern Europe Maddison definition
Czechoslovakia,2010,Eastern Europe Maddison definition
Democratic Republic of Congo,2010,Africa Maddison definition
Denmark,2010,Western Europe Maddison definition
Djibouti,2010,Africa Maddison definition
Dominica,2010,Latin America Maddison definition
Dominican Republic,2010,Latin America Maddison definition
Ecuador,2010,Latin America Maddison definition
Egypt,2010,Africa Maddison definition
El Salvador,2010,Latin America Maddison definition
Equatorial Guinea,2010,Africa Maddison definition
Eritrea,2010,Africa Maddison definition
Estonia,2010,Eastern Europe Maddison definition
Ethiopia,2010,Africa Maddison definition
Faeroe Islands,2010,Western Europe Maddison definition
Fiji,2010,East Asia Maddison definition
Finland,2010,Western Europe Maddison definition
France,2010,Western Europe Maddison definition
French Polynesia,2010,East Asia Maddison definition
Gabon,2010,Africa Maddison definition
Gambia,2010,Africa Maddison definition
Georgia,2010,Eastern Europe Maddison definition
Germany,2010,Western Europe Maddison definition
Ghana,2010,Africa Maddison definition
Gibraltar,2010,Western Europe Maddison definition
Greece,2010,Western Europe Maddison definition
Greenland,2010,Western Europe Maddison definition
Grenada,2010,Latin America Maddison definition
Guam,2010,East Asia Maddison definition
Guatemala,2010,Latin America Maddison definition
Guernsey,2010,Western Europe Maddison definition
Guinea,2010,Africa Maddison definition
Guinea-Bissau,2010,Africa Maddison definition
Guyana,2010,Latin America Maddison definition
