Entity,Year,Land wealth (% of national income),Housing wealth (% of national income),Other domestic wealth (% of national income),Net foreign wealth (% of national income),Total wealth (as % of national income),Other domestic wealth plus net foreign wealth (as % of national income)
Canada,1860,195.3981615,71.57441812,157.4637199,-40,384.4362994,117.4637199
Canada,1890,125.6830601,93.52159375,298.2816849,-128.7013301,388.7850087,169.5803548
Canada,1910,101.1351303,108.9047862,318.8610022,-115.5374935,413.3634252,203.3235087
Canada,1920,66.26532955,128.7382559,354.7879985,-115.8991663,433.8924176,238.8888322
Canada,1950,15.29588965,133.1642158,216.8417298,-32.9977407,332.3040945,183.8439891
Canada,1970,16.83250959,121.2510171,183.8463915,-36.94733104,284.9825872,146.8990605
Canada,1980,15.02113507,128.1329986,179.0969405,-44.61273562,277.6383385,134.4842049
Canada,1990,10.88013054,150.8540961,182.4288618,-44.87068726,299.2924011,137.5581745
Canada,2000,11.89123622,171.6087507,188.1887181,-10.24872074,361.4399843,177.9399973
Canada,2010,14.24535693,207.9292932,195.0333144,-12.23512739,404.9728371,182.798187
France,1700,478.0591862,95.61183724,143.4177559,0,717.0887793,143.4177559
France,1750,436.6809297,134.363363,134.363363,1.679542037,707.0871977,136.042905
France,1780,389.9931508,129.9977169,185.7110242,3.52850946,709.2304014,189.2395337
France,1810,336.6700575,127.7024356,263.5313899,5.804656164,733.7085392,269.336046
France,1850,333.4965711,150.7902465,183.4231141,52.65735334,720.367285,236.0804675
France,1880,272.724561,159.7995474,179.8277574,106.5330316,718.8848975,286.360789
France,1910,141.7945843,168.0199149,248.696144,122.6800223,681.1906655,371.3761663
France,1920,60,90,134.3402958,6.331877103,290.6721729,140.6721729
France,1950,45,85,144.4164707,3.330547433,277.7470181,147.7470181
France,1970,43.48778195,122.0536377,195.0392297,14.21206258,374.7927119,209.2512923
France,1990,15.79819545,177.7440133,176.4771785,10.04828314,380.0676704,186.5254616
France,2000,13.04500337,285.3420822,217.1636575,-0.275898988,515.2748441,216.8877585
France,2010,12.16392588,371.4644561,237.4839406,-12.69724686,608.4150758,224.7866938
Germany,1870,281.6328448,82.82973447,319.9439732,6.410512983,690.8170654,326.3544862
Germany,1890,174.2369595,100.5067083,303.4437116,47.47686674,625.6642461,350.9205783
Germany,1910,144.4063974,120.3194222,339.6198234,44.10692401,648.452567,383.7267474
Germany,1930,48.10224506,63.89285061,253.2151992,-11.12659763,354.0836972,242.0886016
Germany,1950,27.41280454,60.45407305,146.3690836,-0.851750376,233.3842108,145.5173332
Germany,1970,13.47623509,127.8584945,164.4384677,7.566319093,313.3395164,172.0047868
Germany,1990,4.679166236,181.3362175,158.0898725,11.01126942,355.1165257,169.1011419
Germany,2000,3.21159574,212.9021288,153.6466722,17.75637327,387.51677,171.4030454
Germany,2010,3.361555834,231.2886881,140.9178056,38.73830025,414.3063498,179.6561059
Great Britain,1700,413.7931034,124.137931,165.5172414,0,703.4482759,165.5172414
Great Britain,1750,359.9037199,106.9984032,214.2546672,4.863563783,686.0203541,219.118231
Great Britain,1810,308.6162448,112.224089,256.5322115,10,687.3725453,266.5322115
Great Britain,1850,243.0131399,104.1484885,307.9172705,39.244358,694.323257,347.1616285
Great Britain,1880,171.8625662,121.5968331,278.5595057,100.0176768,672.0365818,378.5771825
Great Britain,1910,32.96934061,145.2676829,324.7029177,176.3964721,679.3364133,501.0993898
Great Britain,1920,37.85020011,70.53554412,95.28353567,84.04802744,287.7173073,179.3315631
Great Britain,1950,17.01841356,93.63012926,129.5490926,-5.538412849,234.6592225,124.0106797
Great Britain,1970,10.34229783,124.1815612,192.855875,5.719703606,333.0994376,198.5755786
Great Britain,1990,5.948009409,185.6059493,274.3180739,-3.591813254,462.2802194,270.7262607
Great Britain,2010,3.470776499,299.5970434,239.8783053,-20.39129772,522.5548274,219.4870075
US,1770,165.7486741,82.87433703,77.15886551,-12.53007218,313.2518044,64.62879333
US,1810,120.3703704,62.5,121.2962963,-14.81481481,289.3518519,106.4814815
US,1850,121.7574989,60.8365019,166.7089142,-9.294465568,340.0084495,157.4144487
US,1880,88.67881879,110.4080658,238.4344399,-15.46495957,422.0563649,222.9694804
US,1910,101.9430922,104.52393,290.0216452,-6.774699165,489.7139682,283.246946
US,1920,59.10797211,102.5487709,258.2094986,12.40531342,432.271555,270.614812
US,1930,46.45888761,151.2243448,317.8639564,13.20553781,528.7527266,331.0694942
US,1950,23.73853732,145.6339523,205.0533346,5.357332323,379.7831565,210.4106669
US,1970,19.05229223,150.6082611,225.8779554,4.608742387,400.1472511,230.4866978
US,1990,8.504567953,174.3218014,244.3573399,-8.205475752,418.9782335,236.1518641
US,2010,11.56752725,182.4866969,262.1292517,-25.42578202,430.7576938,236.7034697
