Entity,Year,"Average weekly hours worked (women, 15+) (OECD Labor Force Statistics (2017))"
Australia,2001,31.06268462
Australia,2002,30.96412088
Australia,2003,30.9294885
Australia,2004,31.10746257
Australia,2005,31.10918742
Australia,2006,31.14025138
Australia,2007,31.34746626
Australia,2008,31.40100539
Australia,2009,31.13646385
Australia,2010,31.0412815
Australia,2011,31.06570513
Australia,2012,31.12021447
Australia,2013,31.10970448
Australia,2014,30.94227787
Australia,2015,31.18071945
Australia,2016,31.07760604
Austria,1995,35.91886665
Austria,1996,35.97178624
Austria,1997,36.02361386
Austria,1998,35.53993821
Austria,1999,35.11949311
Austria,2000,35.06067477
Austria,2001,34.69243313
Austria,2002,34.37385186
Austria,2003,34.21475705
Austria,2004,34.35522336
Austria,2005,33.92962364
Austria,2006,33.74784675
Austria,2007,33.58852309
Austria,2008,33.40414382
Austria,2009,32.96922196
Austria,2010,32.79332521
Austria,2011,32.69910773
Austria,2012,32.58932538
Austria,2013,32.39070854
Austria,2014,31.94080189
Austria,2015,31.89737989
Austria,2016,31.90015174
Belgium,1983,36.60474492
Belgium,1984,36.19082839
Belgium,1985,35.78529303
Belgium,1986,35.65107193
Belgium,1987,34.59060639
Belgium,1988,34.63115876
Belgium,1989,34.30830826
Belgium,1990,34.36429248
Belgium,1991,33.81920139
Belgium,1992,33.82082863
Belgium,1993,33.2421316
Belgium,1994,33.27541867
Belgium,1995,33.54215809
Belgium,1996,33.26324592
Belgium,1997,33.25384913
Belgium,1998,33.61750745
Belgium,1999,32.62224843
Belgium,2000,32.63667954
Belgium,2001,32.77053033
Belgium,2002,33.14574615
Belgium,2003,32.76830819
Belgium,2004,32.39967918
Belgium,2005,32.64781196
Belgium,2006,32.37147899
Belgium,2007,32.82915579
Belgium,2008,32.60998889
Belgium,2009,32.7642313
Belgium,2010,32.83027491
Belgium,2011,32.64874618
Belgium,2012,32.76831482
Belgium,2013,33.03613382
Belgium,2014,33.15815497
Belgium,2015,33.21133958
Belgium,2016,33.17303557
Brazil,2001,35.99063224
Brazil,2002,35.49092993
Brazil,2003,35.43337789
Brazil,2004,35.4073045
Brazil,2005,34.92659011
Brazil,2006,34.87440045
Brazil,2007,35.22774743
Brazil,2008,35.44535786
Brazil,2009,35.50390399
Brazil,2011,36.14000378
Brazil,2012,36.07471
Brazil,2013,35.69126352
Brazil,2014,35.41551107
Brazil,2015,34.88661254
Bulgaria,2000,40.04154242
Bulgaria,2001,40.41433193
Bulgaria,2002,40.42302837
Bulgaria,2003,40.3275584
Bulgaria,2004,40.55160996
Bulgaria,2005,40.59715721
Bulgaria,2006,40.82388831
Bulgaria,2007,41.00089023
Bulgaria,2008,41.03955162
Bulgaria,2009,40.87604954
Bulgaria,2010,40.78617455
Bulgaria,2011,40.53318188
Bulgaria,2012,40.37289971
Bulgaria,2013,40.35221355
Bulgaria,2014,40.44590174
Bulgaria,2015,40.44132857
Bulgaria,2016,40.50794463
Chile,1996,43.92659484
Chile,1997,43.47092033
Chile,1998,43.82666689
Chile,1999,43.65580426
Chile,2000,43.75136775
Chile,2001,43.77382144
Chile,2002,43.95371498
Chile,2003,43.52849987
Chile,2004,43.03759748
Chile,2005,41.65375589
Chile,2006,41.64254489
Chile,2007,41.32662844
Chile,2008,41.08529362
Chile,2009,40.39809729
Chile,2010,38.7814169
Chile,2011,38.78330434
Chile,2012,38.95289866
Chile,2013,38.94532396
Chile,2014,38.58713478
Chile,2015,38.36565261
Chile,2016,38.13659251
Colombia,2001,41.15246118
Colombia,2002,40.37967801
Colombia,2003,41.79968385
Colombia,2004,41.7419482
Colombia,2005,42.20021128
Colombia,2007,43.10192097
Colombia,2008,42.41503804
Colombia,2009,41.48915201
Colombia,2010,41.17091655
Colombia,2011,40.65004388
Colombia,2012,40.17968917
Colombia,2013,40.00145734
Colombia,2014,40.12218109
Colombia,2015,39.90491771
Colombia,2016,39.76348536
Costa Rica,2010,38.38797944
Costa Rica,2011,39.9393086
Costa Rica,2012,37.80937881
Costa Rica,2013,36.48356493
Costa Rica,2014,36.33454771
Costa Rica,2015,37.0180403
Costa Rica,2016,38.34402465
Croatia,2002,39.69844657
Croatia,2003,39.56392346
Croatia,2004,39.496511
Croatia,2005,39.03276273
Croatia,2006,38.89265561
Croatia,2007,39.19084849
Croatia,2008,39.2150283
Croatia,2009,39.23986192
Croatia,2010,39.0125637
Croatia,2011,38.84762769
Croatia,2012,39.10233827
Croatia,2013,39.01428707
Croatia,2014,39.11683917
Croatia,2015,38.6134009
Croatia,2016,38.55511351
Cyprus,2000,37.81823736
Cyprus,2001,37.71674294
Cyprus,2002,37.9729232
Cyprus,2003,37.64434094
Cyprus,2004,37.81637494
Cyprus,2005,37.4948721
Cyprus,2006,37.61629423
Cyprus,2007,37.9164226
Cyprus,2008,37.8737634
Cyprus,2009,37.81184879
Cyprus,2010,37.97667572
Cyprus,2011,37.9821536
Cyprus,2012,38.07648307
Cyprus,2013,37.84005664
Cyprus,2014,37.39477496
Cyprus,2015,37.46641812
Cyprus,2016,37.34914979
Czech Republic,2002,39.51136952
Czech Republic,2003,39.59336209
Czech Republic,2005,39.5753095
Czech Republic,2006,39.47538551
Czech Republic,2007,39.44223066
Czech Republic,2008,39.42394583
Czech Republic,2009,39.15195389
Czech Republic,2010,38.9992224
Czech Republic,2011,38.98508271
Czech Republic,2012,38.81071227
Czech Republic,2013,38.45322548
Czech Republic,2014,38.45243005
Czech Republic,2015,38.56505686
Czech Republic,2016,38.40761676
Denmark,1983,32.09021071
Denmark,1984,31.57361503
Denmark,1985,31.84222757
Denmark,1986,32.48199993
Denmark,1987,32.0940398
Denmark,1988,32.12191315
Denmark,1989,31.90127407
Denmark,1990,32.07258715
Denmark,1991,31.79351797
Denmark,1992,31.85051029
Denmark,1993,31.69023417
Denmark,1994,32.77064233
Denmark,1995,32.33136277
Denmark,1996,32.30090459
Denmark,1997,32.37620483
Denmark,1998,32.11091008
Denmark,1999,32.69024213
Denmark,2000,32.86745342
Denmark,2001,33.08386452
Denmark,2002,32.88289782
Denmark,2003,32.64627393
Denmark,2004,32.17478883
Denmark,2005,32.40355338
Denmark,2006,32.17367648
Denmark,2007,31.81626414
Denmark,2008,31.72430702
Denmark,2009,31.43897321
Denmark,2010,31.15925805
Denmark,2011,31.17496474
Denmark,2012,31.24283477
Denmark,2013,31.32504431
Denmark,2014,31.09278871
Denmark,2015,31.03551881
Denmark,2016,30.6200876
Estonia,2000,38.90525685
Estonia,2001,38.76961272
Estonia,2002,38.59419178
Estonia,2003,38.24506816
Estonia,2004,38.34756785
Estonia,2005,38.37494489
Estonia,2006,38.21584278
Estonia,2007,38.04806086
Estonia,2008,38.17661777
Estonia,2009,37.52076039
Estonia,2010,37.38882067
Estonia,2011,37.21005995
Estonia,2012,37.42461401
Estonia,2013,37.63298716
Estonia,2014,37.84936818
Estonia,2015,37.21565118
Estonia,2016,37.10831047
Finland,2001,35.70322292
Finland,2002,35.92191901
Finland,2003,35.71168142
Finland,2004,35.63280169
Finland,2005,36.01105354
Finland,2006,35.85950554
Finland,2007,35.21638655
Finland,2008,35.34046434
Finland,2009,35.17801087
Finland,2010,35.13085709
Finland,2011,35.14337481
Finland,2012,34.94984167
Finland,2013,34.74920887
Finland,2014,34.79435449
Finland,2015,34.88843345
Finland,2016,34.60591043
France,1983,36.79426408
France,1984,36.65272425
France,1985,36.3132695
France,1986,35.95388954
France,1987,35.9085095
France,1988,35.93250233
France,1989,35.82980021
France,1990,35.52513124
France,1991,35.72195168
France,1992,35.43769246
France,1993,35.25536969
France,1994,35.04542517
France,1995,34.83145642
France,1996,34.66868492
France,1997,34.34579939
France,1998,34.30821489
France,1999,34.22017155
France,2000,33.92549919
France,2001,33.74056994
France,2002,33.36419679
France,2003,34.30003663
France,2004,34.18456762
France,2005,34.33698877
France,2006,34.47028451
France,2007,34.56295999
France,2008,34.6597927
France,2009,34.51778086
France,2010,34.6395396
France,2011,34.66449779
France,2012,34.56471653
France,2013,34.33517722
France,2014,34.19811193
France,2015,34.26657818
France,2016,34.39876466
Germany,1983,35.40484222
Germany,1984,35.93057859
Germany,1985,35.8107797
Germany,1986,35.52175386
Germany,1987,35.39676767
Germany,1988,35.07520508
Germany,1989,34.79681843
Germany,1990,33.54942191
Germany,1991,34.45230628
Germany,1992,34.10771316
Germany,1993,33.68620481
Germany,1994,33.50678311
Germany,1995,33.10607892
Germany,1996,33.09404246
Germany,1997,32.71103194
Germany,1998,32.33532352
Germany,1999,32.0850423
Germany,2000,31.91055155
Germany,2001,31.53048377
Germany,2002,31.35216796
Germany,2003,30.84719607
Germany,2004,30.76793404
Germany,2005,30.29017327
Germany,2006,30.2027708
Germany,2007,30.13838958
Germany,2008,30.31079342
Germany,2009,30.49076326
Germany,2010,30.47631175
Germany,2011,30.38594481
Germany,2012,30.45224451
Germany,2013,30.3336845
Germany,2014,30.49754821
Germany,2015,30.44036922
Germany,2016,30.55338628
Greece,1983,43.26830228
Greece,1984,41.92018204
Greece,1985,41.84631888
Greece,1986,41.25936778
Greece,1987,40.66901447
Greece,1988,40.63967004
Greece,1989,40.91061966
Greece,1990,40.7399698
Greece,1991,40.88862727
Greece,1992,41.0476382
Greece,1993,41.14063485
Greece,1994,40.70875396
Greece,1995,40.34476304
Greece,1996,40.37844277
Greece,1997,40.10377873
Greece,1998,39.8642274
Greece,1999,40.15119058
Greece,2000,40.33704903
Greece,2001,40.42808206
Greece,2002,40.25969162
Greece,2003,40.41207951
Greece,2004,40.06141198
Greece,2005,39.91322183
Greece,2006,39.44929862
Greece,2007,39.21765658
Greece,2008,39.2895919
Greece,2009,39.29342347
Greece,2010,39.31096581
Greece,2011,39.37878555
Greece,2012,39.09889021
Greece,2013,39.02184171
Greece,2014,39.039
Greece,2015,39.23428082
Greece,2016,39.25073464
Hungary,1995,40.0329069
Hungary,1996,40.12560359
Hungary,1997,39.88916662
Hungary,1998,39.7755671
Hungary,1999,39.89400043
Hungary,2000,39.77135953
Hungary,2001,39.76177585
Hungary,2002,39.70922312
Hungary,2003,39.41105585
Hungary,2004,39.33031548
Hungary,2005,39.22636225
Hungary,2006,39.39088333
Hungary,2007,39.35039462
Hungary,2008,39.27515247
Hungary,2009,39.07604628
Hungary,2010,38.94211514
Hungary,2011,38.7024419
Hungary,2012,38.50413098
Hungary,2013,38.63004901
Hungary,2014,38.95458112
Hungary,2015,38.97057769
Hungary,2016,38.99607738
Iceland,2000,33.89107628
Iceland,2001,34.10633175
Iceland,2002,34.07475799
Iceland,2003,35.4587698
Iceland,2004,35.04718591
Iceland,2005,34.69061546
Iceland,2006,35.16336871
Iceland,2007,35.2203414
Iceland,2008,35.53885186
Iceland,2009,34.54884215
Iceland,2010,34.35724081
Iceland,2011,34.92361038
