Entity,Year,Smallpox cases as recorded in April 1967,Smallpox cases as revised in 1987
World,1959,81444,96571
World,1960,60956,67127
World,1961,85594,90588
World,1962,82413,98759
World,1963,99599,133791
World,1964,49956,77295
World,1965,64321,112228
World,1966,65512,92650
