Entity,Year,Population who gained access to water from 1990-2015,Population who gained access to sanitation from 1990-2015
Central Asia,2015,19,24
Developing regions,2015,41,32
East Asia,2015,39,36
Latin America & Caribbean,2015,35,36
Least developed countries,2015,42,27
North Africa,2015,34,41
Oceania,2015,25,15
South Asia,2015,44,32
Sub-Saharan Africa,2015,43,17
Western Asia,2015,48,50
World,2015,35,29
